taz,airport_productions,lat,lng,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,employment,workers,high_earners,observed_productions,estimated_productions
2,0,35.814056204867114,-79.16745555844535,Internal,391,954,76534,48,18.3,11.3,0,0,0,954,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,137,457.91999999999996,206.064,0,23.765608494098167
17,3,35.82577147769806,-79.07438104342549,Internal,104,246,79000,40,11,39.7,0,0,0,246,1,13,76,4,89,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,98.4,10.824,4.997038791827065,9.698235277627798
19,0,35.847986828105945,-79.07183871660615,Internal,410,996,100714,40,21.7,26.9,0,0,0,996,288,67,163,45,367,20,0,0,0,0,0,106,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,930,398.40000000000003,79.68,0,31.580554344348425
32,11,35.72342820040376,-78.98794283384133,Internal,84,199,100221,43,16.6,16.4,0,0,0,199,156,3,59,2,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,85.57,36.7951,18.322475570032573,13.257102242326429
34,4,35.85228544553287,-78.96345208098654,Internal,161,445,82833,33,13.9,42.3,0,0,0,445,28,21,9,0,6,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,146.85,60.208499999999994,6.6627183891027535,10.876131479450317
35,9,35.85736766459666,-78.92305778623368,Internal,111,266,82833,33,13.9,42.3,0,0,0,266,0,32,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,87.78,34.2342,14.991116375481194,8.336865792089254
36,26,35.80097256360916,-78.94531969065444,Internal,278,681,82833,33,13.9,42.3,0,4,0,685,5,37,11,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,224.73000000000002,74.16090000000001,43.307669529167896,11.732600609651257
37,4,35.76392653792819,-78.95160435531282,Internal,90,208,100221,43,16.6,16.4,0,0,0,208,31,17,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,89.44,44.72,6.6627183891027535,9.612741751479968
38,3,35.76678150628602,-78.99181803943917,Internal,157,374,100221,43,16.6,16.4,0,0,0,374,74,24,32,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,144,160.82,56.28699999999999,4.997038791827065,12.346746213496676
51,0,35.55008089947895,-78.98631523370263,Internal,42,99,66667,43,28,25.3,0,0,0,99,5,5,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42.57,21.285,0,6.715435611251662
65,3,35.73334341027196,-79.1666702045343,Internal,445,1037,52083,45,19.3,16.9,0,0,0,1037,53,41,193,31,416,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,466.65000000000003,88.66350000000001,4.997038791827065,27.929314960485222
81,49,35.87160937700552,-78.83840055914955,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,195,427,49,10,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,81.61830026650873,20.080142002576668
82,21,35.86940652695624,-78.85406560000698,Internal,394,915,77485,72,9.3,3.6,0,0,0,915,55,39,14,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,658.8,454.57199999999995,34.979271542789455,42.326180817694265
83,342,35.88260827039738,-78.8447640423045,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,0,236,327,180,28,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,333.1359194551377,21.89813291061843
84,54,35.87956943639691,-78.85192369303213,Internal,292,533,77485,72,9.3,3.6,0,6,0,539,17,17,57,79,66,74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,383.76,283.9824,89.94669825288717,31.981664579915062
85,3,35.8919228069504,-78.85860433835938,Internal,0,0,58190,50,22,12,0,0,0,0,37,225,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,4.997038791827065,10.61328690826164
86,10,36.00932617499954,-78.94515834961189,Internal,657,1114,32196,43,2.5,2.5,0,0,0,1114,16,16,302,0,310,15,0,0,0,0,0,19,983,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,644,479.02,71.853,16.656795972756882,24.63492332652134
111,0,36.013303137770656,-78.89457280623637,Internal,162,364,72031,54,18.2,8.6,0,0,0,364,45,7,11,0,0,73,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,196.56,143.4888,0,17.289467699219614
127,0,36.0068388773652,-78.90911410468007,Internal,541,1088,59107,57,18.6,8.7,0,6,0,1094,14,123,22,6,0,34,0,0,0,0,0,0,119,11,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,165,620.16,210.8544,0,24.75656528313626
141,0,36.00883759206885,-78.92636965403676,Internal,163,262,48250,56,7.4,6.1,0,0,0,262,0,154,195,95,132,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,576,146.72000000000003,32.278400000000005,0,20.06918360321942
142,9,36.008424555633425,-78.9236540433232,Internal,548,957,48250,56,7.4,6.1,0,0,0,957,4,17,126,144,304,22,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,595,535.9200000000001,117.90240000000001,14.991116375481194,27.107042266593204
143,3,36.00692226323203,-78.92092942823402,Internal,0,0,48250,56,7.4,6.1,0,0,0,0,1,1,41,0,242,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,285,0,0,4.997038791827065,11.123211187346525
144,5,36.01704677025153,-78.9441457894919,Internal,0,0,30625,43,10.1,2.5,0,0,0,0,0,32,194,27,323,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,8.328397986378441,17.5748618488118
152,3,36.00967307676691,-78.92082578353596,Internal,232,424,48250,56,7.4,6.1,0,0,0,424,20,159,425,37,419,17,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,1060,237.44000000000003,40.36480000000001,4.997038791827065,31.42464274780273
157,0,36.00270217555309,-78.92361038861303,Internal,279,500,16250,47,2.5,2.5,48,0,0,548,30,64,4,0,0,8,0,0,48,0,0,0,6,0,0,0,12,0,0,0,0,0,267,200,74,0,0,0,0,98,235,18.8,0,8.43007998135674
165,1,35.97717524000527,-78.92876176627585,Internal,1030,2291,42831,54,20.2,11.7,0,128,0,2419,28,115,546,29,312,26,0,0,0,0,0,69,74,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1030,1237.14,321.6564,1.6656795972756884,52.49640566636035
167,0,35.97934777687089,-78.93929728020339,Internal,100,231,44250,54,20.9,3.5,0,6,0,237,4,22,25,4,6,48,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,124.74000000000001,59.8752,0,10.78386377278209
177,0,35.99962731006927,-78.91168636572758,Internal,4,4,29267,52,13.6,17.7,0,0,0,4,20,280,239,12,120,14,0,0,0,0,0,0,182,4,0,0,0,0,0,0,0,0,268,150,0,0,0,0,0,671,2.08,0.2912,0,19.703573383370927
275,0,35.98878413226948,-78.89264782514894,Internal,205,313,21810,39,21.6,15.3,0,0,0,313,7,128,22,5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,122.07000000000001,15.869100000000001,0,9.71119613806387
316,10,36.002968909277605,-78.93256198884926,Internal,135,261,58190,47,22,12,240,0,0,501,9,44,40,0,6,74,0,0,240,0,0,6,3,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,99,122.66999999999999,90.77579999999999,16.656795972756882,14.014199265406882
317,2,36.01290504507791,-78.94531000549867,Internal,915,1825,27697,43,26.8,6.4,0,7,69,1901,0,52,155,0,0,32,0,0,0,0,0,25,486,25,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,207,784.75,251.12,3.3313591945513767,28.79926606956728
