taz,airport_productions,lng,lat,TAZ_TRM_6.2,County,ATYPE,HH,HH_POP,MEANINC,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,Industry,Office,Service_RateLow,Service_RateHigh,Retail,IndOff_EarnLow,IndOff_EarnHigh,Service_EarnLow,Service_EarnHigh,Retail_EarnLow,Retail_EarnHigh,ADT,PCTCV,PCTAUTOEE,PCTCVEE,ZONEAREA,SHORTWALKA,LONGWALKAM,SHORTWALKO,LONGWALKOP,DISTGROUP,EXTERNAL,District,AVEBLOCK_P,AVEBLOCK_A,RoadwayLen,NMPathLen,ENROLLMENT,PASA,PrkRestrict,PASAYear,PrkCosW1,PrkCosW2,PrkCosW3,PrkCosO1,PrkCosO2,PrkCosO3,PrkCosU1,PrkCosU2,PrkCosU3,Campus,Campus_NCSU,Campus_UNC,Campus_DUKE,Campus_NCCU,In_ShortWalk_NCSU,In_ShortWalk_UNC,In_ShortWalk_DUKE,In_ShortWalk_NCCU,Housing_NCSU,Housing_UNC,Housing_DUKE,Housing_NCCU,NCSU_OFF,UNC_OFF,DUKE_OFF,NCCU_OFF,TOT_Area1,TOT_POP1,TOT_EMP1,EmpDen1,Density1,TRM_6.2_Fill,lehd_emp,Pct_Worker,PctHighEarn,employment,workers,high_earners,observed_productions,estimated_productions
2,0,-79.16745555844535,35.814056204867114,2,Chatham,4,391,954,101300,0,0,0,954,0,0,0,0,0,0,0,0,8,119,10,0,0,108.882,18.1176,0,10,0,0,0,0,0,0,6.07788,0,0,0,0,0,0,8,0,1.01292,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092662,23.2632,1.10149,0.381619,0.781396,122,17,21.7559,197.281,NA,95,48,45,137,457.91999999999996,206.064,0,21.724434138445197
17,3,-79.07438104342549,35.82577147769806,17,Chatham,4,104,246,77970,0,0,0,246,0,0,0,0,0,0,0,0,1,13,76,4,89,8.79689,5.20311,17.2345,62.7655,36.9688,52.0312,0,0,0,0,1.71689,0,0,0,0,0,0,7,0,0.342847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065436,13.8306,0.57349000000000006,0.205857,0.781416,111,82,104.938,340.534,NA,193,40,11,183,98.4,10.824,4.838189441995484,8.135645401406169
19,0,-79.07183871660615,35.847986828105945,19,Chatham,3,410,996,144196,0,0,0,996,0,0,0,0,0,0,0,0,288,67,163,45,367,296.933,58.067,143.875,64.1251,295.95,71.0503,0,0,0,0,3.32661,3.0106,9.3932,0,0,0,0,7,0,0.474172,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244057,45.5558,2.20814,0.787618,0.781416,233,218,278.981,825.854,NA,491,40,20,930,398.40000000000003,79.68,0,48.216054623675674
32,11,-78.98794283384133,35.72342820040376,32,Chatham,4,84,199,93577,0,0,0,199,0,0,0,0,0,0,0,0,156,3,59,2,33,99.8743,59.1257,60.5556,0.444444,31.8,1.2,0,0,0,0,7.25726,0,0,0,0,0,0,18,0,0.23331,0,0.457669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45234,2.21147,0.160927,0.172503,0.779462,21,27,34.6393,92.46,NA,35,43,43,253,85.57,36.7951,17.740027953983443,13.95208758564014
33,76,-78.93928209614067,35.83622746969059,33,Chatham,4,1694,3549,113709,0,0,0,3549,0,0,0,0,0,0,0,0,7,24,70,10,7,11.7815,19.2185,67.3333,12.6667,7,0,0,0,0,0,5.99908,0,0,0,0,0,0,18,0,0.153672,0,12.2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40765,77.6321,13.5974,11.1698,0.781416,462,15,19.1959,627.542,NA,262,33,36,118,1171.17,421.6212,122.5674658638856,39.17611781049222
34,4,-78.96345208098654,35.85228544553287,34,Chatham,4,161,445,113709,0,0,0,445,0,0,0,0,0,0,0,0,28,21,9,0,6,9.9958,39.0042,0,9,3.42857,2.57143,0,0,0,0,2.29093,0,0,0,0,0,0,18,0,2.29088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736455,11.3094,2.00314,1.62849,0.76549,155,20,26.1271,251.903,NA,51,33,41,64,146.85,60.208499999999994,6.450919255993979,8.591223851152282
35,9,-78.92305778623368,35.85736766459666,35,Chatham,4,111,266,113709,0,0,0,266,0,0,0,0,0,0,0,0,0,32,8,0,0,9.85714,22.1429,5.71429,2.28571,0,0,0,0,0,0,2.60431,0,0,0,0,0,0,18,0,0.371634,0,0.473075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792537,6.00122,1.13856,1.12575,0.781414,79,12,15.3568,130.145,NA,3,33,39,40,87.78,34.2342,14.514568325986453,4.971791021550921
36,26,-78.94531969065444,35.80097256360916,36,Chatham,4,278,681,112602,0,4,0,685,0,0,0,0,0,0,0,0,5,37,11,1,0,32.3937,9.60631,3.61044,8.38956,0,0,0,0,0,0,5.85933,0,0,0,0,0,0,18,0,0.976197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3659,8.62796,1.35977,1.22984,0.781402,90,7,8.95826,132.122,NA,69,33,33,54,224.73000000000002,74.16090000000001,41.93097516396086,8.776397331860776
37,4,-78.95160435531282,35.76392653792819,37,Chatham,4,90,208,93577,0,0,0,208,0,0,0,0,0,0,0,0,31,17,13,0,0,17.1909,30.8091,12.2691,0.730924,0,0,0,0,0,0,2.74589,0,0,0,0,0,0,18,0,1.37225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485201,2.40562,0.418416,0.296717,0.781367,59,17,21.7567,116.66,NA,21,43,50,61,89.44,44.72,6.450919255993979,6.989669507099604
38,3,-78.99181803943917,35.76678150628602,38,Chatham,4,157,374,93577,0,0,0,374,0,0,0,0,0,0,0,0,74,24,32,0,14,35.2038,62.7962,25.6583,6.34173,14,0,0,0,0,0,5.67029,0,0,0,0,0,0,18,0,5.66979,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87557,6.70112,0.722528,0.517976,0.781375,51,18,23.0363,108.842,NA,111,43,35,144,160.82,56.28699999999999,4.838189441995484,10.936933136061358
