variable,name
B25046_001,veh_tot
B25044_001,hh_tot
B25044_003,veh0
B25044_004,veh1
B25044_005,veh2
B25044_006,veh3
B25044_007,veh4
B25044_008,veh5
B25044_010,veh0
B25044_011,veh1
B25044_012,veh2
B25044_013,veh3
B25044_014,veh4
B25044_015,veh5
B19001_002,inc10
B19001_003,inc15
B19001_004,inc20
B19001_005,inc25
B19001_006,inc30
B19001_007,inc35
B19001_008,inc40
B19001_009,inc45
B19001_010,inc50
B19001_011,inc60
B19001_012,inc75
B19001_013,inc100
B19001_014,inc125
B19001_015,inc150
B19001_016,inc200
B19001_017,inc200p
B19013_001,inc_med
B09019_038,gq_pop
B09019_002,hh_pop
B09018_001,hh_child
B09020_002,hh_senior
