TAZ,Cluster
1,84
2,84
3,84
4,84
5,84
6,84
7,84
8,84
9,84
10,84
11,84
12,84
13,84
14,84
15,84
16,84
17,84
18,84
19,84
20,84
21,84
22,84
23,84
24,84
25,84
26,84
27,84
28,84
29,84
30,84
31,84
32,84
33,7
34,7
35,7
36,7
37,84
38,84
39,84
40,84
41,84
42,84
43,84
44,84
45,84
46,84
47,84
48,84
49,84
50,84
51,84
52,84
53,84
54,84
55,84
56,84
57,84
58,84
59,84
60,84
61,84
62,84
63,84
64,84
65,84
66,84
67,84
68,84
69,84
70,84
71,84
72,84
73,84
74,84
75,84
76,84
77,84
78,7
79,6
80,6
81,1
82,1
83,1
84,1
85,1
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,81
342,81
343,5
344,5
345,5
346,5
347,5
348,81
349,5
350,81
351,5
352,5
353,5
354,5
355,5
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,5
364,5
365,5
366,7
367,7
368,7
369,5
370,5
371,5
372,5
373,5
374,5
375,7
376,7
377,7
378,7
379,7
380,7
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,5
405,5
406,5
407,5
408,5
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,81
418,5
419,5
420,5
421,5
422,7
423,5
424,7
425,5
426,7
427,7
428,7
429,5
430,5
431,5
432,7
433,7
434,5
435,82
436,7
437,7
438,5
439,5
440,7
441,7
442,7
443,7
444,7
445,7
446,7
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,7
461,7
462,82
463,82
464,82
465,7
466,82
467,82
468,82
469,82
470,82
471,82
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,7
486,7
487,7
488,7
489,5
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,7
504,7
505,7
506,7
507,6
508,6
509,6
510,6
511,7
512,7
513,7
514,7
515,7
516,7
517,7
518,7
519,7
520,7
521,7
522,7
523,7
524,7
525,7
526,7
527,7
528,7
529,7
530,7
531,7
532,7
533,7
534,7
535,7
536,7
537,7
538,7
539,7
540,7
541,7
542,1
543,1
544,7
545,7
546,7
547,7
548,7
549,7
550,7
551,7
552,7
553,1
554,1
555,1
556,7
557,1
558,7
559,1
560,7
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,7
581,7
582,7
583,7
584,7
585,7
586,7
587,7
588,1
589,1
590,1
591,1
592,1
593,1
594,7
595,7
596,1
597,1
598,7
599,7
600,7
601,7
602,7
603,7
604,7
605,7
606,7
607,7
608,7
609,7
610,7
611,7
612,7
613,7
614,7
615,7
616,7
617,7
618,7
619,7
620,7
621,7
622,7
623,7
624,7
625,7
626,7
627,7
628,7
629,7
630,7
631,7
632,7
633,7
634,7
635,7
636,7
637,7
638,7
639,7
640,7
641,7
642,7
643,7
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,7
652,7
653,81
654,81
655,81
656,5
657,5
658,5
659,81
660,81
661,81
662,81
663,81
664,81
665,81
666,81
667,81
668,81
669,81
670,81
671,82
672,82
673,82
674,82
675,82
676,82
677,82
678,82
679,82
680,82
681,82
682,82
683,82
684,82
685,82
686,82
687,82
688,82
689,82
690,82
691,82
692,82
693,82
694,82
695,82
696,82
697,82
698,82
699,82
700,82
701,82
702,82
703,82
704,82
705,82
706,82
707,82
708,82
709,82
710,82
711,82
712,82
713,82
714,82
715,82
716,82
717,82
718,82
719,82
720,82
721,82
722,82
723,82
724,82
725,82
726,82
727,82
728,82
729,82
730,82
731,82
732,82
733,82
734,82
735,82
736,82
737,82
738,82
739,82
740,82
741,82
742,82
743,82
744,82
745,82
746,82
747,82
748,82
749,82
750,82
751,82
752,82
753,82
754,82
755,82
756,82
757,82
758,82
759,82
760,82
761,82
762,82
763,82
764,82
765,82
766,82
767,82
768,82
769,82
770,82
771,82
772,82
773,82
774,82
775,82
776,82
777,82
778,82
779,82
780,82
781,82
782,82
783,82
784,82
785,82
786,82
787,82
788,82
789,82
790,82
791,82
792,82
793,82
794,82
795,82
796,82
797,82
798,82
799,82
800,82
801,82
802,82
803,82
804,82
805,82
806,82
807,82
808,82
809,82
810,82
811,82
812,82
813,82
814,82
815,82
816,82
817,82
818,82
819,82
820,82
821,82
822,82
823,82
824,82
825,82
826,82
827,82
874,83
875,83
876,83
877,83
878,83
879,83
880,83
881,83
882,83
883,83
884,83
885,83
886,83
887,83
888,83
889,83
890,83
891,83
892,83
893,83
894,83
895,83
896,83
897,83
898,83
899,83
900,83
901,83
902,83
903,83
904,83
905,83
906,83
907,83
908,83
909,83
910,83
911,83
912,83
913,83
914,83
915,83
916,83
917,83
918,83
919,83
920,83
921,83
922,83
923,83
924,83
925,83
926,83
927,83
928,83
929,83
930,83
931,83
932,83
933,83
934,83
935,83
936,83
937,83
938,83
939,83
940,83
941,83
942,83
943,83
944,83
945,83
946,83
947,83
948,83
949,83
950,83
951,83
952,83
953,83
954,83
955,83
956,83
957,83
958,83
959,83
960,83
961,83
962,83
963,83
964,83
965,83
966,83
967,83
968,83
969,83
970,83
971,83
972,83
973,83
974,83
975,83
976,83
977,83
978,83
979,83
980,83
981,83
982,83
983,83
984,83
985,83
986,83
987,83
988,83
989,83
990,83
991,83
992,83
