projid,master_route_id,scenario_route_id,master_length,scenario_length,diff,pct_diff,missing_stops
1,250,99,9.154733,9.048699,-0.106034,-1.16,0
1,278,106,9.655413,9.637536,-0.017877,-0.19,0
2,328,132,14.436643,14.323717,-0.112927,-0.78,0
2,329,133,14.26703,14.171703,-0.095327,-0.67,0
3,312,119,21.991216,21.456136,-0.53508,-2.43,0
4,7,1,12.263835,12.261461,-0.002374,-0.02,0
4,383,169,13.895908,13.752573,-0.143334,-1.03,0
5,9,2,19.585997,19.550796,-0.035201,-0.18,0
5,384,170,21.558232,21.274408,-0.283824,-1.32,0
6,313,120,17.553873,17.595376,0.041503,0.24,0
6,314,121,16.291233,16.205193,-0.08604,-0.53,0
7,13,3,9.091233,9.063919,-0.027314,-0.3,0
7,385,171,9.472068,9.119803,-0.352265,-3.72,0
8,327,131,6.205828,6.143404,-0.062424,-1.01,0
9,315,122,9.453094,9.453083,-0.000011,0,0
10,17,4,14.113114,14.110664,-0.00245,-0.02,0
10,386,172,15.313419,15.136267,-0.177152,-1.16,1
11,316,123,16.246733,15.805727,-0.441006,-2.71,0
12,19,5,8.29531,8.270792,-0.024518,-0.3,0
13,395,181,14.908369,14.908378,0.00001,0,0
13,396,182,16.651127,16.610979,-0.040148,-0.24,0
14,317,124,8.418058,8.418096,0.000038,0,0
15,439,225,12.53228,12.407392,-0.124888,-1,0
16,330,134,17.467034,17.461102,-0.005932,-0.03,0
16,331,135,17.816493,17.739777,-0.076716,-0.43,0
17,428,214,15.868229,15.836803,-0.031425,-0.2,0
17,451,237,16.937638,16.545282,-0.392355,-2.32,0
18,407,193,14.550298,14.550296,-0.000002,0,0
18,450,236,14.316986,14.291977,-0.025009,-0.17,0
19,440,226,12.20308,12.022972,-0.180107,-1.48,0
20,456,242,11.847842,11.518693,-0.329149,-2.78,0
21,32,6,7.48348,7.346893,-0.136587,-1.83,0
22,325,129,15.215034,14.926512,-0.288521,-1.9,0
23,319,125,16.142195,16.117738,-0.024457,-0.15,0
23,320,126,15.541699,15.541758,0.000059,0,0
24,36,7,28.128081,28.114639,-0.013441,-0.05,0
24,275,105,34.62157,35.306502,0.684932,1.98,0
25,426,212,30.018895,29.786386,-0.232509,-0.77,0
25,429,215,26.906087,26.89915,-0.006937,-0.03,0
26,326,130,9.694596,9.694796,0.0002,0,0
27,397,183,22.427204,22.426812,-0.000392,0,0
27,398,184,24.700373,24.856281,0.155908,0.63,0
28,321,127,15.160084,14.903275,-0.256809,-1.69,0
28,322,128,15.85165,15.805727,-0.045923,-0.29,0
29,45,8,4.026191,4.026204,0.000013,0,0
30,47,9,7.067997,7.068273,0.000276,0,0
30,307,116,7.90925,7.763781,-0.145469,-1.84,0
31,48,10,5.537739,5.537796,0.000057,0,0
31,49,11,4.211493,4.21155,0.000057,0,0
32,50,12,4.262515,4.262537,0.000022,0,0
32,51,13,5.172891,5.172913,0.000022,0,0
33,52,14,5.829258,5.804679,-0.024578,-0.42,0
33,53,15,6.16146,6.161323,-0.000137,0,0
34,54,16,5.229077,5.229074,-0.000003,0,1
34,55,17,3.889222,3.889219,-0.000003,0,0
35,56,18,9.298003,9.273913,-0.02409,-0.26,0
35,57,19,7.741804,7.656164,-0.085639,-1.11,0
36,58,20,4.128666,4.105206,-0.02346,-0.57,0
36,59,21,2.357905,2.357905,0,0,0
37,60,22,8.445989,8.447637,0.001647,0.02,1
37,61,23,9.190995,9.057873,-0.133122,-1.45,1
38,272,103,10.121529,10.098182,-0.023347,-0.23,0
38,273,104,9.805111,9.781457,-0.023654,-0.24,0
39,64,24,6.762392,6.762431,0.000039,0,0
39,65,25,6.815997,6.816038,0.00004,0,0
40,400,186,3.880004,3.856539,-0.023465,-0.6,0
40,401,187,4.643191,4.643201,0.000011,0,0
41,68,26,6.391947,6.391981,0.000034,0,0
41,69,27,5.198697,5.198692,-0.000005,0,0
42,70,28,4.198796,4.198801,0.000005,0,0
42,71,29,3.206314,3.206319,0.000005,0,0
43,72,30,3.569135,3.540234,-0.0289,-0.81,0
43,73,31,3.970883,3.941994,-0.028889,-0.73,0
44,74,32,8.110326,7.958641,-0.151685,-1.87,0
44,75,33,8.100615,7.94893,-0.151686,-1.87,0
45,76,34,4.156471,4.15649,0.000019,0,0
45,77,35,3.045136,3.045144,0.000008,0,0
46,78,36,3.606033,3.582573,-0.02346,-0.65,0
46,79,37,3.411297,3.411297,0,0,0
47,80,38,7.10226,7.084448,-0.017812,-0.25,0
47,81,39,6.552968,6.559676,0.006708,0.1,0
48,82,40,3.570358,3.570365,0.000006,0,0
49,266,101,3.152628,3.152642,0.000013,0,0
50,84,41,5.748291,5.599879,-0.148412,-2.58,0
50,309,117,7.194635,6.605256,-0.589379,-8.19,0
51,87,42,4.839488,4.83696,-0.002529,-0.05,0
51,267,102,5.83036,5.802676,-0.027684,-0.47,0
52,88,43,3.785333,3.700592,-0.084741,-2.24,0
52,89,44,7.405911,7.405988,0.000076,0,0
