"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
1,6.02486,0.00,0.00,88.528,41.5734,24.0806,0.00,0.00,0.263975,57.8164,18.8676,14.5955,18.2365,0.00,0.213622
2,6.32983,0.00,0.00,42.1877,32.8113,41.2514,0.00,0.00,0.569173,164.155,43.4551,23.9115,16.5481,0.00,0.185944
3,6.40952,0.00,0.00,121.452,54.2004,31.9408,0.00,0.00,0.348335,70.9512,22.0921,17.9048,17.2221,0.00,0.272803
4,7.08927,0.00,0.00,115.788,52.8996,31.4117,0.00,0.00,0.377176,79.3219,24.4567,19.2069,20.8822,0.00,0.320371
5,7.41351,0.00,0.00,103.54,44.648,27.0426,0.00,0.00,0.441414,56.7671,16.7521,13.6578,11.6424,0.00,0.237827
6,6.86689,0.00,0.00,107.009,70.6987,87.8282,0.00,0.00,1.0343,260.68,69.9766,40.5017,28.4167,0.00,0.366662
7,7.37901,0.00,0.00,194.852,72.6812,47.6215,0.00,0.00,0.231406,58.5983,17.6016,14.4253,12.3901,0.00,0.229478
8,6.42655,0.00,0.00,20.5795,10.6536,6.13082,0.00,0.00,0.163471,14.8103,4.915,3.87167,4.61987,0.00,0.0559496
9,7.30383,0.00,0.00,183.813,69.5564,43.8873,0.00,0.00,0.310745,64.6552,19.3901,16.5482,11.3933,0.00,0.251434
10,6.60187,0.00,0.00,65.4563,28.994,17.5837,0.00,0.00,0.342466,34.424,9.92668,8.61154,4.83187,0.00,0.133557
11,6.27696,0.00,0.00,24.6653,11.7039,6.91009,0.00,0.00,0.162825,15.6575,5.18654,4.03963,4.99759,0.00,0.061457
12,6.33289,0.00,0.00,59.5464,28.5971,16.8484,0.00,0.00,0.399284,35.907,12.083,9.33102,12.1827,0.00,0.142052
13,6.21183,0.00,0.00,47.5174,23.1335,13.675,0.00,0.00,0.275132,28.5558,8.93376,7.65737,5.63145,0.00,0.113031
14,7.04215,0.00,0.00,344.459,152.373,80.0259,0.00,0.00,1.35936,291.511,81.3905,69.9093,38.2742,0.00,1.12706
15,6.92241,0.00,0.00,28.3032,12.1378,7.54385,0.00,0.00,0.135856,12.1822,3.53521,3.06905,1.74314,0.00,0.0474624
