TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,TraumaLevel,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,AWDT,PCTCV,PCTAUTOEE,PCTCVEE,TotalEmp,Density,AreaType,ATSmoothed,walkability_attr,gs_home_attr,gs_work_attr,gs_other_attr,gs_total_attr,GSIndex,ApproachDensity,walk_attr_dens,IndEmpDensity,ApproachDensity_z,IndEmpDensity_z,walk_attr_dens_z,GSIndex_z,Walkability,wHH,wK12,wStudGQ_NCSU,wStudGQ_UNC,wStudGQ_DUKE,wStudGQ_NCCU,wCollegeOn,wRetail,wTotalEmp,PctNearBusStop,access_general_sov_attr,access_nearby_sov_attr,access_walk_attr,access_employment_sov_attr,access_hospital_sov_attr,access_general_sov,access_nearby_sov,access_walk,access_employment_sov,access_hospital_sov,access_transit_attr,access_transit
1,Internal,352,834,76534,48,18.3,11.3,37,33,66,0,13,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105.359,Rural,,1491.5,2288,223.5,1353.8,3865.3,0.5236,0.284215,366.192,3.50531,-0.279615,-0.247594,-0.356475,0.40683,0.114899,40.4445,0,0,0,0,0,0,1.49369,0.229798,0,1491.5,343.5,1.52926,149,0,10.2487,6.02486,0,10.4808,0,343.5,0
2,Internal,391,954,76534,48,18.3,11.3,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,199.035,Rural,,2139.9,2541.5,1165.5,1283.8,4990.8,0.619973,0.987186,821.141,1.31625,-0.273591,-0.250663,-0.350424,1.43268,0.128973,50.4283,82.5425,0,0,0,0,0,0,0.257945,0,2139.9,271,2.31692,137,0,10.4226,6.32983,0,10.5846,0,271,0
3,Internal,502,1235,108533,48,27.9,13.8,9,52,75,2,18,34,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216.359,Rural,,1904.6,3263,234,1805.8,5302.8,0.50345,0,751.754,1.27589,-0.282051,-0.25072,-0.351347,0.192334,0.112261,56.3549,0,0,0,0,0,0,2.02069,0.224522,0,1904.6,447.7,2.13041,156,0,10.4921,6.40952,0,10.6235,0,447.7,0
4,Internal,616,1474,61929,50,19.9,18,17,37,60,0,22,39,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,696.607,Rural,,2079.8,4004,204,1972,6180,0.47732,1.2095,2491.56,6.85382,-0.271686,-0.242898,-0.328204,-0.0858113,0.109506,67.4557,0,0,0,0,0,0,2.40913,0.219012,0.0382748,2079.8,497.2,2.54999,136,0,10.8825,7.08927,0,10.8548,0,497.2,0
5,Internal,177,354,105691,50,26.3,13.9,0,8,89,19,11,39,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,604.199,Rural,,1170.8,1150.5,190.5,1001.1,2342.1,0.569379,3.06677,2394.23,0,-0.255771,-0.252509,-0.329499,0.894129,0.122376,21.6605,0,0,0,0,0,0,1.34613,0.244752,0,1170.8,267.2,0.822978,127,0,11.0084,7.41351,0,10.9166,0,267.2,0
6,Internal,1253,2850,105691,50,26.3,13.9,0,192,35,0,0,43,0,0,0,0,0,243,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,817.698,Rural,,4841.7,8144.5,2029.5,3311.4,13485.4,0.552299,10.9903,3368.36,0,-0.187871,-0.252509,-0.316541,0.712317,0.121425,152.145,136.724,0,0,0,0,0,0,0.364274,0,4841.7,764.5,6.41379,227,0,10.7451,6.86689,0,10.7696,0,764.5,0
7,Internal,178,362,105691,50,26.3,13.9,4,19,24,0,13,39,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,367.286,Rural,,784.7,1157,90,744.1,1991.1,0.520635,0,1542.87,3.09953,-0.282051,-0.248163,-0.340823,0.375262,0.114827,20.4392,0,0,0,0,0,0,1.49275,0.114827,0,784.7,182.6,0.778189,60,0,10.9625,7.37901,0,10.8943,0,182.6,0
8,Internal,121,319,73598,48,21.7,13.3,7,4,9,0,0,41,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.344,Rural,,313.3,786.5,30,293.7,1110.2,0.42741,1.16474,431.031,2.71772,-0.27207,-0.248698,-0.355613,-0.617079,0.102554,12.409,0,0,0,0,0,0,0,0,0,313.3,76.8,0.465872,20,0,10.4302,6.42655,0,10.5775,0,76.8,0
9,Internal,235,592,73598,48,21.7,13.3,44,25,21,0,14,58,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348.793,Rural,,1032.9,1527.5,156,941.9,2625.4,0.529247,2.66216,1164.87,19.5225,-0.259238,-0.225135,-0.345851,0.466942,0.116264,27.322,0,0,0,0,0,0,1.62769,0.116264,0,1032.9,234.6,1.03757,104,0,10.8202,7.30383,0,10.801,0,234.6,0
10,Internal,128,319,73598,48,21.7,13.3,0,13,27,12,0,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196.979,Rural,,500.6,832,78,456.4,1366.4,0.514416,2.84064,646.909,0,-0.257708,-0.252509,-0.352741,0.309067,0.114099,14.6046,0,0,0,0,0,0,0,0.114099,0,500.6,117.3,0.548302,52,0,10.5685,6.60187,0,10.6663,0,117.3,0
