"TAZ","access_nearby_sov","access_transit","access_walk","N_NH_K12_All_sov_AM","N_NH_K12_All_sov_MD","N_NH_K12_All_sov_PM","N_NH_K12_All_sov_NT","N_NH_K12_All_hov2_AM","N_NH_K12_All_hov2_MD","N_NH_K12_All_hov2_PM","N_NH_K12_All_hov2_NT","N_NH_K12_All_hov3_AM","N_NH_K12_All_hov3_MD","N_NH_K12_All_hov3_PM","N_NH_K12_All_hov3_NT","N_NH_K12_All_walkbike_AM","N_NH_K12_All_walkbike_MD","N_NH_K12_All_walkbike_PM","N_NH_K12_All_walkbike_NT","N_NH_OME_All_sov_AM","N_NH_OME_All_sov_MD","N_NH_OME_All_sov_PM","N_NH_OME_All_sov_NT","N_NH_OME_All_hov2_AM","N_NH_OME_All_hov2_MD","N_NH_OME_All_hov2_PM","N_NH_OME_All_hov2_NT","N_NH_OME_All_hov3_AM","N_NH_OME_All_hov3_MD","N_NH_OME_All_hov3_PM","N_NH_OME_All_hov3_NT","N_NH_OME_All_walkbike_AM","N_NH_OME_All_walkbike_MD","N_NH_OME_All_walkbike_PM","N_NH_OME_All_walkbike_NT","N_NH_OME_All_t_AM","N_NH_OME_All_t_MD","N_NH_OME_All_t_PM","N_NH_OME_All_t_NT","N_NH_O_All_sov_AM","N_NH_O_All_sov_MD","N_NH_O_All_sov_PM","N_NH_O_All_sov_NT","N_NH_O_All_hov2_AM","N_NH_O_All_hov2_MD","N_NH_O_All_hov2_PM","N_NH_O_All_hov2_NT","N_NH_O_All_hov3_AM","N_NH_O_All_hov3_MD","N_NH_O_All_hov3_PM","N_NH_O_All_hov3_NT","N_NH_O_All_auto_pay_AM","N_NH_O_All_auto_pay_MD","N_NH_O_All_auto_pay_PM","N_NH_O_All_auto_pay_NT","N_NH_O_All_walkbike_AM","N_NH_O_All_walkbike_MD","N_NH_O_All_walkbike_PM","N_NH_O_All_walkbike_NT","N_NH_O_All_t_AM","N_NH_O_All_t_MD","N_NH_O_All_t_PM","N_NH_O_All_t_NT","W_NH_EK12_All_sov_AM","W_NH_EK12_All_sov_MD","W_NH_EK12_All_sov_PM","W_NH_EK12_All_sov_NT","W_NH_EK12_All_hov2_AM","W_NH_EK12_All_hov2_MD","W_NH_EK12_All_hov2_PM","W_NH_EK12_All_hov2_NT","W_NH_EK12_All_hov3_AM","W_NH_EK12_All_hov3_MD","W_NH_EK12_All_hov3_PM","W_NH_EK12_All_hov3_NT","W_NH_EK12_All_walkbike_AM","W_NH_EK12_All_walkbike_MD","W_NH_EK12_All_walkbike_PM","W_NH_EK12_All_walkbike_NT","W_NH_O_All_sov_AM","W_NH_O_All_sov_MD","W_NH_O_All_sov_PM","W_NH_O_All_sov_NT","W_NH_O_All_hov2_AM","W_NH_O_All_hov2_MD","W_NH_O_All_hov2_PM","W_NH_O_All_hov2_NT","W_NH_O_All_hov3_AM","W_NH_O_All_hov3_MD","W_NH_O_All_hov3_PM","W_NH_O_All_hov3_NT","W_NH_O_All_walkbike_AM","W_NH_O_All_walkbike_MD","W_NH_O_All_walkbike_PM","W_NH_O_All_walkbike_NT","W_NH_O_All_t_AM","W_NH_O_All_t_MD","W_NH_O_All_t_PM","W_NH_O_All_t_NT","W_NH_WR_All_sov_AM","W_NH_WR_All_sov_MD","W_NH_WR_All_sov_PM","W_NH_WR_All_sov_NT","W_NH_WR_All_hov2_AM","W_NH_WR_All_hov2_MD","W_NH_WR_All_hov2_PM","W_NH_WR_All_hov2_NT","W_NH_WR_All_hov3_AM","W_NH_WR_All_hov3_MD","W_NH_WR_All_hov3_PM","W_NH_WR_All_hov3_NT","W_NH_WR_All_auto_pay_AM","W_NH_WR_All_auto_pay_MD","W_NH_WR_All_auto_pay_PM","W_NH_WR_All_auto_pay_NT","W_NH_WR_All_walkbike_AM","W_NH_WR_All_walkbike_MD","W_NH_WR_All_walkbike_PM","W_NH_WR_All_walkbike_NT"
1,5.74235,0.00,0.00,0.0527667,0.11993,0.105226,0.125314,0.0970643,0.216059,0.190695,0.222012,0.189899,0.409877,0.364921,0.412255,0.00,0.00,0.00,0.00,2.61307,14.7709,8.62871,9.64852,3.12922,12.4115,8.03059,9.17431,1.2844,6.21542,3.85649,4.42433,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73585,4.4816,3.65364,4.33017,1.84219,4.19481,3.41343,3.49908,0.862323,2.04904,1.74493,2.01159,0.00146505,0.00359079,0.00303757,0.00426738,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.469701,0.343306,0.639595,0.706292,0.384143,0.337709,0.712452,0.901524,0.213727,0.184336,0.393097,0.494823,0.00,0.00,0.00,0.00,11.9525,10.3099,21.9858,27.6748,2.6915,2.20616,4.49174,5.45666,1.19559,0.981927,2.02131,2.4682,3.24994,2.66169,5.20852,6.24738,0.00,0.00,0.00,0.00,1.30142,0.980887,1.87951,2.13906,0.269322,0.232328,0.49544,0.623629,0.373281,0.272585,0.506295,0.557954,0.0227188,0.0194848,0.0416139,0.0523773,0.324101,0.238382,0.439061,0.48192
2,6.16111,0.00,0.00,3.92057,2.6192,2.27003,1.57546,7.19364,4.79726,4.16029,2.87121,11.6905,7.883,6.84395,4.75294,0.00,0.00,0.00,0.00,3.50626,9.79572,7.73619,9.25282,5.4158,13.9107,11.4916,14.0696,2.08826,5.58704,4.55059,5.5995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83366,9.18116,7.9108,9.58643,3.73424,7.90109,7.03386,7.35238,14.8086,12.4133,10.7894,8.93182,0.00493179,0.0127308,0.0108101,0.0149228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.8054,4.04184,17.7801,9.50162,12.6008,1.54323,6.40327,3.74324,4.92894,0.646286,2.58316,1.5818,0.00,0.00,0.00,0.00,22.3218,10.0168,24.5016,26.5009,2.19417,1.80674,3.71094,4.51998,0.986373,0.815676,1.68947,2.06655,2.58496,2.08592,4.09538,4.88322,0.00,0.00,0.00,0.00,5.89253,1.3162,3.85633,2.98024,0.228569,0.197474,0.42228,0.530214,0.295648,0.217218,0.409074,0.456353,0.0197956,0.01702,0.0364809,0.0457854,0.262863,0.193313,0.36061,0.399237
3,6.28142,0.00,0.00,0.0781943,0.181254,0.155835,0.189119,0.148483,0.335526,0.2905,0.343875,0.289193,0.635649,0.554308,0.637183,0.00,0.00,0.00,0.00,4.33834,25.3707,14.6548,16.697,4.91852,19.7719,12.7337,14.8491,2.12238,10.3525,6.38611,7.45818,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72116,7.19606,5.74774,6.93512,2.8138,6.59128,5.26208,5.51136,1.38195,3.35655,2.79789,3.28322,0.00400727,0.0102618,0.00861472,0.0120918,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.536144,0.394939,0.765056,0.867071,0.507889,0.434038,0.928047,1.16605,0.292935,0.245941,0.531041,0.664038,0.00,0.00,0.00,0.00,16.3903,13.7608,29.7139,37.1544,3.37174,2.74472,5.73702,7.0164,1.52778,1.24414,2.62043,3.21456,3.78158,3.07443,6.16694,7.44743,0.00,0.00,0.00,0.00,1.53871,1.1652,2.31501,2.68895,0.36949,0.31021,0.669867,0.837576,0.409439,0.303807,0.589842,0.671509,0.0324198,0.027094,0.0586691,0.0733141,0.370401,0.274355,0.52554,0.591985
4,6.9981,0.00,0.00,0.100203,0.229562,0.196174,0.237475,0.196135,0.437741,0.377398,0.445707,0.384807,0.833834,0.724874,0.83126,0.00,0.00,0.00,0.00,6.45159,40.4875,22.7421,25.8486,6.77739,28.7435,18.1161,21.1088,3.1262,16.2525,9.74129,11.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71383,9.94383,7.81273,9.39809,3.92068,9.1439,7.29127,7.65396,1.94588,4.74541,3.90374,4.56916,0.00845802,0.0212433,0.0179539,0.0251162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.580521,0.430954,0.843049,0.966841,0.599039,0.505275,1.08315,1.33931,0.352213,0.292421,0.632098,0.777193,0.00,0.00,0.00,0.00,19.7058,16.3607,35.3692,43.4842,3.90578,3.16515,6.65229,8.06419,1.7927,1.45247,3.07018,3.73013,4.12716,3.34679,6.76317,8.15467,0.00,0.00,0.00,0.00,1.70269,1.29662,2.60066,3.03673,0.444206,0.368803,0.797377,0.980239,0.444804,0.332427,0.652769,0.75048,0.039942,0.032977,0.0716059,0.0880006,0.404495,0.301522,0.583719,0.662881
5,7.36808,0.00,0.00,0.102534,0.253278,0.216184,0.272427,0.189146,0.458023,0.393623,0.485038,0.354367,0.833177,0.723325,0.864875,0.00,0.00,0.00,0.00,6.38775,38.4766,21.7337,25.1154,7.2121,29.3875,18.6425,22.1782,3.19144,15.8091,9.62626,11.4806,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92298,10.9776,8.68317,10.8335,3.51362,8.86441,6.83997,7.22197,1.92288,4.99746,4.13592,5.0502,0.00873044,0.0237099,0.0194505,0.0277224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.468516,0.370409,0.705266,0.843495,0.468743,0.421539,0.876522,1.1246,0.286472,0.256347,0.534455,0.685075,0.00,0.00,0.00,0.00,16.0289,14.3422,29.9065,38.3299,3.12945,2.71409,5.52451,6.96943,1.4539,1.26849,2.58956,3.28237,3.07082,2.58921,5.10964,6.32785,0.00,0.00,0.00,0.00,1.3768,1.11969,2.18182,2.65668,0.361348,0.323297,0.674244,0.864046,0.359319,0.286158,0.546841,0.655404,0.0322339,0.0287047,0.0600599,0.07691,0.310192,0.247043,0.471542,0.563071
6,6.75665,0.00,0.00,7.40835,4.99995,4.28401,3.05228,14.2256,9.55597,8.19238,5.78556,23.1617,15.7864,13.5486,9.64732,0.00,0.00,0.00,0.00,8.89011,23.9915,18.9078,22.6611,13.343,33.3494,27.4041,33.5865,5.27766,13.6405,11.1042,13.6904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52675,22.3294,19.1387,23.2503,9.79752,20.4165,17.9169,18.8718,31.3194,27.3768,23.5675,20.2825,0.0210575,0.0528955,0.0453828,0.0627017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.3943,5.30281,23.0959,12.4705,16.7146,2.14137,8.5956,5.25279,6.59648,0.939202,3.56793,2.33436,0.00,0.00,0.00,0.00,37.2865,19.3004,45.9701,51.7665,4.35054,3.484,7.34162,8.9102,1.98555,1.59736,3.38889,4.13043,4.60073,3.60296,7.25861,8.60662,0.00,0.00,0.00,0.00,8.35449,2.16956,5.97699,5.01845,0.481206,0.399179,0.870117,1.0819,0.542201,0.396827,0.773321,0.873296,0.0432717,0.0356861,0.0780837,0.0969986,0.475156,0.347667,0.674659,0.758867
7,7.34708,0.00,0.00,0.0581006,0.138613,0.118208,0.143509,0.112597,0.263049,0.225046,0.26673,0.223352,0.508486,0.437824,0.504269,0.00,0.00,0.00,0.00,4.24584,30.173,16.526,18.9309,4.07754,19.2234,11.7783,13.7788,1.92585,11.3068,6.5605,7.66556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21677,6.38064,4.92328,5.9349,2.42679,6.08216,4.76712,5.05092,1.16653,3.03764,2.45771,2.89055,0.00332165,0.00898311,0.00739358,0.0104784,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.316259,0.258434,0.508838,0.614527,0.365099,0.327993,0.683888,0.874511,0.220366,0.19672,0.411633,0.525628,0.00,0.00,0.00,0.00,12.3323,11.0078,23.0363,29.4135,2.33202,2.04236,4.2067,5.30878,1.08345,0.952245,1.96524,2.48782,2.26087,1.95553,3.93536,4.9055,0.00,0.00,0.00,0.00,0.958337,0.800402,1.6022,1.96453,0.278061,0.24817,0.519408,0.663147,0.243681,0.200226,0.394812,0.47828,0.0245554,0.0218343,0.0457956,0.0584513,0.218904,0.1784,0.348574,0.418051
8,6.35673,0.00,0.00,0.0298643,0.0694047,0.0610758,0.0730772,0.0543165,0.123323,0.109323,0.127451,0.106021,0.234093,0.209535,0.236543,0.00,0.00,0.00,0.00,1.11816,4.41065,2.92759,3.38762,1.53226,4.60354,3.42187,4.06296,0.599721,2.0409,1.46113,1.74725,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00575,2.45496,2.09364,2.51015,1.02963,2.24104,1.94526,1.99583,0.508017,1.1759,1.03085,1.19452,0.00128634,0.00336424,0.00285508,0.00393677,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0937006,0.0722096,0.140381,0.164904,0.094962,0.0837081,0.176266,0.22477,0.0563609,0.0491939,0.104161,0.132548,0.00,0.00,0.00,0.00,3.15345,2.75218,5.82772,7.41574,0.624283,0.528934,1.0939,1.36723,0.287287,0.244389,0.50784,0.636724,0.650435,0.542675,1.08676,1.33669,0.00,0.00,0.00,0.00,0.274343,0.217425,0.431743,0.51785,0.0710872,0.062036,0.131368,0.167161,0.0718001,0.0557018,0.108551,0.128025,0.00610917,0.0053174,0.0112736,0.0143418,0.0646183,0.0499339,0.096141,0.11217
9,7.26758,0.00,0.00,0.0713447,0.168353,0.14546,0.176163,0.134726,0.311131,0.270095,0.318914,0.26496,0.595574,0.521133,0.596915,0.00,0.00,0.00,0.00,5.30952,38.1299,21.0089,24.0648,4.89779,22.8327,14.2272,16.6873,2.30922,13.3923,7.86485,9.19568,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70785,7.77936,6.05832,7.28986,2.82178,6.98625,5.59742,5.8881,1.39473,3.60794,2.95302,3.46095,0.00451523,0.0118949,0.0100268,0.0139249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.441888,0.337917,0.646362,0.749111,0.394414,0.34675,0.730599,0.92983,0.247708,0.217171,0.458275,0.582886,0.00,0.00,0.00,0.00,13.8603,12.1505,25.6421,32.613,2.73379,2.31121,4.75296,5.91585,1.2788,1.08901,2.24793,2.81094,2.63869,2.13498,4.23283,5.10856,0.00,0.00,0.00,0.00,1.27492,1.00393,1.96593,2.33265,0.312465,0.273896,0.578068,0.735184,0.333452,0.257468,0.494773,0.577246,0.0275543,0.0240647,0.0508979,0.0647158,0.278628,0.216215,0.417435,0.488527
10,6.50067,0.00,0.00,0.0657074,0.158439,0.136536,0.169894,0.118071,0.27848,0.241416,0.293493,0.222938,0.511571,0.447206,0.52789,0.00,0.00,0.00,0.00,2.62181,10.6598,6.91467,8.1383,3.61767,11.2018,8.10054,9.83219,1.43466,4.98409,3.50957,4.28506,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27035,5.75396,4.79539,5.95806,2.0409,4.65233,3.85715,4.09171,1.10899,2.66959,2.28776,2.76406,0.00372815,0.00968516,0.00821962,0.0113501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.208163,0.162594,0.321534,0.380443,0.213815,0.185177,0.394144,0.498768,0.135669,0.1173,0.24991,0.316118,0.00,0.00,0.00,0.00,7.59194,6.56352,13.9845,17.6889,1.43728,1.21118,2.53194,3.15383,0.677263,0.574109,1.2038,1.50487,1.28151,1.04508,2.1259,2.59031,0.00,0.00,0.00,0.00,0.620754,0.496705,1.00137,1.20625,0.171167,0.14797,0.315289,0.398794,0.159788,0.125589,0.248902,0.295565,0.014927,0.0128511,0.027446,0.0346949,0.132016,0.104523,0.208726,0.249246
