route,access,mode,tod,On,Off,DriveAccessOn,WalkAccessOn,DirectTransferOn,WalkTransferOn,DirectTransferOff,WalkTransferOff,EgressOff,rts_name
1,All,All,Daily,441.118,441.119,0,223.13,185.628,32.3606,133.147,87.4565,220.516,TT 301 EB:RTP-Moore Sq
2,All,All,Daily,349.644,349.645,138.999,25.4912,170.922,14.2323,53.4661,32.6074,263.571,TT 300 EB:RTP-Moore Squ
3,All,All,Daily,118.95,118.95,22.0892,41.4746,39.0829,16.3037,36.7501,25.4322,56.7681,TT 300md EB:RTP-Moore Squ
4,All,All,Daily,320.042,320.043,14.1357,120.976,165.654,19.2764,56.5003,67.8221,195.72,TT 305 IB:Apex-Moore Sq
5,All,All,Daily,109.406,109.406,18.6647,23.9494,66.287,0.504722,11.7636,12.5995,85.0427,TT 800S WB
6,All,All,Daily,94.8884,94.8884,0,37.2474,57.641,0,40.6604,2.90174,51.3263,TT 800S EB
7,All,All,Daily,503.413,503.413,226.174,55.827,174.479,46.932,179.208,28.1896,296.015,TT CRX WB
8,All,All,Daily,343.485,343.484,8.96596,175.641,158.877,0,111.58,30.311,201.593,CHT A-Limited
9,All,All,Daily,482.348,482.348,3.41667,173.607,276.572,28.7518,47.3512,2.0383,432.958,CHT A NB:Weiner-SHS
10,All,All,Daily,144.624,144.624,0,144.08,0.544026,0,87.237,0,57.3875,CHT CW OB:JonesFerry-Pittsboro
11,All,All,Daily,448.466,448.466,0,40.0567,366.268,42.1416,4.88864,1.4972,442.08,CHT CW IB:Pittsboro-JonesFerry
12,All,All,Daily,390.818,390.818,9.96063,151.791,202.012,27.0542,92.9704,35.072,262.775,CHT CM IB:FamPrac-JonesFerry
13,All,All,Daily,369.151,369.151,0.735677,174.192,143.245,50.9781,18.1542,1.02676,349.97,CHT CM OB:JonesFerry-FamPrac
14,All,All,Daily,219.917,219.917,2.14941,15.4692,179.718,22.5794,38.3591,13.2495,168.308,CHT CL OB: UNCHosp-WaldenGrnflds
15,All,All,Daily,25.3442,25.3442,0.307249,5.08473,18.726,1.22623,4.61141,0.0746833,20.6581,CHT CL IB: WaldenGrnflds-UNCHosp
16,All,All,Daily,88.3518,88.3521,4.78638,77.5149,6.05057,0,51.5297,4.9291,31.8931,CHT CPX EB
17,All,All,Daily,71.667,71.667,0,0,13.0709,58.5961,0,0,71.667,CHT CPX WB
18,All,All,Daily,790.202,790.202,7.72977,401.49,351.229,29.7531,101.529,40.2195,648.454,CHT D OB:SmithLevel-Providence
19,All,All,Daily,987.384,987.384,535.462,386.941,38.62,26.3614,308.301,21.4323,657.651,CHT FCX OB:FridayCntr-Pittsboro
20,All,All,Daily,87.0099,87.0099,4.29014,32.2814,49.9787,0.459658,0,15.4238,71.5861,CHT FCX IB:Pittsboro-FridayCntr
21,All,All,Daily,580.554,580.554,1.65795,309.25,236.433,33.2126,163.504,0,417.049,CHT F IB:ColonyWoods-McDougle
22,All,All,Daily,605.793,605.793,0.521393,354.34,250.521,0.410818,177.054,6.99114,421.748,CHT F OB:McDougle-ColonyWoods
23,All,All,Daily,77.5347,77.5346,1.58591,73.1436,2.8052,0,23.8813,0,53.6534,CHT HS OB:MGElem-Varsity
24,All,All,Daily,71.5926,71.5926,1.58591,0,51.6011,18.4056,0.455167,0,71.1375,CHT HS IB:VarsityTheater-MGElem
25,All,All,Daily,1127.94,1127.94,0,901.365,205.955,20.621,232.919,31.4019,863.62,CHT J OB:RckCrkApts-JonesFerry
26,All,All,Daily,1355.6,1355.6,48.6492,1176.76,57.1661,73.0283,400.485,92.1841,862.933,CHT J IB:JonesFerry-RockCrkApt
27,All,All,Daily,120.641,120.641,5.74365,107.636,7.26068,0,70.2718,5.91492,44.454,CHT JFX IB:JonesFerryPNR-UNC
28,All,All,Daily,22.071,22.0709,0,0,5.37608,16.6949,0,0,22.0709,CHT JFX OB:UNC-JonesFerryPNR
29,All,All,Daily,367.224,367.224,11.1843,238.185,117.326,0.528636,173.709,50.6704,142.845,CHT N OB:FamilyPract-EstsPrkApt
30,All,All,Daily,153.71,153.71,0.764917,117.115,22.9812,12.8488,46.2199,0.139409,107.351,CHT N IB:EstsParkApt-FamilyPract
31,All,All,Daily,1371.05,1371.05,54.9962,1194.47,121.586,0,477.703,30.1043,863.244,CHT NS OB:Eubanks-SVillage
32,All,All,Daily,1832.87,1832.87,256.658,1192.18,358.483,25.5467,559.401,89.3003,1184.17,CHT NS IB:SVillage-Eubanks
33,All,All,Daily,1190.71,1190.71,403.484,716.283,70.5342,0.410818,572.913,19.7444,598.055,CHT NU OB: PRLot-UNCHosp
34,All,All,Daily,199.672,199.672,0,141.236,58.297,0.138724,112.612,0,87.06,CHT NU IB:UNCHosp-PR Lot
35,All,All,Daily,1472.35,1472.35,482.889,961.017,22.185,6.26121,661.489,42.5921,768.27,CHT S OB:FridayCntr-UNCHosp
36,All,All,Daily,347.581,347.58,0,169.508,167.856,10.2161,67.1071,2.08587,278.387,CHT S IB:UNCHosp-FridayCntr
37,All,All,Daily,256.958,256.958,3.62991,231.964,21.3634,0,105.456,2.76165,148.74,CHT T OB:ECHHS-UNC Hosp
38,All,All,Daily,255.685,255.685,0.35143,50.8648,197.226,7.24321,45.1011,0,210.584,CHT T IB:UNCHosp-ECHHghSch
39,All,All,Daily,1563.8,1563.8,23.554,1433.47,106.776,0,919.451,41.8231,602.527,CHT U
40,All,All,Daily,64.5324,64.5324,5.9346,17.6472,32.5734,8.37716,18.8696,0,45.6628,CHT V OB:SVillage-Meadowmont
41,All,All,Daily,100.817,100.817,0,1.27831,66.1643,33.3748,0,4.07034,96.7471,CHT CCX OB:ChapelHill-Chatham
42,All,All,Daily,41.6606,41.6607,0,0,41.6606,0,30.5917,0,11.069,CHT DX OB:UNC-ProvRdEastowne
43,All,All,Daily,128.539,128.539,0,38.2365,90.3029,0,24.1708,0,104.369,CHT DX IB:Providence-UNC
44,All,All,Daily,398.483,398.484,56.9649,18.9883,303.541,18.9883,0,0,398.484,CAT 40X SB:MooreSq-WakeTech
45,All,All,Daily,196.487,196.487,9.49416,186.992,0,0,186.992,0,9.49416,CAT 40X NB: Wake Tech-MooreSq
46,All,All,Daily,1334.64,1334.64,10.3233,370.026,870.352,83.9381,472.005,67.023,795.611,CAT 11-5:Trailwd Hills-Sanderford
47,All,All,Daily,561.165,561.165,2.48413,352.578,201.43,4.67264,266.385,9.49416,285.286,CAT 7L WB:SouthgateSC-RaleighOSC
48,All,All,Daily,498.92,498.92,9.77837,449.049,40.0926,0,362.94,21.0353,114.944,CAT 18 IB:WalnutCreekSC-Dwntwn
49,All,All,Daily,412.115,412.115,12.2248,137.115,262.775,0,151.949,12.2549,247.911,CAT 21-13:LakeWheeler-Holmes
50,All,All,Daily,239.913,239.913,1.7414,46.1536,142.224,49.7947,21.6108,0,218.303,CAT 15L
51,All,All,Daily,415.82,415.821,0,248.362,167.458,0,166.23,0,249.59,CAT 23L EB:CtreeVM-MilBrk&CBlvd
52,All,All,Daily,621.043,621.043,10.294,238.95,371.799,0,318.913,0,302.13,CAT 23L WB:MilBrk&CBlvd-CtreeVM
53,All,All,Daily,281.91,281.91,13.5227,171.746,96.641,0,91.6659,0,190.244,CAT 24L EB:NHilMal-Cptl&Sprgfor
54,All,All,Daily,58.4843,58.4843,0,14.3485,44.1358,0,21.5227,0,36.9616,CAT 70X NB:CrabtreeVM-LittleBrier
55,All,All,Daily,904.744,904.744,6.63472,664.577,226.897,6.63471,625.981,74.6766,204.086,CAT 6 IB
56,All,All,Daily,758.065,758.064,33.8683,30.7489,655.096,38.3516,54.2019,3.31736,700.545,CAT 6 OB
57,All,All,Daily,2183.27,2183.27,33.6071,575.616,1404.21,169.834,71.6471,137.553,1974.07,CAT 15 OB
58,All,All,Daily,2740.78,2740.78,20.588,2692.82,27.3661,0,2100.18,115.563,525.029,CAT 15 IB
59,All,All,Daily,109.816,109.816,0,109.816,0,0,69.0438,8.16297,32.6092,CAT 13 IB:Extra Headway
60,All,All,Daily,172.886,172.886,6.20901,6.08089,160.596,0,24.9912,0,147.895,CAT 13 OB:Extra Headway
61,All,All,Daily,2509.69,2509.69,4.95641,2250.37,254.365,0,2047.7,57.9624,404.031,CAT 1 IB:TriTCen
62,All,All,Daily,2639.41,2639.42,81.2956,574.445,1929.35,54.3263,696.992,7.12183,1935.3,CAT 1 OB:TriTCen
63,All,All,Daily,242.107,242.107,6.24733,197.733,38.1267,0,202.236,0,39.8706,CAT 22 IB:Extra Headway
64,All,All,Daily,290.464,290.464,7.69949,108.723,165.886,8.15543,118.162,2.33632,169.966,CAT 22 OB:Extra Headway
65,All,All,Daily,1518.76,1518.76,13.3318,791.283,653.77,60.3719,727.11,33.8117,757.834,CAT 19-7:WCSS-ShopsatGarner
66,All,All,Daily,0,0,0,0,0,0,0,0,0,CAT 55X IB:Poole-Moore Sq
67,All,All,Daily,812.378,812.378,0,136.612,642.503,33.2633,185.134,4.59377,622.65,CAT 7 OB:Extra Headway
68,All,All,Daily,5.84866,5.84866,2.87335,2.97531,0,0,0,0,5.84866,CAT JCX IB:Johnston Co.-Raleigh
69,All,All,Daily,78.2084,78.2084,0,4.95641,73.252,0,73.252,4.95641,0,CAT WRX IB:Wake Forest-Raleigh
70,All,All,Daily,76.6067,76.6067,0,0,70.5012,6.10551,17.7086,0,58.8981,CAT WRX OB:Raleigh-WF
71,All,All,Daily,72.5929,72.593,0,31.9203,33.6006,7.07198,53.4408,0,19.1522,CAT ZWX IB:Zebulon-Raleigh
73,All,All,Daily,17.9841,17.9841,0,0,13.7391,4.24495,4.24495,0,13.7391,CAT KRX OB:Raleigh-Knightdale
74,All,All,Daily,119.842,119.843,4.70217,110.184,4.95641,0,39.6514,0,80.1912,Wake Forest Loop
75,All,All,Daily,94.0434,94.0435,4.70217,89.3412,0,0,0,0,94.0435,Wake Forest Loop-md
76,All,All,Daily,28.7335,28.7335,2.87335,25.8601,0,0,17.2401,0,11.4934,FRX IB
78,All,All,Daily,0,0,0,0,0,0,0,0,0,DATA 10L SB
79,All,All,Daily,2.30067,2.30067,0,0,0,2.30067,0,0,2.30067,DATA 10L NB
80,All,All,Daily,67.9658,67.9658,0,9.36348,0,58.6024,9.67714,0,58.2887,DATA RSX IB: Robertson EXP
81,All,All,Daily,1381.47,1381.47,1233.3,148.174,0,0,574.02,305.647,501.805,NCSU 6 EB:CarterFinley-ScottHall
82,All,All,Daily,149.936,149.936,0,52.1514,97.7845,0,0,0,149.936,NCSU 6 WB:ScottHall-CarterFinley
83,All,All,Daily,458.685,458.685,7.23775,206.326,95.1456,149.976,36.7498,0,421.935,NCSU 2md WB
84,All,All,Daily,587.713,587.713,7.23775,301.542,122.054,156.879,42.2866,9.87149,535.554,NCSU 2 WB
85,All,All,Daily,44.3548,44.3548,0,35.4829,8.87187,0,10.3593,17.7566,16.2389,DUKE C1 OB:EastCampus-WestCampus
86,All,All,Daily,139.796,139.796,0,116.626,9.81218,13.3582,0,99.4959,40.3002,DUKE C1 IB
87,All,All,Daily,28.9234,28.9234,0,17.5076,11.4158,0,17.5076,0,11.4158,DUKE H2 IB:HospNorth-PG3
88,All,All,Daily,207.958,207.958,108.158,75.2928,24.5074,0,167.275,0,40.6829,DUKE H2 OB:PG3-HospitalNorth
89,All,All,Daily,23.3064,23.3064,0,6.63209,7.17299,9.50134,1.70789,4.9242,16.6743,DUKE C4
90,All,All,Daily,99.9084,99.9085,0,81.0905,18.8179,0,61.2853,6.78117,31.842,DUKE H5 OB:BroadSt-HookPlaza
91,All,All,Daily,0,0,0,0,0,0,0,0,0,DUKE PR1 IB:Entry11-BassettDr
92,All,All,Daily,3.44336,3.44336,0,0,0,3.44336,0,0,3.44336,DUKE C5
93,All,All,Daily,28.2681,28.2681,0,27.1656,0.584828,0.517673,0,24.5784,3.68967,DUKE CSW EB
94,All,All,Daily,7.18714,7.18715,0,4.96918,2.21796,0,1.11013,2.01729,4.05973,DUKE CSW WB:EastCps-WestCps
95,All,All,Daily,254.134,254.134,1.22714,181.212,67.9993,3.6951,95.0222,27.3165,131.795,CTRAN 5-3 NB:Kildaire-Harrison
96,All,All,Daily,256.501,256.501,0,25.6306,164.862,66.0084,13.1195,0,243.382,CAT 15Lmd
97,All,All,Daily,333.106,333.107,9.24186,165.407,158.457,0,50.6603,0,282.446,CAT 24L WB:Cptl&Sprgfor-NHilMal
98,All,All,Daily,92.5225,92.5225,0,0,75.575,16.9475,57.1396,0,35.3828,TT 102 OB:Moore Sq-Garner
99,All,All,Daily,22.0558,22.0558,0,19.3248,2.731,0,0,1.7742,20.2816,DATA RSX OB: Robertson EXP
100,All,All,Daily,1095.63,1095.63,2.14225,830.104,245.405,17.9776,366.699,28.6932,700.237,CHT RU
101,All,All,Daily,49.01,49.01,0,44.81,4.19993,0,15.3704,0,33.6395,CHT CCX IB:Chatham-ChapelHill
102,All,All,Daily,412.373,412.373,11.7468,282.505,91.7487,26.3724,174.458,12.0974,225.818,CHT G OB:UnivtoBooker
103,All,All,Daily,431.521,431.521,4.31931,111.279,290.96,24.9628,121.972,12.518,297.031,CHT G IB:BookerCreek-Univ
104,All,All,Daily,301.723,301.722,0,3.55809,240.674,57.4911,155.405,6.10551,140.211,TT CRX EB:Chapel Hill-Raleigh
105,All,All,Daily,143.009,143.009,0,58.9524,84.057,0,67.5822,0,75.4272,TT 102 IB
107,All,All,Daily,22.3698,22.3698,2.87335,19.4964,0,0,9.74821,0,12.6216,CLX IB: Clayton-Raleigh Exp
108,All,All,Daily,8.92593,8.92593,0,2.97531,2.97531,2.97531,0,0,8.92593,CAT JCX OB:Raleigh-Johnston Co.
109,All,All,Daily,22.9893,22.9893,1.98926,21,0,0,1.98926,0,21,CT Express IB:Siler City-UNCHosp
110,All,All,Daily,91.4469,91.4469,0,0,28.8879,62.559,0,0,91.4469,CHT PX OB:UNCHosp-Pittsboro
111,All,All,Daily,7.95702,7.95702,7.95702,0,0,0,7.95702,0,0,CHT PX IB:Pittsboro-UNCHosp
112,All,All,Daily,0,0,0,0,0,0,0,0,0,Orange-Alamance Connector EB
113,All,All,Daily,0,0,0,0,0,0,0,0,0,Orange-Alamance Connector WB
114,All,All,Daily,28.6969,28.6969,0,7.17423,21.5227,0,7.17423,0,21.5227,CAT 70X SB:LittleBrier-CrabtreeVM
115,All,All,Daily,759.834,759.834,16.134,415.818,320.238,7.64439,235.664,65.4409,458.729,CHT A SB:SHS-Weiner
116,All,All,Daily,75.8582,75.8581,0.796836,9.52565,62.2063,3.32936,7.45214,5.02323,63.3828,CHT V IB:Meadowmont-SVillage
117,All,All,Daily,219.531,219.531,7.23286,117.244,84.0756,10.978,50.9715,0,168.559,CTRAN 3-5 SB:Harrison-Kildaire
118,All,All,Daily,156.482,156.482,78.0194,47.2294,31.2332,0,128.021,0,28.4611,TT 201 WB:Millbrook-RTP
119,All,All,Daily,149.587,149.587,10.9155,25.0534,113.618,0,106.433,2.72745,40.4269,TT 311 NB:ApexTownHall-RTP
120,All,All,Daily,216.819,216.819,12.9318,33.5341,164.347,6.00572,43.2541,65.9427,107.622,TT 311 SB:RTP-ApexTownHall
121,All,All,Daily,116.55,116.55,0,18.3308,98.2194,0,54.8992,0,61.651,TT 46 SH:Trans Ctr-E RTP
122,All,All,Daily,475.057,475.057,102.424,93.5698,269.221,9.84182,127.999,33.9071,313.151,TT 800 WB:RTC-Southpoint-CH
123,All,All,Daily,127.357,127.357,10.5543,42.2374,74.5655,0,37.5274,0,89.8297,TT 47 SH:Trans Ctr-RTI
124,All,All,Daily,479.946,479.946,15.5419,225.624,238.78,0,159.446,50.9812,269.518,TT 805 WB:RTC-Woodcroft-CH
