route,route_short,rts_name,mode
Route 2: Falls of Neuse- INBOUND toward Downtown,GoRaleigh:2:CCW,CAT 2-8:FallsOfNeuse-SixFrksSta,2
Route 1: Capital- OUTBOUND toward Triangle Town Center,GoRaleigh:1:OB,CAT 1 OB:TriTCen,2
C-Tran: Route 2: COUNTERCLOCKWISE,C-Tran:2:CCW,CTRAN 2 Maynard Loop Two CTR,2
C-Tran: Route 4: OUTBOUND toward NC Hwy 55,C-Tran:6,CTRAN 6-4 WB:BuckJones-HighHouse,2
C-Tran: Route 5: INBOUND toward Train Station,C-Tran:5,CTRAN 5-3 NB:Kildaire-Harrison,2
Route 3: Glascock- OUTBOUND toward Crabtree at Timber,GoRaleigh:16,CAT 16-3:RexHosp-Crabtree,2
C-Tran: Route 3: OUTBOUND toward Harrison Square,C-Tran:3,CTRAN 3-5 SB:Harrison-Kildaire,2
Route 400: Wake Tech Express [40X]: OUTBOUND toward Wake Tech,GoRaleigh:400:OB,CAT 40X SB:MooreSq-WakeTech,3
Route 5: Biltmore Hills- OUTBOUND toward Sanderford at Idlewood Village,GoRaleigh:11,CAT 11-5:Trailwd Hills-Sanderford,2
Route 1: Capital- INBOUND toward Downtown,GoRaleigh:1:IB,CAT 1 IB:TriTCen,2
Route 16: Oberlin- OUTBOUND toward Rex Hospital,GoRaleigh:3,CAT 3-16:Crabtree-RexHosp,2
Route 150: Trawick Link [15L]: OUTBOUND toward Buffaloe at Dunwood,GoRaleigh:150:Loop,CAT 15L,2
Go Tri: Route 900 [CRX]- INBOUND toward Chapel Hill,GoTriangle:900:IB,TT CRX WB,3
Route 6: Crabtree- OUTBOUND toward Townridge Shopping Center,GoRaleigh:6:OB,CAT 6 OB,2
Route 5: Biltmore Hills- INBOUND toward Downtown,GoRaleigh:5,CAT 5-11:Sanderford-Trailwd Hills,2
Route 8: Six Forks - OUTBOUND toward North Hills at Northclift,GoRaleigh:8:CW,CAT 8-2:SixFrksSta-FallsOfNeuse,2
Go Tri: Route 100- INBOUND toward Downtown,GoTriangle:100:IB,TT 100 EB:RTC-Moore Sq,2
Route 50: R-Line- CIRCULAR,GoRaleigh:50:Loop,CAT R-LINE,2
Go Tri: Route 105- INBOUND toward Downtown,GoTriangle:105:IB,TT 105 EB:RTP-Moore Sq,3
WolfLine: Route 9: LOOP,Wolfline:9:Loop,NCSU 9:GreekVillage,2
WolfLine: Route 8: LOOP,Wolfline:8:Loop,NCSU 8:SoutheastLoop,2
Route 18: Worthdale- INBOUND toward Downtown,GoRaleigh:18:IB,CAT 18 IB:WalnutCreekSC-Dwntwn,2
Route 70: Carolina Pines [7L]: EASTBOUND toward Southgate Plaza,GoRaleigh:70:EB,CAT 7L EB:RaleighOSC-SouthgateSC,2
Route 19: Apollo Heights- OUTBOUND toward Swinburne at Kidd,GoRaleigh:7,CAT 7-19:ShopsatGarner-WCSS,2
C-Tran: Route 6: INBOUND toward Train Station,C-Tran:6,CTRAN 6-4 WB:BuckJones-HighHouse,2
WolfLine: Route 10: LOOP,Wolfline:10:Loop,NCSU 10:Southside Circulator,2
Go Tri: Route 201- INBOUND toward North Raleigh,GoTriangle:201:IB,,
Route 19: Apollo Heights- INBOUND toward Downtown,GoRaleigh:19,CAT 19-7:WCSS-ShopsatGarner,2
Route 6: Crabtree- INBOUND toward Downtown,GoRaleigh:6:IB,CAT 6 IB,2
Route 7: South Saunders- INBOUND toward Downtown,GoRaleigh:7,CAT 7-19:ShopsatGarner-WCSS,2
