Origin,Destination,Length
1,1,3.15425
1,71,12.942
1,512,16.7008
1,612,21.293
1,650,19.1629
1,1334,14.0456
2,2,2.1317
2,4,4.60367
2,5,5.32539
2,19,7.656
2,56,7.20186
2,63,7.49973
2,1232,13.5019
2,1233,17.7048
2,1344,15.0096
2,2225,27.8952
3,2,3.12748
3,3,2.31637
3,4,3.44289
3,5,4.16462
3,6,3.61712
3,19,4.85425
3,517,14.8996
3,540,18.9987
3,1116,7.62841
3,1137,7.38643
3,1190,22.4911
3,1298,8.96416
3,1342,12.2417
3,1346,11.984
3,1347,10.6467
3,1349,11.1586
3,2169,26.1952
3,2369,26.6054
3,2398,25.1906
3,3013,8.93569
4,4,1.56039
4,19,2.39602
4,56,10.6034
4,81,19.9813
4,519,13.6363
4,578,19.9114
4,650,12.1438
4,1327,10.1088
4,1334,10.569
4,1344,9.34205
4,1346,9.66514
4,1373,4.58917
4,3013,6.61686
5,6,2.86087
5,7,1.64526
5,17,1.53257
5,19,1.79971
5,1338,10.0168
6,2,4.09194
6,6,1.74308
6,7,3.87492
6,9,2.47072
6,13,7.92132
6,14,3.95369
6,16,6.89425
6,17,4.19887
6,19,3.55051
6,56,7.14463
6,57,9.31524
6,65,10.4499
6,67,6.35595
6,195,21.5322
6,498,18.0882
6,501,14.6115
6,506,11.4718
6,511,15.6172
6,533,16.2753
6,626,13.0106
6,1129,8.07093
6,1278,9.43596
6,1324,10.9395
6,1373,5.74365
6,2168,22.5511
6,2369,29.7974
6,2386,19.9035
6,3025,19.1859
7,4,3.43627
7,6,3.87492
7,7,1.21672
7,41,7.96847
7,211,20.9412
7,1285,7.62912
7,2137,26.3422
9,6,2.47072
9,19,4.16637
9,20,11.636
11,5,8.29897
11,11,2.19008
11,589,23.4022
11,2106,14.0721
11,2117,14.6699
11,2369,27.6305
12,12,2.25957
12,13,4.65974
12,16,7.021
12,17,6.5873100000000004
12,33,16.2454
12,584,28.0675
13,56,11.8645
13,2069,16.0011
13,2106,16.5148
13,2110,16.039
13,2375,28.7361
13,2392,26.0763
14,14,1.67983
14,17,3.45976
14,19,4.87643
14,57,8.14791
14,62,10.5536
14,65,9.28254
14,77,7.48678
14,650,15.0318
14,1125,9.49452
14,1141,8.45028
14,1345,11.9368
14,1346,12.5531
14,1370,8.52756
14,2066,17.186
15,17,1.40056
15,57,10.4937
15,70,11.5225
15,3012,8.89306
16,6,6.89425
16,13,4.07925
16,16,2.24257
16,19,5.06205
16,1347,10.4083
16,3013,9.69047
17,17,0.97703
17,19,2.27897
17,626,12.1466
17,1342,10.2134
17,3013,6.90738
18,18,1.70637
18,19,4.51267
18,41,1.51429
18,65,14.5558
18,211,19.9732
18,514,9.36919
18,515,9.13019
18,627,11.547
18,1285,6.28367
18,1306,6.1383
18,1353,9.55345
18,1358,6.79471
18,1366,7.83595
18,1373,5.33171
18,2096,15.5307
18,3009,34.0071
19,14,4.87643
19,17,2.27897
19,19,1.61759
19,42,6.57705
19,62,14.1351
19,67,8.77008
19,70,12.7582
19,363,18.8952
19,514,10.5704
19,525,13.0233
19,626,10.498
19,1118,6.74662
19,1235,9.45856
19,1282,5.87457
19,1342,8.56473
19,1344,7.9839
19,1345,7.69066
19,1346,8.30699
19,1349,7.48165
19,1373,3.95214
19,3013,5.25871
20,65,9.95275
20,1467,42.7024
21,1,8.80851
21,3,14.1847
21,19,19.6023
21,21,3.19487
21,25,6.2719
21,57,9.68159
21,70,10.5009
21,71,9.48608
21,78,21.4486
21,567,41.0627
21,1142,12.6273
21,2960,26.5647
21,2976,26.3107
21,2995,26.9816
22,1278,21.9036
22,1346,24.8293
24,6,15.1331
24,9,13.9287
24,14,13.9658
24,17,16.1306
24,19,17.5473
24,24,2.84728
24,26,7.61596
24,56,4.7372
24,57,7.49771
24,65,8.42278
24,66,10.6795
24,71,7.30219
24,1358,23.2958
24,1365,24.0136
26,22,6.17511
26,70,8.64656
26,1246,26.3864
26,2997,32.0355
26,3013,23.5436
27,62,16.5292
28,28,3.21966
28,2169,29.8991
28,2208,36.0868
30,587,34.7335
31,65,7.97735
31,3083,34.4995
33,33,1.64597
33,57,21.0035
33,285,17.2926
33,301,10.9684
33,349,20.8024
33,449,15.5496
33,511,4.81479
33,519,5.38656
33,558,7.49021
33,563,8.79577
33,584,12.6226
33,589,7.99029
33,639,7.60754
33,1299,11.0679
33,1666,17.3904
33,1821,33.901
33,1864,19.0026
33,1869,20.8569
33,1874,19.554
33,1876,20.0764
33,1882,19.2344
33,2087,4.83122
33,2097,5.1165
33,2103,12.5602
33,2106,9.35197
33,2122,10.1997
33,2164,16.2879
33,2168,14.6504
33,2191,9.73711
33,2192,9.34686
33,2226,18.1941
33,2239,12.2046
33,2244,13.2633
33,2291,11.3087
33,2307,11.2374
33,2320,9.53411
33,2330,10.6708
33,2364,4.42264
33,2365,3.75501
33,2368,3.60848
33,2372,5.93736
33,2377,6.45315
33,2381,6.97289
33,2384,3.86024
34,515,5.15872
36,32,8.17487
36,36,1.73361
36,519,8.92912
36,564,13.7714
36,575,11.3447
36,1695,26.6873
36,2087,4.13986
36,2110,7.0227
36,2191,8.31681
36,2330,9.2505
36,3036,22.7768
37,2148,9.09756
38,540,13.6022
38,2110,7.97465
38,2346,10.426
39,2280,21.508
40,14,10.8187
40,40,1.94398
40,42,4.66515
40,57,15.6857
40,2093,4.94193
41,16,4.68965
41,19,6.23796
41,41,1.33983
41,65,17.3501
41,231,15.0156
41,326,16.9832
41,506,5.34043
41,519,7.65777
41,540,10.1631
41,597,14.1021
41,1116,5.75806
41,1139,6.31765
41,1144,7.03782
41,1194,20.8403
41,1273,5.71302
41,1276,5.82656
41,1285,5.51686
41,1303,5.82182
41,1311,4.34129
41,1316,7.1717
41,1324,8.47881
41,1345,7.74259
41,1349,5.51739
41,1369,5.57542
41,1617,22.8709
41,2369,18.9722
49,49,2.69169
49,1856,20.125
49,2106,16.984
49,2119,14.9968
49,2175,17.6182
51,30,14.8632
53,30,6.37485
53,56,18.0717
53,587,30.9255
53,1877,22.5353
53,2485,34.4892
56,2,7.20186
56,19,9.55876
56,57,4.38569
56,65,5.52032
56,71,4.66433
56,321,24.8836
56,1364,14.4949
56,3013,14.1872
57,5,10.983
57,17,10.3127
57,19,11.7294
57,56,4.38569
57,57,1.02339
57,62,2.83903
57,65,1.79919
57,70,1.69343
57,71,0.600948
57,361,28.7748
57,576,30.0119
57,1230,20.6709
57,1279,19.741
57,2096,22.548
57,2106,19.8473
57,2164,23.6911
58,71,3.63151
59,70,2.73643
59,71,1.72161
59,1373,16.1567
62,65,1.99272
63,67,3.96899
64,14,2.32566
64,56,5.0079
64,70,8.20737
64,71,7.7403
64,626,15.7748
64,1334,14.4877
64,2110,15.8408
65,14,9.21884
65,57,1.73549
65,65,1.00041
65,70,0.847119
65,71,1.41904
65,1230,21.7419
65,1345,19.8607
65,1369,15.064
65,1373,15.401
65,1615,31.2604
65,1751,33.4532
65,2147,19.7366
66,26,11.7272
67,14,5.18862
67,17,7.35341
67,19,8.77008
67,23,14.0863
67,41,13.2562
67,63,3.96899
67,65,6.97636
67,67,2.24282
67,70,6.87059
67,71,6.40352
67,564,28.6725
67,1342,16.7045
67,2369,29.7696
68,19,8.77644
68,1420,29.5856
69,57,2.85587
69,65,2.07326
69,71,2.53942
69,361,31.72
69,1125,19.2927
69,2147,18.5514
70,19,12.6945
70,57,1.62973
70,62,1.88696
70,65,0.847119
70,70,0.876257
70,612,24.98
71,57,0.600948
71,65,1.39484
71,70,1.02818
71,71,0.755993
73,71,3.98886
76,71,4.29024
77,39,6.72723
77,62,6.61785
77,77,3.22196
77,1511,27.0333
77,1662,32.6026
77,2106,13.255
77,2169,16.0262
77,2171,16.384
77,2249,16.7937
77,2304,20.6521
77,2665,32.2685
78,19,8.52093
78,650,6.4893
78,1124,4.78764
78,1327,4.45238
78,1349,0.895352
78,1350,2.31734
79,1298,4.3159
79,1346,4.65498
80,109,15.7443
80,216,11.9371
80,221,14.2946
80,316,12.3739
80,617,8.45774
80,1293,4.39153
80,2250,17.3344
81,132,13.8229
81,184,11.4554
81,266,10.75
81,582,5.05266
81,593,0.90463
81,596,0.35369
81,608,11.8112
81,1431,16.1997
81,1697,18.3452
81,2185,12.9096
81,2370,3.24677
81,2377,5.31573
82,83,2.5867
82,563,5.19668
82,1441,17.5751
82,2396,4.20568
83,249,8.7682
83,285,10.1582
83,1867,16.2746
83,1877,14.3145
83,2743,19.5501
84,501,7.36049
84,564,2.35415
84,568,3.01546
84,574,1.16814
84,585,1.99135
84,588,0.595434
84,596,0.913866
84,2272,8.85881
84,2315,5.18364
86,86,0.28676
86,116,2.71721
86,142,1.57036
86,144,1.24304
86,214,2.76419
86,311,1.0264
86,321,0.387818
86,359,2.62794
86,377,1.64564
86,390,4.89236
86,425,8.57405
86,608,4.46278
86,612,4.54501
86,1312,11.6221
86,1484,26.3384
86,1698,29.293
86,2291,18.6527
86,3020,0.71132
86,3023,1.42387
86,3025,0.645076
86,3026,1.54606
86,3029,0.567136
87,86,5.8776
87,87,0.316293
87,88,0.77617100000000006
87,95,0.776146
87,100,2.25191
87,364,3.60587
87,416,4.519
87,1192,12.2574
87,3018,5.892
87,3025,4.01431
88,87,0.77617100000000006
88,88,0.395346
88,90,0.837059
88,144,4.52248
88,352,2.98245
88,395,3.33485
88,438,4.70732
88,559,9.83271
88,578,7.22882
88,612,8.99993
89,88,0.452777
89,254,3.92418
89,372,4.43965
90,90,0.405585
90,120,2.31598
90,142,2.9247
90,440,5.71155
90,596,12.1889
90,1347,14.2028
90,3030,5.85899
91,390,1.72615
91,394,2.36046
92,116,2.31191
92,248,3.42268
