taz,airport_productions,lng,lat,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkDistrict,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,RDU_ENPLANE,hotel_rooms,dist_to_airport_miles,employment,workers,high_paying_jobs,high_paying_jobs_distance,observed_productions,estimated_productions
2,0,-79.16745555844535,35.814056204867114,Internal,391,954,76534,48,18.3,11.3,0,0,0,954,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,32.70483,137,457.91999999999996,61.65,2016.2527695,0,10.663374213614611
17,3,-79.07438104342549,35.82577147769806,Internal,104,246,79000,40,11,39.7,0,0,0,246,1,13,76,4,89,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.685085,183,98.4,20.13,557.30076105,3.27119607703788,4.36908567328311
19,0,-79.07183871660615,35.847986828105945,Internal,410,996,100714,40,21.7,26.9,0,0,0,996,288,67,163,45,367,20,0,0,0,0,0,106,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30.271782,930,398.40000000000003,186,5630.551452000001,0,13.320362171654228
32,11,-78.98794283384133,35.72342820040376,Internal,84,199,100221,43,16.6,16.4,0,0,0,199,156,3,59,2,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.170349,253,85.57,108.78999999999999,2303.12226771,11.994385615805559,2.9720951168970515
33,76,-78.93928209614067,35.83622746969059,Internal,1694,3549,82833,33,13.9,42.3,0,0,0,3549,7,24,70,10,7,36,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.302312,118,1171.17,42.48,522.60221376,82.87030061829294,34.99346801695237
34,4,-78.96345208098654,35.85228544553287,Internal,161,445,82833,33,13.9,42.3,0,0,0,445,28,21,9,0,6,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.045568,64,146.85,26.24,447.27570431999993,4.3615947693838395,4.717927836100177
35,9,-78.92305778623368,35.85736766459666,Internal,111,266,82833,33,13.9,42.3,0,0,0,266,0,32,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15767,40,87.78,15.600000000000001,189.65965200000002,9.81358823111364,3.116952078333688
36,26,-78.94531969065444,35.80097256360916,Internal,278,681,82833,33,13.9,42.3,0,4,0,685,5,37,11,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.661383,54,224.73000000000002,17.82,314.72584506000004,28.350366000994956,6.855666878065236
37,4,-78.95160435531282,35.76392653792819,Internal,90,208,100221,43,16.6,16.4,0,0,0,208,31,17,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.791929,61,89.44,30.5,512.1538345,4.3615947693838395,3.0189586591815822
38,3,-78.99181803943917,35.76678150628602,Internal,157,374,100221,43,16.6,16.4,0,0,0,374,74,24,32,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,19.557652,144,160.82,50.4,985.7056608,3.27119607703788,5.480098052051769
39,11,-78.98068591999476,35.743970051643124,Internal,123,273,100221,43,16.6,16.4,0,0,0,273,17,17,38,4,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.804768,111,117.39,56.61,1177.75791648,11.994385615805559,3.388322465001931
40,2,-78.9828994664952,35.79372021840954,Internal,175,437,82833,33,13.9,42.3,0,0,0,437,13,32,29,0,8,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.407518,82,144.21,31.98,620.65242564,2.1807973846919197,4.554478232231041
46,3,-79.03825857644244,35.62917651135808,Internal,78,160,66667,43,28,25.3,0,0,0,160,304,4,5,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.017662,315,68.8,148.04999999999998,4592.164859099999,3.27119607703788,0
49,0,-79.02734048370579,35.59882618003797,Internal,73,178,66667,43,28,25.3,0,0,0,178,505,13,8,2,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.379637,530,76.53999999999999,408.1,12397.9298597,0,0
50,0,-79.00858228674076,35.670445595875954,Internal,174,465,66667,43,28,25.3,0,0,0,465,47,29,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.290701,100,199.95,25,682.267525,0,5.843694093199984
51,0,-78.98631523370263,35.55008089947895,Internal,42,99,66667,43,28,25.3,0,0,0,99,5,5,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.922527,12,42.57,6,209.535162,0,0.9149607204221041
53,8,-79.06771385917699,35.61675047312932,Internal,147,323,50238,43,17.7,16.5,0,0,0,323,22,36,21,12,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.881615,100,138.89,37,1216.619755,8.723189538767679,2.78095620256289
55,0,-79.07480688061523,35.63842122613282,Internal,120,316,50238,43,17.7,16.5,0,0,0,316,25,56,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,33.380451,87,135.88,43.5,1452.0496185,0,1.9793325897973215
65,3,-79.1666702045343,35.73334341027196,Internal,445,1037,52083,45,19.3,16.9,0,0,0,1037,53,41,193,31,416,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.666069,734,466.65000000000003,139.46,4416.14998274,3.27119607703788,14.577475643162076
81,49,-78.83840055914955,35.87160937700552,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,195,427,49,10,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158463,689,0,337.61,2079.1586934300003,53.429535924952035,18.322854424236
82,21,-78.85406560000698,35.86940652695624,Internal,394,915,77485,72,9.3,3.6,0,0,0,915,55,39,14,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.263542,108,658.8,74.52,690.3191498399999,22.898372539265157,21.249787335825644
83,342,-78.8447640423045,35.88260827039738,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,0,236,327,180,28,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.813744,771,0,678.48,3944.50902912,218.07973846919197,28.882153962775398
84,54,-78.85192369303213,35.87956943639691,Internal,292,533,77485,72,9.3,3.6,0,6,0,539,17,17,57,79,66,74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.231887,236,383.76,174.64,1088.33674568,58.881529386681834,18.579557568413293
