inc_ratio,incL,incML,incMH,incH
0.22,0.7064,0.2452,0.0377,0.0107
0.23,0.6918,0.2566,0.0403,0.0113
0.24,0.6774,0.2677,0.0429,0.012
0.25,0.6632,0.2784,0.0457,0.0127
0.26,0.6493,0.2889,0.0484,0.0134
0.27,0.6356,0.299,0.0513,0.0141
0.28,0.6222,0.3088,0.0542,0.0148
0.29,0.6091,0.3183,0.0571,0.0155
0.3,0.5961,0.3275,0.0602,0.0162
0.31,0.5835,0.3364,0.0632,0.0169
0.32,0.571,0.345,0.0663,0.0177
0.33,0.5588,0.3533,0.0695,0.0184
0.34,0.5468,0.3613,0.0727,0.0192
0.35,0.5349,0.3691,0.076,0.02
0.36,0.5234,0.3765,0.0793,0.0208
0.37,0.512,0.3837,0.0827,0.0216
0.38,0.5009,0.3907,0.086,0.0224
0.39,0.49,0.3973,0.0895,0.0232
0.4,0.4793,0.4037,0.0929,0.0241
0.41,0.4688,0.4099,0.0964,0.0249
0.42,0.4585,0.4157,0.1,0.0258
0.43,0.4484,0.4214,0.1035,0.0267
0.44,0.4385,0.4268,0.1071,0.0276
0.45,0.4288,0.4319,0.1108,0.0285
0.46,0.4193,0.4368,0.1144,0.0295
0.47,0.41,0.4415,0.1181,0.0304
0.48,0.4008,0.446,0.1218,0.0314
0.49,0.3919,0.4502,0.1255,0.0324
0.5,0.3832,0.4541,0.1293,0.0334
0.51,0.3746,0.458,0.133,0.0344
0.52,0.3662,0.4616,0.1368,0.0354
0.53,0.358,0.465,0.1406,0.0364
0.54,0.35,0.4681,0.1444,0.0375
0.55,0.3421,0.4711,0.1482,0.0386
0.56,0.3344,0.4739,0.152,0.0397
0.57,0.3269,0.4764,0.1559,0.0408
0.58,0.3195,0.4789,0.1597,0.0419
0.59,0.3123,0.481,0.1636,0.0431
0.6,0.3053,0.483,0.1674,0.0443
0.61,0.2984,0.4849,0.1713,0.0454
0.62,0.2917,0.4865,0.1752,0.0466
0.63,0.2851,0.488,0.179,0.0479
0.64,0.2787,0.4893,0.1829,0.0491
