avg_vehicles,veh0,veh1,veh2,veh3
0,0.9851,0,0.0149,0
0.01,0.9786,0.0125,0.0089,0
0.02,0.9707,0.0261,0.0032,0
0.03,0.9606,0.0394,0,0
0.04,0.9473,0.0525,0,2e-4
0.05,0.9316,0.0653,0,0.0031
0.06,0.9161,0.078,0,0.0059
0.07,0.9011,0.0904,0,0.0085
0.08,0.8863,0.1026,0,0.0111
0.09,0.8717,0.1147,0,0.0136
0.1,0.8575,0.1265,0,0.016
0.11,0.8437,0.1381,0,0.0182
0.12,0.8302,0.1494,0,0.0204
0.13,0.8169,0.1606,0,0.0225
0.14,0.8039,0.1716,0,0.0245
0.15,0.7912,0.1824,0,0.0264
0.16,0.7787,0.193,0,0.0283
0.17,0.7666,0.2034,0,0.03
0.18,0.7547,0.2136,0,0.0317
0.19,0.7432,0.2235,0,0.0333
0.2,0.7318,0.2334,0,0.0348
0.21,0.7208,0.243,0,0.0362
0.22,0.71,0.2524,0,0.0376
0.23,0.6995,0.2616,0,0.0389
0.24,0.6892,0.2707,0,0.0401
0.25,0.6793,0.2795,0,0.0412
0.26,0.6695,0.2882,0,0.0423
0.27,0.66,0.2967,0,0.0433
0.28,0.6506,0.3051,0,0.0443
0.29,0.6416,0.3132,0,0.0452
0.3,0.6328,0.3212,0,0.046
0.31,0.6242,0.329,0,0.0468
0.32,0.6159,0.3366,0,0.0475
0.33,0.6077,0.3441,0,0.0482
0.34,0.5998,0.3514,0,0.0488
0.35,0.5922,0.3585,0,0.0493
0.36,0.5848,0.3654,0,0.0498
0.37,0.5775,0.3722,0,0.0503
0.38,0.5704,0.3789,0,0.0507
0.39,0.5636,0.3853,0,0.0511
0.4,0.5569,0.3917,0,0.0514
0.41,0.5506,0.3978,0,0.0516
0.42,0.5443,0.4038,0,0.0519
0.43,0.5383,0.4096,0,0.0521
0.44,0.5325,0.4153,0,0.0522
0.45,0.5267,0.4209,0,0.0524
0.46,0.5213,0.4263,0,0.0524
0.47,0.516,0.4315,0,0.0525
0.48,0.5109,0.4366,0,0.0525
0.49,0.5059,0.4416,0,0.0525
0.5,0.5011,0.4464,0,0.0525
0.51,0.4966,0.451,0,0.0524
0.52,0.4922,0.4555,0,0.0523
0.53,0.4879,0.4599,0,0.0522
0.54,0.4837,0.4642,0,0.0521
0.55,0.4798,0.4683,0,0.0519
0.56,0.476,0.4723,0,0.0517
0.57,0.4724,0.4761,0,0.0515
0.58,0.4689,0.4798,0,0.0513
0.59,0.4655,0.4834,0,0.0511
0.6,0.4704,0.4788,0,0.0508
0.61,0.4638,0.4856,0,0.0506
0.62,0.4573,0.4924,0,0.0503
0.63,0.4508,0.4965,0.0027,0.05
0.64,0.4444,0.4994,0.0065,0.0497
0.65,0.438,0.5023,0.0103,0.0494
0.66,0.4318,0.5049,0.0142,0.0491
0.67,0.4255,0.5075,0.0182,0.0488
0.68,0.4194,0.51,0.0222,0.0484
0.69,0.4133,0.5124,0.0262,0.0481
0.7,0.4072,0.5146,0.0304,0.0478
0.71,0.4013,0.5168,0.0345,0.0474
0.72,0.3954,0.5187,0.0388,0.0471
0.73,0.3895,0.5207,0.043,0.0468
0.74,0.3837,0.5225,0.0474,0.0464
0.75,0.378,0.5242,0.0517,0.0461
0.76,0.3723,0.5258,0.0561,0.0458
0.77,0.3667,0.5272,0.0606,0.0455
0.78,0.3612,0.5286,0.0651,0.0451
0.79,0.3557,0.5299,0.0696,0.0448
0.8,0.3502,0.5312,0.0741,0.0445
0.81,0.3449,0.5322,0.0787,0.0442
0.82,0.3396,0.5331,0.0834,0.0439
0.83,0.3343,0.534,0.088,0.0437
0.84,0.3291,0.5348,0.0927,0.0434
0.85,0.324,0.5354,0.0974,0.0432
0.86,0.3189,0.5361,0.1021,0.0429
0.87,0.3138,0.5367,0.1068,0.0427
0.88,0.3089,0.537,0.1116,0.0425
