avg_workers,wrk0,wrk1,wrk2,wrk3
0,0.9908,0,0.0092,0
0.01,0.9911,0,0.0089,0
0.02,0.9914,0,0.0086,0
0.03,0.9866,0.005,0.0084,0
0.04,0.976,0.0157,0.0083,0
0.05,0.9654,0.0263,0.0083,0
0.06,0.9549,0.0368,0.0083,0
0.07,0.9443,0.047,0.0085,2e-4
0.08,0.9335,0.0572,0.0087,6e-4
0.09,0.923,0.0671,0.0089,0.001
0.1,0.9124,0.0769,0.0093,0.0014
0.11,0.9019,0.0866,0.0097,0.0018
0.12,0.8914,0.0962,0.0102,0.0022
0.13,0.8813,0.1055,0.0107,0.0025
0.14,0.871,0.1148,0.0113,0.0029
0.15,0.8609,0.1239,0.012,0.0032
0.16,0.8509,0.1328,0.0128,0.0035
0.17,0.841,0.1416,0.0136,0.0038
0.18,0.8311,0.1503,0.0145,0.0041
0.19,0.8213,0.1588,0.0155,0.0044
0.2,0.8117,0.1671,0.0165,0.0047
0.21,0.8021,0.1754,0.0176,0.0049
0.22,0.7925,0.1835,0.0188,0.0052
0.23,0.7832,0.1914,0.02,0.0054
0.24,0.7738,0.1992,0.0213,0.0057
0.25,0.7646,0.2069,0.0226,0.0059
0.26,0.7554,0.2145,0.024,0.0061
0.27,0.7463,0.2219,0.0255,0.0063
0.28,0.73740000000000006,0.2291,0.027,0.0065
0.29,0.7285,0.2363,0.0285,0.0067
0.3,0.7196,0.2433,0.0302,0.0069
0.31,0.7109,0.2501,0.0319,0.0071
0.32,0.7023,0.2569,0.0336,0.0072
0.33,0.6937,0.2635,0.0354,0.0074
0.34,0.6851,0.27,0.0373,0.0076
0.35,0.6768,0.2763,0.0392,0.0077
0.36,0.6685,0.2825,0.0411,0.0079
0.37,0.6603,0.2886,0.0431,0.008
0.38,0.6521,0.2946,0.0452,0.0081
0.39,0.644,0.3004,0.0473,0.0083
0.4,0.6359,0.30620000000000003,0.0495,0.0084
0.41,0.628,0.3118,0.0517,0.0085
0.42,0.6201,0.3172,0.054,0.0087
0.43,0.6123,0.3226,0.0563,0.0088
0.44,0.6047,0.3278,0.0586,0.0089
0.45,0.5971,0.3329,0.061,0.009
0.46,0.5894,0.3379,0.0635,0.0092
0.47,0.5821,0.3427,0.0659,0.0093
0.48,0.5746,0.3475,0.0685,0.0094
0.49,0.5674,0.3521,0.071,0.0095
0.5,0.5601,0.3566,0.0737,0.0096
0.51,0.5529,0.361,0.0763,0.0098
0.52,0.5458,0.3653,0.079,0.0099
0.53,0.5387,0.3695,0.0818,0.01
0.54,0.5319,0.3735,0.0845,0.0101
0.55,0.5249,0.3775,0.0873,0.0103
0.56,0.5181,0.3813,0.0902,0.0104
0.57,0.5114,0.385,0.0931,0.0105
0.58,0.5047,0.3886,0.096,0.0107
0.59,0.4982,0.3921,0.0989,0.0108
0.6,0.4917,0.3955,0.1019,0.0109
0.61,0.4851,0.3988,0.105,0.0111
0.62,0.4788,0.402,0.108,0.0112
0.63,0.4725,0.405,0.1111,0.0114
0.64,0.4663,0.408,0.1142,0.0115
0.65,0.4601,0.4108,0.1174,0.0117
0.66,0.4539,0.4136,0.1206,0.0119
0.67,0.4478,0.4163,0.1238,0.0121
0.68,0.442,0.4188,0.127,0.0122
0.69,0.4361,0.4212,0.1303,0.0124
0.7,0.4303,0.4236,0.1335,0.0126
0.71,0.4197,0.4306,0.1369,0.0128
0.72,0.414,0.4327,0.1402,0.0131
