orig_taz,dest_taz,auto,cv_sut,cv_mut
3234,3235,0.01,0.01,0.01
3234,3236,0.01,0.01,0.01
3234,3237,0.01,0.01,0.01
3234,3238,0.01,0.01,0.01
3234,3239,0.01,0.01,0.01
3234,3240,0.01,0.01,0.01
3234,3241,0.01,0.01,0.01
3234,3242,0.01,0.01,0.01
3234,3243,0.01,0.01,0.01
3234,3244,0.01,0.01,0.01
3234,3245,0.01,0.01,0.01
3234,3246,0.01,0.01,0.01
3234,3247,0.01,0.01,0.01
3234,3248,0.01,0.01,0.01
3234,3249,0.01,0.01,0.01
3234,3250,0.01,0.01,0.01
3234,3251,0.01,0.01,0.01
3234,3252,0.01,0.01,0.01
3234,3253,0.01,0.01,0.01
3234,3254,0.01,0.01,0.01
3234,3255,0.01,0.01,0.01
3234,3256,0.01,0.01,0.01
3234,3257,0.01,0.01,0.01
3234,3258,0.01,0.01,0.01
3234,3259,0.01,0.01,0.01
3234,3260,0.01,0.01,0.01
3234,3261,0.01,0.01,0.01
3234,3262,0.01,0.01,0.01
3234,3263,0.01,0.01,0.01
3234,3264,0.01,0.01,0.01
3234,3265,0.01,0.01,0.01
3234,3266,0.01,0.01,0.01
3234,3267,0.01,0.01,0.01
3234,3268,0.01,0.01,0.01
3234,3269,0.01,0.01,0.01
3234,3270,0.01,0.01,0.01
3234,3271,0.01,0.01,0.01
3234,3272,0.01,0.01,0.01
3234,3273,0.01,0.01,0.01
3234,3274,0.01,0.01,0.01
3234,3275,0.01,0.01,0.01
3234,3276,0.01,0.01,0.01
3234,3277,0.01,0.01,0.01
3234,3278,0.01,0.01,0.01
3234,3279,0.01,0.01,0.01
3234,3280,0.01,0.01,0.01
3234,3281,0.01,0.01,0.01
3234,3282,0.01,0.01,0.01
3234,3283,0.01,0.01,0.01
3234,3284,0.01,0.01,0.01
3234,3285,0.01,0.01,0.01
3234,3286,0.01,0.01,0.01
3234,3287,0.01,0.01,0.01
3234,3288,0.01,0.01,0.01
3234,3289,0.01,0.01,0.01
3234,3290,0.01,0.01,0.01
3234,3291,0.01,0.01,0.01
3234,3292,0.01,0.01,0.01
3234,3293,0.01,0.01,0.01
3234,3294,0.01,0.01,0.01
3234,3295,0.01,0.01,0.01
3234,3296,0.01,0.01,0.01
3234,3297,0.01,0.01,0.01
3234,3298,0.01,0.01,0.01
3234,3299,0.01,0.01,0.01
3234,3300,0.01,0.01,0.01
3234,3301,0.01,0.01,0.01
3234,3302,0.01,0.01,0.01
3234,3303,0.01,0.01,0.01
3234,3304,0.01,0.01,0.01
3234,3305,0.01,0.01,0.01
3234,3306,0.01,0.01,0.01
3234,3307,0.01,0.01,0.01
3234,3308,0.01,0.01,0.01
3234,3309,0.01,0.01,0.01
3234,3310,0.01,0.01,0.01
3234,3311,0.01,0.01,0.01
3234,3312,0.01,0.01,0.01
3234,3313,0.01,0.01,0.01
3234,3314,0.01,0.01,0.01
3234,3315,0.01,0.01,0.01
3234,3316,0.01,0.01,0.01
3234,3317,0.01,0.01,0.01
3234,3318,0.01,0.01,0.01
3234,3319,0.01,0.01,0.01
3234,3320,0.01,0.01,0.01
3234,3321,0.01,0.01,0.01
3234,3322,0.01,0.01,0.01
3234,3323,0.01,0.01,0.01
3234,3324,0.01,0.01,0.01
3234,3325,0.01,0.01,0.01
3234,3326,0.01,0.01,0.01
3234,3327,0.01,0.01,0.01
3234,3328,0.01,0.01,0.01
3234,3329,0.01,0.01,0.01
3234,3330,0.01,0.01,0.01
3235,3234,0.01,0.01,0.01
3235,3236,0.01,0.01,0.01
3235,3237,42.96830264164045,0.25,0.25
3235,3238,0.01,0.01,0.01
3235,3239,0.01,0.01,0.01
3235,3240,0.01,0.01,0.01
3235,3241,0.01,0.01,0.01
3235,3242,1.338853207551264,0.025537225252946882,0
3235,3243,12.285004174615352,0.02460079003685678,0
3235,3244,0.01,0.01,0.01
3235,3245,1.338853207551264,0.04039304330945015,0
3235,3246,0.01,0.01,0.01
3235,3247,0.01,0.01,0.01
3235,3248,1.338853207551264,0.019556963627906043,0.09166423231363297
3235,3249,0.01,0.01,0.01
3235,3250,0.01,0.01,0.01
3235,3251,0.01,0.01,0.01
3235,3252,0.01,0.01,0.01
3235,3253,0.01,0.01,0.01
3235,3254,0.01,0.01,0.01
3235,3255,0.01,0.01,0.01
3235,3256,0.01,0.01,0.01
3235,3257,0.01,0.01,0.01
3235,3258,0.01,0.01,0.01
3235,3259,0.01,0.01,0.01
3235,3260,0.01,0.01,0.01
3235,3261,0.01,0.01,0.01
3235,3262,0.01,0.01,0.01
3235,3263,1.338853207551264,5.2974316410825395e-5,0
3235,3264,0.01,0.01,0.01
3235,3265,1.338853207551264,2.6887841613643104e-5,0
