attraction_taz,attraction_district,observed_trips,emp,pop,raw_estimated_trips,estimated_trips
1,3,0,149,834,130.2011123666514,183.08179873702764
2,8,320.80090740323067,137,954,148.73774047304,209.1470078166561
3,7,0,156,1235,192.42231306013352,270.5739033394922
4,7,0,136,1474,229.36411386688766,322.5194759797597
5,7,0,127,354,55.64148336662389,78.24006011923369
6,7,830.9126471281052,227,2850,443.2665701857324,623.2976010301961
7,7,0,60,362,56.486568327571945,79.42837312150886
8,8,0,20,319,49.58283281446141,69.72071169857381
9,8,0,104,592,92.41051710990766,129.94269701058386
10,8,0,52,319,49.771686105649096,69.98626703538754
11,8,0,40,257,40.08701794131865,56.36820774643335
12,8,222.56857158243656,66,927,144.1320464128359,202.67072863864055
13,7,0,122,1312,204.16143562970467,287.08082587314334
14,7,0,509,2582,403.3742057453529,567.2031045634486
15,7,0,9,84,13.07832865155533,18.390042070132402
16,7,1442.2650862336159,91,394,61.631506110899075,86.66290780896279
17,7,0,183,246,39.225273344676744,55.15646886081746
18,7,0,393,3227,502.70464605168655,706.876225246267
19,7,0,930,996,159.93036792698913,224.88547832289814
20,8,244.62191765010357,38,355,55.27129721792968,77.7195242748116
21,8,2304.5312293171883,105,1272,197.8586246218999,278.21815215681653
22,8,0,90,449,70.15401815373379,98.64680568969861
23,8,0,10,135,20.99239575540314,29.51837741505462
24,8,0,136,648,101.2828461767012,142.41848876849994
25,8,0,96,237,37.316269852466434,52.47213086403511
26,8,0,99,786,122.46304986293704,172.20095159088274
27,8,0,28,188,29.316915305037476,41.22386890484137
28,8,1623.5331601798534,52,821,127.61284395125878,179.44231495312653
29,8,0,34,205,31.98838044330123,44.98033944404287
30,8,0,155,402,63.24970923264671,88.93833797131916
31,8,0,41,594,92.34883632772497,129.85596481341403
32,18,0,253,199,32.35047275033774,45.489494163815166
33,18,234.89968839287758,118,3549,551.0116737902761,774.8029684918625
34,18,0,64,445,69.38032658495766,97.55888223417298
35,18,0,40,266,41.48257654811245,58.330567171253364
36,18,0,54,685,106.53620611262949,149.80548085328593
37,18,0,61,208,32.61291161000543,45.85852156775279
38,18,157.15916043519974,144,374,58.843053025998,82.74193511373825
39,18,0,111,273,42.98702925988585,60.44604762744663
40,18,0,82,437,68.24606002187846,95.9639376224018
41,7,0,732,1893,297.8525126648807,418.82417735009204
42,7,0,67,143,22.56928721970347,31.735717347482993
43,7,0,0,0,0,0
44,21,0,16,85,13.274702376424168,18.666172236151517
45,21,0,23,196,30.527903517661663,42.92669537219312
46,21,0,315,160,26.668955372574075,37.50045012133834
47,21,0,138,2,1.1245539530899489,1.5812872621914449
48,21,3077.1885294914246,12,191,29.68767486170823,41.74521104470784
49,21,0,530,178,30.728930636328915,43.209368890195634
50,21,1726.7952377796173,100,465,72.69402788597448,102.21843070991072
51,21,0,12,99,15.421964658927173,21.68553692432539
52,21,0,10,117,18.20127854181554,25.593658565414575
53,21,0,100,323,50.67521431211675,71.25675978497259
54,8,0,24,164,25.571819025522217,35.957716021552926
55,21,0,87,316,49.51305819062102,69.62259837675421
56,8,0,148,320,50.49330804663367,71.00097298191983
57,8,944.2737503647804,570,1605,252.23856746084147,354.6843018632318
58,8,317.81702026724815,53,220,34.426443096266915,48.408611966642724
59,8,0,45,218,34.06910563862692,47.90614326025706
60,8,218.91015556454659,20,124,19.345729667262425,27.202924160806663
61,8,0,0,88,13.645461933094927,19.18751437601799
62,8,1722.8844067454338,180,280,44.479678640960024,62.54493087508902
63,8,0,54,84,13.343903592288008,18.763479262526708
64,8,0,23,190,29.597531113132465,41.618455755646444
65,8,0,734,1037,165.13118628274745,232.1985892646497
66,8,0,78,171,26.97594342635216,37.93212020506388
67,8,555.4770163297653,49,891,138.44948367471727,194.68021466667818
68,8,0,15,220,34.20217981298154,48.09326500417641
69,8,925.9827653765678,5,124,19.2572046870182,27.078445096675225
70,8,2168.224439382553,1107,1039,167.64263159299696,235.730048531567
71,8,773.6109533011913,541,663,105.99895165461831,149.05002254141544
72,8,132.0370002090931,18,360,55.928574248045045,78.6437518697586
73,8,516.8945928514004,58,897,139.432971067393,196.06314172170374
74,8,0,30,191,29.793904838001303,41.89458592166556
75,8,0,65,488,76.05389714943321,106.94289809036631
76,8,0,12,129,20.07382668157317,28.226735007058796
77,8,112.78636133670807,65,534,83.18675225082373,116.97273515055751
78,15,0,240,282,45.143902696779996,63.47892700379701
79,7,0,31,1427,221.456521836366,311.40024553455726
80,7,0,22,395,61.37935326919717,86.30834405004929
81,37,0,689,0,4.0662474258847965,5.717738345770659
82,37,0,108,915,142.51917154846134,200.40279078511523
83,37,0,771,0,4.550183984553233,6.398223896355846
84,37,1686.1125573813915,236,539,84.97124736271559,119.48199616211147
85,37,0,262,0,1.5462363215991533,2.174234320162428
86,16,0,644,1114,176.53981559274015,248.2407899588768
87,10,0,190,625,98.03510855488514,137.85169486927748
88,10,0,426,144,24.843047147636817,34.93295621845315
89,10,0,47,121,19.039888429437433,26.772866667969907
90,10,0,51,474,73.80040489063714,103.77415852523471
91,10,0,276,1025,160.56747874356535,225.78134927340983
92,10,454.82484871149063,99,781,121.68773952582937,171.11075191042715
93,10,0,2676,299,62.15641463460842,87.40100593229124
94,10,1180.8021472394466,342,436,69.62543094535685,97.90353479792226
95,10,0,110,629,98.18322359660208,138.0599662716076
96,10,0,50,79,12.54498659378188,17.640085164969424
97,10,0,108,185,29.32386233074208,41.23363743860235
98,10,0,103,426,66.66431225258353,93.73976901518358
99,10,0,316,180,29.776098386354356,41.86954744743604
100,10,0,144,506,79.3112459256404,111.52320667776526
101,10,0,35,1348,209.23022517146336,294.20828500046105
102,10,0,72,233,36.554381614389534,51.40080461706035
103,16,0,22,308,47.88895340352377,67.33886961012242
104,16,0,158,540,84.66597953286714,119.05274496471912
105,16,247.73346138000488,852,11,6.733901619508922,9.468850139667854
106,16,0,181,2,1.3783255631233977,1.9381272460348966
107,16,40.924624502658844,41,189,29.548699022004005,41.54979069651306
108,16,0,112,397,62.22062728550559,87.49129830702013
109,16,0,84,463,72.28947710553757,101.64957316932163
110,16,0,126,0,0.7436098340515012,1.0456241387040683
111,16,0,63,364,56.81439745846385,79.88934880651736
112,16,0,52,108,17.053589879705576,23.979840520162576
113,16,0,42,261,40.719069541704016,57.25696469934866
114,16,0,58,385,60.04119254756798,84.4266944430536
115,16,0,4,146,22.662668504942314,31.867025086404293
116,16,0,1198,0,7.070195088838877,9.941727921964077
117,16,0,230,420,66.48345134745543,93.48545214161638
118,16,0,209,534,84.0365920611683,118.1677341662193
119,16,0,190,718,112.45588082508773,158.12940892575102
120,16,0,175,747,116.86415580006798,164.32808800826191
121,16,0,16,366,56.84714332187501,79.93539427775441
122,16,0,69,391,61.03648327094294,85.82621870663
123,16,85.12970861792564,11,347,53.8714557141178,75.75114247064612
