orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
2,3235,IX,8,2,3.4075212478637695,35.6539,0.36799456189999996,Non-freeway
2,3252,IX,8,2,3.779929220676422,48.1501,0.5825123707000001,Freeway
2,3273,IX,8,2,0.46306389570236206,64.8981,0.11175139952,Freeway
2,3289,IX,8,2,2.05753231048584,70.5559,0.08587230611,Non-freeway
2,3295,IX,8,2,2.8798080682754517,67.9241,0.05015374035,Non-freeway
2,3309,IX,8,2,28.367772221565247,18.0111,8.970717256,Non-freeway
2,3311,IX,8,2,17.148924827575684,18.9412,2.798111786,Non-freeway
2,3313,IX,8,2,70.0174689590931,21.4354,31.866754299999997,Freeway
2,3317,IX,8,2,24.841580778360367,10.0561,2.80143993,Non-freeway
2,3328,IX,8,2,4.653505802154541,30.2946,0.23881457298,Non-freeway
6,3235,IX,7,6,8.114691197872162,35.8005,0.8803280113999999,Non-freeway
6,3252,IX,7,6,7.156645238399506,43.637,2.4178685445,Freeway
6,3273,IX,7,6,7.562514066696167,63.3841,0.3804176633,Freeway
6,3289,IX,7,6,5.400904297828674,69.0419,0.29407180068,Non-freeway
6,3295,IX,7,6,6.281505823135376,66.4101,0.17194521445,Non-freeway
6,3299,IX,7,6,1.1592469215393066,58.545,0.08677059986,Non-freeway
6,3306,IX,7,6,12.138901710510254,29.013,1.694048398,Non-freeway
6,3308,IX,7,6,33.6232705116272,21.8201,28.125058109999998,Freeway
6,3309,IX,7,6,149.44717347621918,17.9539,25.75120552,Non-freeway
6,3311,IX,7,6,23.00595259666443,18.884,8.02563878,Non-freeway
6,3313,IX,7,6,123.44184729456902,21.3782,91.90474858,Freeway
6,3317,IX,7,6,11.82096529006958,14.6547,3.853739503,Non-freeway
6,3318,IX,7,6,3.1311564445495605,14.8971,13.591603027,Non-freeway
6,3321,IX,7,6,61.22609221935272,24.5312,7.982844809,Non-freeway
6,3322,IX,7,6,2.445741891860962,25.3273,3.1724503029,Non-freeway
6,3328,IX,7,6,2.6297082901000977,31.2163,0.5178155919,Non-freeway
12,3252,IX,8,12,3.2574824690818787,54.2884,0.4547429725,Freeway
12,3295,IX,8,12,5.6417917013168335,60.1703,0.12533646009,Non-freeway
12,3308,IX,8,12,4.279401779174805,15.3043,17.721565699,Freeway
12,3309,IX,8,12,60.92230808734894,17.2062,9.634913576999999,Non-freeway
12,3311,IX,8,12,0.9870919585227966,20.2742,2.443132909,Non-freeway
12,3313,IX,8,12,25.46509913355112,22.7684,28.238590820000002,Freeway
12,3317,IX,8,12,7.630683183670044,20.3048,0.7370297604,Non-freeway
16,3235,IX,7,16,8.83031815290451,39.7293,0.12594478663,Non-freeway
16,3237,IX,7,16,1.2165800333023071,51.9935,0.02654239757,Non-freeway
16,3252,IX,7,16,37.49358570575714,43.6595,0.3692893672,Freeway
16,3257,IX,7,16,6.008979797363281,56.5358,0.06525997255,Non-freeway
16,3273,IX,7,16,3.516182780265808,58.0442,0.09424768099,Freeway
16,3277,IX,7,16,7.8179612159729,60.0316,0.09109923777,Freeway
16,3289,IX,7,16,3.049233913421631,63.702,0.0748545598,Non-freeway
16,3295,IX,7,16,6.070888638496399,61.0702,0.044006488909999995,Non-freeway
16,3308,IX,7,16,88.06848526000977,18.9479,4.989844024,Freeway
16,3309,IX,7,16,138.4058913588524,21.6467,2.250589007,Non-freeway
16,3311,IX,7,16,102.84094250202179,22.5768,0.6953820561,Non-freeway
16,3313,IX,7,16,198.88648760318756,25.071,8.478958916,Freeway
16,3317,IX,7,16,4.397021770477295,19.4974,0.2712756295,Non-freeway
16,3318,IX,7,16,9.168590545654297,19.7399,0.966498979,Non-freeway
16,3321,IX,7,16,125.00715446472168,29.0867,0.5471904315,Non-freeway
16,3322,IX,7,16,6.894715785980225,29.8828,0.21813564175,Non-freeway
16,3328,IX,7,16,4.976207733154297,37.2181,0.06453531585,Non-freeway
20,3252,IX,8,20,1.4300432205200195,53.7127,0.12776729394,Freeway
