term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_other_auto,N_HB_OD_Long_other_auto,0.028425624928437164,0.0037146028980962805,7.652399383795556,0
N_HB_K12_All_other_auto,N_HB_K12_All_other_auto,0.021769131989942923,0.004973311363674665,4.3771906478540314,1e-5
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.007658222426953707,0.002408111291095521,3.1801779491137037,0.00148
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.009387275697259561,0.002459421656669402,3.8168630709595353,1.4e-4
N_HB_K12_All_school_bus,N_HB_K12_All_school_bus,0.00856822785103338,0.002125124118598941,4.031871727418101,6e-5
N_HB_K12_All_hov2,N_HB_K12_All_hov2,0.00786570671416287,0.002426252808461107,3.2419155525478116,0.00119
N_HB_OD_Short_other_auto,N_HB_OD_Short_other_auto,0.04143342295491553,0.014079310080056095,2.9428588985768296,0.00326
N_HB_K12_All_walkbike,N_HB_K12_All_walkbike,0.017631990038180105,0.006647220145593294,2.6525358950040268,0.008
N_HB_OD_Long_hov2,N_HB_OD_Long_hov,0.00420653886298592,0.0013313018273665616,3.1597183873072896,0.00158
N_HB_OD_Long_hov3,N_HB_OD_Long_hov,0.00420653886298592,0.0013313018273665616,3.1597183873072896,0.00158
r_sq,NA,0.128529204411279,NA,NA,NA
