term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov2,N_HB_K12_All_auto,0.006872899203727838,9.588585870877478e-4,7.167792306686491,0
N_HB_K12_All_hov3,N_HB_K12_All_auto,0.006872899203727838,9.588585870877478e-4,7.167792306686491,0
N_HB_K12_All_sov,N_HB_K12_All_auto,0.006872899203727838,9.588585870877478e-4,7.167792306686491,0
N_HB_K12_All_school_bus,N_HB_K12_All_school_bus,0.006161404476213929,0.0017306268001993873,3.560215567853258,3.7e-4
N_HB_K12_All_walkbike,N_HB_K12_All_walkbike,0.024351894000850135,0.005415265078169939,4.496897870986536,1e-5
N_HB_OD_Short_hov2,N_HB_OD_Short_hov,0.0036413946815126042,0.0013427095188136386,2.7119750254917285,0.0067
N_HB_OD_Short_hov3,N_HB_OD_Short_hov,0.0036413946815126042,0.0013427095188136386,2.7119750254917285,0.0067
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.0017438344949462902,0.0011005476857414657,1.584515162349759,0.1131
alpha,NA,1.0723738733179522,0.0065693358977536595,-40.487854364969664,0
gamma,NA,0.09169204947010993,0.008713138929726211,10.52342332764699,0
r_sq,NA,0.08256087554186886,NA,NA,NA
