term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_All_hov,0.019711271675936122,0.00787439787683032,2.5032100211667863,0.01232
N_HB_OD_Long_hov3,N_HB_OD_All_hov,0.019711271675936122,0.00787439787683032,2.5032100211667863,0.01232
N_HB_OD_Short_hov2,N_HB_OD_All_hov,0.019711271675936122,0.00787439787683032,2.5032100211667863,0.01232
N_HB_OD_Short_hov3,N_HB_OD_All_hov,0.019711271675936122,0.00787439787683032,2.5032100211667863,0.01232
N_HB_OD_Long_sov,N_HB_OD_Long_sov,0.09916848715575675,0.009917336125229931,9.999508527644823,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.09714024753650186,0.01453288782434156,6.684166884836117,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.5815956684028322,0.00919279098740515,63.26649536573432,0
N_HB_OMED_All_sov,N_HB_OMED_All_sov,0.23531006257422088,0.029681736319054162,7.927772824501639,0
alpha,NA,0.08095867333748011,0.35450491146234947,-10.942167052825141,0
gamma,NA,1.1888000944349724,0.167698740500115,7.088902939221283,0
r_sq,NA,0.5115052232163558,NA,NA,NA
