trip_type,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_t,N_HB_K12_All_t,0.07852433302823432,0.047771636883684805,1.6437438227085812,0.10025
N_HB_OD_Long_hov,N_HB_OD_All_hov,0.006014660751572959,0.0027785226372734075,2.1646974082151824,0.03043
N_HB_OD_Short_hov,N_HB_OD_All_hov,0.006014660751572959,0.0027785226372734075,2.1646974082151824,0.03043
N_HB_OD_Long_t,N_HB_OD_All_t,0.06506290163926723,0.021805627332707227,2.9837665592714453,0.00285
N_HB_OD_Short_t,N_HB_OD_All_t,0.06506290163926723,0.021805627332707227,2.9837665592714453,0.00285
N_HB_OD_Long_walk,N_HB_OD_Long_walk,0.03971174618179255,0.00834234878314136,4.760259635996526,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.0127156979217297,0.005516058371262809,2.305214532894556,0.02117
N_HB_OD_Short_walk,N_HB_OD_Short_walk,0.014515615538751778,0.004058926088536916,3.576220710139635,3.5e-4
N_HB_OD_Long_auto_pay,N_HB_O_All_auto_pay,0.5785831818198323,0.022528625730928627,25.682133865161564,0
N_HB_OD_Short_auto_pay,N_HB_O_All_auto_pay,0.5785831818198323,0.022528625730928627,25.682133865161564,0
N_HB_OME_All_auto_pay,N_HB_O_All_auto_pay,0.5785831818198323,0.022528625730928627,25.682133865161564,0
N_HB_OMED_All_auto_pay,N_HB_O_All_auto_pay,0.5785831818198323,0.022528625730928627,25.682133865161564,0
N_HB_OME_All_bike,N_HB_OME_All_bike,0.11970755203284161,0.04836443989295269,2.4751150286821475,0.01333
N_HB_OME_All_hov,N_HB_OME_All_hov,0.007410507154098194,0.002666313957735651,2.7793077902917016,0.00546
N_HB_OME_All_other,N_HB_OME_All_other,0.19732977756522496,0.06614493602352937,2.983293800375435,0.00286
N_HB_OME_All_sov,N_HB_OME_All_sov,0.025879087888104158,0.003455964681052112,7.488238531484556,0
N_HB_OME_All_t,N_HB_OME_All_t,0.08381369742460075,0.027918077688901224,3.002129958894724,0.00269
N_HB_OME_All_walk,N_HB_OME_All_walk,0.17706341099239714,0.00901241603321777,19.64660867183457,0
N_HB_OMED_All_walk,N_HB_OME_All_walk,0.17706341099239714,0.00901241603321777,19.64660867183457,0
N_HB_OMED_All_hov,N_HB_OMED_All_hov,0.016162461939082648,0.009029681482368532,1.7899260312383856,0.07349
