term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_Long_auto,0.0224543292243843,0.003863358086565644,5.812127356888426,0
N_HB_OD_Long_hov3,N_HB_OD_Long_auto,0.0224543292243843,0.003863358086565644,5.812127356888426,0
N_HB_OD_Long_sov,N_HB_OD_Long_auto,0.0224543292243843,0.003863358086565644,5.812127356888426,0
N_HB_OD_Short_hov2,N_HB_OD_Short_hov,0.12714424902831772,0.007097561834620251,17.91379236854799,0
N_HB_OD_Short_hov3,N_HB_OD_Short_hov,0.12714424902831772,0.007097561834620251,17.91379236854799,0
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0.1567717499607221,0.008073367306837251,19.41838442404989,0
N_HB_OMED_All_hov2,N_HB_OMED_All_hov,0.09986189964625897,0.014721195947601812,6.783545304451109,0
N_HB_OMED_All_hov3,N_HB_OMED_All_hov,0.09986189964625897,0.014721195947601812,6.783545304451109,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.011129298772640711,0.005036205991101537,2.209857736618607,0.02713
N_HB_OME_All_hov2,N_HB_OME_All_hov,0.01175823925078903,0.003960526150387399,2.968857875017161,0.00299
N_HB_OME_All_hov3,N_HB_OME_All_hov,0.01175823925078903,0.003960526150387399,2.968857875017161,0.00299
alpha,NA,0.06433045209126895,0.2855704255269669,-14.819814338818892,0
gamma,NA,1.3056049938749281,0.1353113454185718,9.648895218920282,0
r_sq,NA,0.34212220114895375,NA,NA,NA
