term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Long_hov2,N_HB_OD_All_hov,0.024208655006030193,0.0038631538549266944,6.266552126873437,0
N_HB_OD_Long_hov3,N_HB_OD_All_hov,0.024208655006030193,0.0038631538549266944,6.266552126873437,0
N_HB_OD_Short_hov2,N_HB_OD_All_hov,0.024208655006030193,0.0038631538549266944,6.266552126873437,0
N_HB_OD_Short_hov3,N_HB_OD_All_hov,0.024208655006030193,0.0038631538549266944,6.266552126873437,0
N_HB_OD_Long_sov,N_HB_OD_All_sov,0.10367032763659037,0.004022068813211028,25.77537393096587,0
N_HB_OD_Short_sov,N_HB_OD_All_sov,0.10367032763659037,0.004022068813211028,25.77537393096587,0
N_HB_OME_All_sov,N_HB_OME_All_sov,0.02921110143765726,0.004263153828302138,6.851993292789765,0
N_HB_OMED_All_sov,N_HB_OME_All_sov,0.02921110143765726,0.004263153828302138,6.851993292789765,0
alpha,NA,0.12794707543166123,0.29433607870204187,-11.869998109812098,0
gamma,NA,0.9775312316589522,0.1394584286071721,7.009481186773385,0
r_sq,NA,0.3883731073469469,NA,NA,NA
