term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.02259478706629124,0.008140403202977993,2.7756348798577224,0.00552
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.06982017481743204,0.008247836360745069,8.465271589254085,0
N_HB_OD_Short_sov,N_HB_OD_OME_sov,0.027962835840162723,0.003339416057687573,8.373570515656558,0
N_HB_OME_All_sov,N_HB_OD_OME_sov,0.027962835840162723,0.003339416057687573,8.373570515656558,0
N_HB_OD_Short_walkbike,N_HB_OD_Short_walkbike,0.024801669428509775,0.004531150561237822,5.473591992435237,0
N_HB_OME_All_walkbike,N_HB_OME_All_walkbike,0.10972933980013286,0.010177457146081056,10.781606665117266,0
N_HB_OD_Long_walkbike,N_HB_OD_Long_walkbike,0.04130521398868956,0.008852657391010805,4.665854800913434,0
alpha,NA,1.0309341062826458,0.01529853876609966,-71.05756479255376,0
gamma,NA,0.054941165098151015,0.020295371267996267,2.7070785930774095,0.0068
r_sq,NA,0.2966037213253086,NA,NA,NA
