term,estimated_as,estimate,std.error,statistic,p.value
W_HB_EK12_All_hov2,W_HB_EK12_All_hov,0.7301528666852325,0.008739351954010089,83.54771275119532,0
W_HB_EK12_All_hov3,W_HB_EK12_All_hov,0.7301528666852325,0.008739351954010089,83.54771275119532,0
W_HB_O_All_hov2,W_HB_O_All_hov,0.05806124938054378,0.008603093581762629,6.748880368292822,0
W_HB_O_All_hov3,W_HB_O_All_hov,0.05806124938054378,0.008603093581762629,6.748880368292822,0
W_HB_O_All_sov,W_HB_O_All_sov,0.01014159684608874,0.0056049050050128385,1.8094145818739902,0.07046
W_HB_O_All_walkbike,W_HB_O_All_walkbike,0.056673305075038156,0.020190536689140212,2.8069241520222072,0.00502
W_HB_W_All_hov2,W_HB_W_All_auto,0.007837070187792962,0.0033850045841711737,2.315231779726492,0.02065
W_HB_W_All_hov3,W_HB_W_All_auto,0.007837070187792962,0.0033850045841711737,2.315231779726492,0.02065
W_HB_W_All_sov,W_HB_W_All_auto,0.007837070187792962,0.0033850045841711737,2.315231779726492,0.02065
r_sq,NA,0.0712036591427742,NA,NA,NA
