term,estimated_as,estimate,std.error,statistic,p.value
W_HB_EK12_All_hov2,W_HB_EK12_All_auto,0.09361543851150765,0.015005156895445387,6.238884349148216,0
W_HB_EK12_All_hov3,W_HB_EK12_All_auto,0.09361543851150765,0.015005156895445387,6.238884349148216,0
W_HB_EK12_All_sov,W_HB_EK12_All_auto,0.09361543851150765,0.015005156895445387,6.238884349148216,0
W_HB_O_All_hov2,W_HB_O_All_auto,0.07716859488530994,0.00808693040271684,9.542383950699614,0
W_HB_O_All_hov3,W_HB_O_All_auto,0.07716859488530994,0.00808693040271684,9.542383950699614,0
W_HB_O_All_sov,W_HB_O_All_auto,0.07716859488530994,0.00808693040271684,9.542383950699614,0
W_HB_W_All_hov2,W_HB_W_All_auto,0.018575916588543157,0.005889219502456505,3.1542238459264067,0.00162
W_HB_W_All_hov3,W_HB_W_All_auto,0.018575916588543157,0.005889219502456505,3.1542238459264067,0.00162
W_HB_W_All_sov,W_HB_W_All_auto,0.018575916588543157,0.005889219502456505,3.1542238459264067,0.00162
r_sq,NA,0.5200417565200125,NA,NA,NA
