model_route,reported,model_boardings,diff,pct_diff
CAT 1 IB:TriTCen,1434.1,2509.69,1075.5900000000001,75
CAT 1 OB:TriTCen,1434.1,2639.41,1205.31,84.05
CAT 10-12:Bertie-Method,717.8149999999999,715.056,-2.758999999999901,-0.38
CAT 11-5:Trailwd Hills-Sanderford,930.8349999999999,1334.64,403.8050000000002,43.38
CAT 12-10:Method-Bertie,717.8149999999999,651.718,-66.09699999999998,-9.21
CAT 13 IB:Extra Headway,323.5525,109.816,-213.7365,-66.06
CAT 13 OB:Extra Headway,323.5525,172.886,-150.6665,-46.57
CAT 13-21:Holmes-LakeWheeler,323.5525,568.609,245.05650000000003,75.74
CAT 15 IB,1221.61,2740.78,1519.1700000000003,124.36
CAT 15 OB,1221.61,2183.27,961.6600000000001,78.72
CAT 15L,262.99,239.913,-23.076999999999998,-8.77
CAT 15Lmd,262.99,256.501,-6.489000000000033,-2.47
CAT 16-3:RexHosp-Crabtree,483.39,700.509,217.11900000000003,44.92
CAT 18 IB:WalnutCreekSC-Dwntwn,369.275,498.92,129.64500000000004,35.11
CAT 18 OB:Dwntwn-WalnutCreekSC,369.275,616.27,246.995,66.89
CAT 19-7:WCSS-ShopsatGarner,653.92,1518.76,864.84,132.25
CAT 2 IB:Extra Headway,507.125,530.705,23.58000000000004,4.65
CAT 2 OB:Extra Headway,507.125,509.999,2.8740000000000236,0.57
CAT 21-13:LakeWheeler-Holmes,323.5525,412.115,88.5625,27.37
CAT 22 IB:Extra Headway,439.07500000000005,242.107,-196.96800000000005,-44.86
CAT 22 OB:Extra Headway,439.07500000000005,290.464,-148.61100000000005,-33.85
CAT 22-4:Hadley to Towne North,439.07500000000005,1994.35,1555.2749999999999,354.22
CAT 23L EB:CtreeVM-MilBrk&CBlvd,174.655,415.82,241.165,138.08
CAT 23L WB:MilBrk&CBlvd-CtreeVM,174.655,621.043,446.38800000000003,255.58
CAT 24L EB:NHilMal-Cptl&Sprgfor,312.42,281.91,-30.50999999999999,-9.77
CAT 24L WB:Cptl&Sprgfor-NHilMal,312.42,333.106,20.68599999999998,6.62
CAT 25L NB,18.89,494.416,475.526,2517.34
CAT 25L SB,18.89,338.01,319.12,1689.36
CAT 2-8:FallsOfNeuse-SixFrksSta,507.125,1218.03,710.905,140.18
CAT 3-16:Crabtree-RexHosp,483.39,771.093,287.703,59.52
CAT 40X NB: Wake Tech-MooreSq,230.395,196.487,-33.908000000000015,-14.72
CAT 40X SB:MooreSq-WakeTech,230.395,398.483,168.088,72.96
CAT 4-22:Towne North to Hadley,439.07500000000005,2149,1709.925,389.44
CAT 5-11:Sanderford-Trailwd Hills,930.8349999999999,1946.31,1015.475,109.09
CAT 55X IB:Poole-Moore Sq,33.410000000000004,0,-33.410000000000004,-100
CAT 6 IB,458.53999999999996,904.744,446.20400000000006,97.31
CAT 6 OB,458.53999999999996,758.065,299.5250000000001,65.32
CAT 7 IB:Extra Headway,653.92,876.384,222.46400000000006,34.02
CAT 7 OB:Extra Headway,653.92,812.378,158.45800000000008,24.23
CAT 70X NB:CrabtreeVM-LittleBrier,63.285,58.4843,-4.800699999999999,-7.59
CAT 70X SB:LittleBrier-CrabtreeVM,63.285,28.6969,-34.5881,-54.65
