trip_type,trips_IZ,trips_NotIZ,pct_IZ,pct_NotIZ
N_HB_K12_All,10720,364112,2.9,97.1
N_HB_OD_Long,16491,448882,3.5,96.5
N_HB_OD_Short,25468,211851,10.7,89.3
N_HB_OME_All,15853,440078,3.5,96.5
N_HB_OMED_All,478,69334,0.7,99.3
N_NH_K12_All,457,58121,0.8,99.2
N_NH_O_All,3796,264374,1.4,98.6
N_NH_OME_All,2269,825413,0.3,99.7
W_HB_EK12_All,744,56520,1.3,98.7
W_HB_O_All,3773,96450,3.8,96.2
W_HB_W_All,4381,341223,1.3,98.7
W_NH_EK12_All,158,58064,0.3,99.7
W_NH_O_All,449,497570,0.1,99.9
W_NH_WR_All,NA,56603,NA,100
