EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
1,1610000201,16100002,1995,1995,1998,1998,hov2,200000,66666.66666666667,1,84,84,84,ihvi,MD,0,567.989929199219,470.38503
123,1610016303,16100163,24,6,24,6,hov2,87500,43750,1,84,84,84,ihvs,PM,0,139.831665039063,139.83166
147,1610021402,16100214,2105,2105,2327,2327,hov2,37500,37500,1,3,3,3,ilvs,AM,0,97.6102523803711,97.61025
164,1610023004,16100230,2050,2050,2050,2050,school_bus,200000,100000,0,3,3,3,ihvs,MD,0,363.314361572266,363.31437
206,1610029403,16100294,1923,1923,2908,2908,hov2,125000,62500,1,84,84,84,ihvs,NT,0,74.1860046386719,74.186
314,1610049801,16100498,64,64,71,71,hov2,87500,43750,1,84,84,84,ihvs,AM,0,258.712860107422,237.04677
320,1610049803,16100498,64,64,56,56,school_bus,87500,43750,1,84,84,84,ihvs,AM,0,237.046768188477,237.04677
322,1610049804,16100498,64,64,71,71,hov2,87500,43750,1,84,84,84,ihvs,AM,0,237.046768188477,237.04677
348,1610058103,16100581,2750,2750,2772,2772,other_auto,125000,62500,1,82,82,82,ihvs,AM,0,74.1860046386719,74.186
350,1610058104,16100581,2750,2750,2772,2772,other_auto,125000,62500,1,82,82,82,ihvs,AM,0,74.1860046386719,74.186
481,1610080303,16100803,2618,576,2618,576,hov2,62500,31250,1,82,1,82,ilvs,PM,0,79.1729125976563,79.17292
484,1610080304,16100803,2618,2598,2618,2598,hov2,62500,31250,1,82,2,82,ilvs,PM,0,79.1729125976563,79.17292
502,1610086102,16100861,2412,2412,2459,2459,sov,200000,100000,0,2,2,2,ihvs,NT,0,410.10205078125,410.10204
562,1610106801,16101068,2304,2304,2273,2273,hov2,37500,18750,1,3,3,3,ilvs,AM,0,782.060729980469,680.05278
575,1610106803,16101068,2304,2304,2273,2273,hov2,37500,18750,1,3,3,3,ilvs,AM,0,680.052795410156,680.05278
592,1610108702,16101087,2627,2627,2776,2776,hov2,62500,31250,1,82,82,82,ilvs,AM,0,285.235870361328,243.16783
596,1610108702,16101087,2627,2627,2776,2776,sov,62500,31250,1,82,82,82,ilvs,MD,0,285.235870361328,243.16783
602,1610108703,16101087,2627,2627,2776,2776,hov2,62500,31250,1,82,82,82,ilvs,AM,0,243.167831420898,243.16783
642,1610123003,16101230,2477,2477,1763,1763,auto_pay,87500,43750,1,2,2,4,ihvs,AM,0,353.197967529297,353.19796
658,1610134703,16101347,2065,2065,564,564,other_auto,200000,100000,0,84,84,1,ihvs,AM,0,241.775421142578,241.77542
719,1610150103,16101501,2455,2455,2405,2405,hov3,125000,62500,1,2,2,7,ihvs,AM,0,60.604621887207,60.60462
749,1610154803,16101548,1164,1164,1187,1187,sov,87500,43750,1,81,81,81,ihvs,AM,0,261.091369628906,261.09137
789,1610157202,16101572,1118,1118,1373,1373,hov2,62500,62500,1,6,6,6,ilvs,AM,0,26.6408157348633,26.64082
816,1610160403,16101604,2034,2034,1495,1495,sov,200000,100000,0,3,3,2,ihvs,NT,0,123.278457641602,123.27846
825,1610162601,16101626,2581,2581,2581,2581,hov2,200000,100000,0,82,82,82,ihvs,AM,0,120.352828979492,88.17057
842,1610162603,16101626,2581,2581,1498,1498,hov2,200000,100000,0,82,82,2,ihvs,AM,0,88.1705703735352,88.17057
850,1610162604,16101626,2581,2581,2581,2581,hov2,200000,100000,0,82,82,82,ihvs,AM,0,88.1705703735352,88.17057
954,1610184403,16101844,702,702,714,714,school_bus,125000,62500,1,82,82,82,ihvs,AM,0,67.5753479003906,67.57535
976,1610185602,16101856,1654,1654,2382,2382,hov2,37500,37500,1,2,2,3,ilvs,AM,0,97.6102523803711,97.61025
994,1610187701,16101877,1834,1834,1760,1760,hov2,125000,62500,1,83,83,4,ihvs,MD,0,81.9439697265625,79.17292
996,1610187703,16101877,1834,1834,1760,1760,hov2,125000,62500,1,83,83,4,ihvs,NT,0,79.1729125976563,79.17292
1001,1610193202,16101932,1028,1028,1043,1043,hov3,200000,100000,0,83,83,83,ihvs,AM,0,132.638458251953,97.17104
1004,1610193203,16101932,1028,1028,1043,1043,hov3,200000,100000,0,83,83,83,ihvs,AM,0,97.1710357666016,97.17104
