EstDataID,personid,hhid,trip_type,mode,mode_group,HomeTAZ,o_taz,d_taz,a_taz,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
4,1610000202,16100002,W_NH_O_All,sov,auto,1950,1950,1998,1998,200000,66666.66666666667,1,84,84,84,ihvi,PM,0,567.989929199219,470.38503
8,1610000301,16100003,N_NH_OME_All,hov2,auto,366,366,363,363,12500,6250,1,7,7,5,ilvs,MD,0,93.2051010131836,62.23631
9,1610000301,16100003,N_NH_OME_All,hov2,auto,363,363,608,608,12500,6250,1,5,5,7,ilvs,MD,0,93.2051010131836,62.23631
10,1610000301,16100003,N_NH_OME_All,hov2,auto,608,608,616,616,12500,6250,1,7,7,7,ilvs,MD,0,93.2051010131836,62.23631
14,1610000301,16100003,N_NH_OME_All,hov3,auto,3029,3029,321,321,12500,6250,1,5,5,5,ilvs,MD,0,93.2051010131836,62.23631
13,1610000301,16100003,N_NH_O_All,hov3,auto,366,366,3029,3029,12500,6250,1,7,7,5,ilvs,MD,0,93.2051010131836,62.23631
17,1610000301,16100003,N_NH_OME_All,hov3,auto,519,519,515,515,12500,6250,1,7,7,7,ilvs,NT,0,93.2051010131836,62.23631
21,1610000302,16100003,N_NH_OME_All,hov3,auto,3029,3029,321,321,12500,6250,1,5,5,5,ilvs,MD,0,93.2051010131836,62.23631
24,1610000302,16100003,N_NH_OME_All,hov3,auto,519,519,515,515,12500,6250,1,7,7,7,ilvs,NT,0,93.2051010131836,62.23631
27,1610000303,16100003,N_NH_OME_All,hov2,auto,366,366,363,363,12500,6250,1,7,7,5,ilvs,MD,0,62.2363128662109,62.23631
28,1610000303,16100003,N_NH_OME_All,hov2,auto,363,363,608,608,12500,6250,1,5,5,7,ilvs,MD,0,62.2363128662109,62.23631
29,1610000303,16100003,N_NH_OME_All,hov2,auto,608,608,616,616,12500,6250,1,7,7,7,ilvs,MD,0,62.2363128662109,62.23631
33,1610000303,16100003,N_NH_OME_All,hov3,auto,3029,3029,321,321,12500,6250,1,5,5,5,ilvs,MD,0,62.2363128662109,62.23631
32,1610000303,16100003,N_NH_O_All,hov3,auto,366,366,3029,3029,12500,6250,1,7,7,5,ilvs,MD,0,62.2363128662109,62.23631
36,1610000303,16100003,N_NH_OME_All,hov3,auto,519,519,515,515,12500,6250,1,7,7,7,ilvs,NT,0,62.2363128662109,62.23631
43,1610000902,16100009,N_NH_OME_All,sov,auto,650,650,1345,1345,200000,100000,0,7,7,6,ihvs,MD,0,148.0498046875,102.94963
44,1610000902,16100009,N_NH_OME_All,sov,auto,1345,1345,1346,1346,200000,100000,0,6,6,6,ihvs,MD,0,148.0498046875,102.94963
65,1610002801,16100028,W_NH_O_All,sov,auto,2471,2471,1671,1671,37500,18750,1,2,2,2,ilvs,MD,0,166.897079467773,161.25322
63,1610002801,16100028,W_NH_O_All,sov,auto,1671,1671,2428,2428,37500,18750,1,2,2,2,ilvs,MD,0,166.897079467773,161.25322
66,1610002801,16100028,W_NH_WR_All,sov,auto,1671,1671,2432,2432,37500,18750,1,2,2,2,ilvs,PM,0,166.897079467773,161.25322
64,1610002801,16100028,W_NH_O_All,sov,auto,2428,2428,2471,2471,37500,18750,1,2,2,2,ilvs,MD,0,166.897079467773,161.25322
79,1610006401,16100064,N_NH_OME_All,hov2,auto,2667,2667,2633,2633,12500,6250,1,2,2,82,ilvs,MD,0,152.942199707031,102.12486
81,1610006401,16100064,N_NH_OME_All,hov2,auto,2633,2633,2676,2676,12500,6250,1,82,82,82,ilvs,MD,0,152.942199707031,102.12486
96,1610011001,16100110,N_NH_OME_All,hov2,auto,627,627,255,255,37500,37500,1,7,7,5,ilvs,NT,0,490.978912353516,383.57728
95,1610011001,16100110,N_NH_OME_All,hov2,auto,612,612,627,627,37500,37500,1,7,7,7,ilvs,NT,0,490.978912353516,383.57728
102,1610011802,16100118,N_NH_O_All,other_auto,auto,2096,2096,57,57,62500,31250,1,3,3,84,ilvi,NT,0,133.398818969727,95.49003
101,1610011802,16100118,N_NH_O_All,hov2,auto,2456,2456,2096,2096,62500,31250,1,2,2,3,ilvi,PM,0,133.398818969727,95.49003
104,1610011802,16100118,N_NH_O_All,hov2,auto,2096,2096,2456,2456,62500,31250,1,3,3,2,ilvi,NT,0,133.398818969727,95.49003
107,1610012601,16100126,N_NH_OME_All,sov,auto,584,584,1595,1595,125000,62500,1,7,7,4,ihvs,PM,0,45.4427032470703,33.29136
110,1610016301,16100163,N_NH_OME_All,hov2,auto,66,66,26,26,87500,43750,1,84,84,84,ihvs,MD,0,237.333480834961,139.83166
113,1610016301,16100163,N_NH_OME_All,hov3,auto,65,65,57,57,87500,43750,1,84,84,84,ihvs,NT,0,237.333480834961,139.83166
116,1610016302,16100163,W_NH_O_All,hov3,auto,9,9,6,6,87500,43750,1,84,84,84,ihvs,AM,0,185.416778564453,139.83166
