EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
7,1610000301,16100003,366,366,366,366,hov3,12500,6250,1,7,7,7,ilvs,AM,0,72.8164825439453,62.23631
12,1610000301,16100003,366,366,366,366,hov2,12500,6250,1,7,7,7,ilvs,MD,0,72.8164825439453,62.23631
26,1610000303,16100003,366,366,366,366,hov3,12500,6250,1,7,7,7,ilvs,AM,0,62.2363128662109,62.23631
31,1610000303,16100003,366,366,366,366,hov2,12500,6250,1,7,7,7,ilvs,MD,0,62.2363128662109,62.23631
41,1610000901,16100009,1283,2369,1283,2369,sov,200000,100000,0,6,2,6,ihvs,NT,0,75.1815414428711,102.94963
90,1610011001,16100110,499,499,490,490,sov,37500,37500,1,7,7,7,ilvs,MD,0,383.577270507813,383.57728
97,1610011001,16100110,499,255,499,255,sov,37500,37500,1,7,5,7,ilvs,NT,0,383.577270507813,383.57728
100,1610011802,16100118,2617,2617,2456,2456,sov,62500,31250,1,82,82,2,ilvi,PM,0,104.217826843262,95.49003
121,1610016303,16100163,24,24,9,9,hov2,87500,43750,1,84,84,84,ihvs,AM,0,139.831665039063,139.83166
214,1610029404,16100294,1923,1923,2891,2891,hov2,125000,62500,1,84,84,84,ihvs,AM,0,74.1860046386719,74.186
227,1610033301,16100333,2571,2571,2575,2575,sov,12500,6250,1,2,2,2,ilvi,MD,0,81.2677230834961,60.19832
354,1610059301,16100593,1533,1533,2237,2237,sov,37500,37500,1,2,2,3,ilvs,PM,0,163.505310058594,218.29814
360,1610059901,16100599,747,2779,747,2779,sov,62500,31250,1,82,82,82,ilvs,PM,0,44.9383125305176,44.05717
367,1610062401,16100624,1679,1679,65,65,sov,62500,62500,1,2,2,84,ilvs,MD,0,54.5574264526367,41.14436
371,1610062401,16100624,1679,1679,1623,1623,sov,62500,62500,1,2,2,2,ilvs,NT,0,54.5574264526367,41.14436
395,1610068701,16100687,1686,1686,1707,1707,sov,62500,31250,1,2,2,2,ilvs,PM,0,881.737609863281,979.70846
411,1610072801,16100728,2377,2381,2377,2381,hov3,62500,31250,1,3,3,3,ilvs,PM,0,169.959899902344,128.17489
418,1610072803,16100728,2377,2381,2377,2381,hov3,62500,31250,1,3,3,3,ilvs,PM,0,128.174880981445,128.17489
422,1610072804,16100728,2377,2381,2377,2381,hov3,62500,31250,1,3,3,3,ilvs,PM,0,128.174880981445,128.17489
