EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
11,1610000301,16100003,366,616,366,616,hov2,12500,6250,1,7,7,7,ilvs,MD,0,72.8164825439453,62.23631
15,1610000301,16100003,366,321,366,321,hov3,12500,6250,1,7,5,7,ilvs,MD,0,72.8164825439453,62.23631
18,1610000301,16100003,366,515,366,515,hov3,12500,6250,1,7,7,7,ilvs,NT,0,72.8164825439453,62.23631
16,1610000301,16100003,366,366,519,519,hov3,12500,6250,1,7,7,7,ilvs,NT,0,72.8164825439453,62.23631
22,1610000302,16100003,366,321,366,321,hov3,12500,6250,1,7,5,7,ilvs,MD,0,93.2051010131836,62.23631
25,1610000302,16100003,366,515,366,515,hov3,12500,6250,1,7,7,7,ilvs,NT,0,72.8164825439453,62.23631
23,1610000302,16100003,366,366,519,519,hov3,12500,6250,1,7,7,7,ilvs,NT,0,93.2051010131836,62.23631
30,1610000303,16100003,366,616,366,616,hov2,12500,6250,1,7,7,7,ilvs,MD,0,62.2363128662109,62.23631
34,1610000303,16100003,366,321,366,321,hov3,12500,6250,1,7,5,7,ilvs,MD,0,62.2363128662109,62.23631
37,1610000303,16100003,366,515,366,515,hov3,12500,6250,1,7,7,7,ilvs,NT,0,62.2363128662109,62.23631
35,1610000303,16100003,366,366,519,519,hov3,12500,6250,1,7,7,7,ilvs,NT,0,62.2363128662109,62.23631
42,1610000902,16100009,1283,1283,650,650,sov,200000,100000,0,6,6,7,ihvs,MD,0,115.663909912109,102.94963
45,1610000902,16100009,1283,1346,1283,1346,sov,200000,100000,0,6,6,6,ihvs,MD,0,115.663909912109,102.94963
50,1610000902,16100009,1283,1283,1129,1129,hov3,200000,100000,0,6,6,6,ihvs,PM,0,115.663909912109,102.94963
72,1610002802,16100028,2529,2529,2471,2471,sov,37500,18750,1,82,82,2,ilvs,AM,0,166.897079467773,161.25322
74,1610002802,16100028,2529,2529,NA,NA,sov,37500,18750,1,82,82,NA,ilvs,MD,0,166.897079467773,161.25322
83,1610006401,16100064,2830,2633,2830,2633,hov2,12500,6250,1,83,82,83,ilvs,MD,0,119.48609161377,102.12486
78,1610006401,16100064,2830,2830,2667,2667,hov2,12500,6250,1,83,83,2,ilvs,MD,0,119.48609161377,102.12486
84,1610006402,16100064,2830,2830,2811,2811,sov,12500,6250,1,83,83,83,ilvs,PM,0,105.699226379395,102.12486
88,1610011001,16100110,499,499,501,501,sov,37500,37500,1,7,7,7,ilvs,MD,0,383.577270507813,383.57728
92,1610011001,16100110,499,499,255,255,hov2,37500,37500,1,7,7,5,ilvs,MD,0,383.577270507813,383.57728
108,1610012601,16100126,1879,1595,1879,1595,sov,125000,62500,1,3,4,3,ihvs,PM,0,45.4427032470703,33.29136
109,1610016301,16100163,24,24,66,66,hov2,87500,43750,1,84,84,84,ihvs,MD,0,185.416778564453,139.83166
112,1610016301,16100163,24,24,65,65,hov3,87500,43750,1,84,84,84,ihvs,PM,0,185.416778564453,139.83166
118,1610016302,16100163,24,24,65,65,hov3,87500,43750,1,84,84,84,ihvs,PM,0,185.416778564453,139.83166
124,1610016303,16100163,24,24,65,65,hov3,87500,43750,1,84,84,84,ihvs,PM,0,139.831665039063,139.83166
127,1610016304,16100163,24,24,66,66,hov2,87500,43750,1,84,84,84,ihvs,MD,0,139.831665039063,139.83166
130,1610016304,16100163,24,24,65,65,hov3,87500,43750,1,84,84,84,ihvs,PM,0,139.831665039063,139.83166
137,1610020801,16100208,14,14,14,14,sov,87500,43750,1,84,84,84,ihvs,NT,0,33.8688926696777,33.2048
139,1610020802,16100208,14,14,19,19,sov,87500,43750,1,84,84,84,ihvs,MD,0,33.8688926696777,33.2048
177,1610026302,16100263,2527,2527,2518,2518,sov,200000,100000,0,82,82,2,ihvs,MD,0,37.3051490783691,33.20441
181,1610028201,16100282,2484,2484,2567,2567,hov2,200000,50000,1,2,2,2,ihvs,NT,0,323.331146240234,287.78917
187,1610028202,16100282,2484,2484,2567,2567,hov2,200000,50000,1,2,2,2,ihvs,NT,0,323.331146240234,287.78917
210,1610029403,16100294,1923,1912,1923,1912,hov3,125000,62500,1,84,84,84,ihvs,PM,0,74.1860046386719,74.186
219,1610029404,16100294,1923,1912,1923,1912,hov3,125000,62500,1,84,84,84,ihvs,PM,0,74.1860046386719,74.186
226,1610029501,16100295,1888,1873,1888,1873,sov,87500,43750,1,84,3,84,ihvs,PM,0,190.078567504883,162.04482
233,1610033301,16100333,2571,2571,2571,2571,sov,12500,6250,1,2,2,2,ilvi,MD,0,81.2677230834961,60.19832
234,1610033301,16100333,2571,2571,2571,2571,sov,12500,6250,1,2,2,2,ilvi,MD,0,81.2677230834961,60.19832
246,1610034601,16100346,1339,1339,1342,1342,sov,62500,62500,1,6,6,6,ilvs,AM,0,30.9982299804688,30.39042
