EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerAdult,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
141,1610020802,16100208,14,14,14,14,sov,87500,43750,1,84,84,84,ihvs,MD,0,33.8688926696777,33.2048
224,1610029501,16100295,1888,1888,1882,1882,sov,87500,43750,1,84,84,3,ihvs,MD,0,190.078567504883,162.04482
370,1610062401,16100624,1679,1294,1679,1294,sov,62500,62500,1,2,6,2,ilvs,MD,0,54.5574264526367,41.14436
445,1610076402,16100764,1843,1843,1913,1913,hov3,125000,62500,1,83,83,84,ihvs,MD,0,101.263893127441,74.186
447,1610076403,16100764,1843,1843,1913,1913,hov3,125000,62500,1,83,83,84,ihvs,MD,0,74.1860046386719,74.186
449,1610076404,16100764,1843,1843,1913,1913,hov3,125000,62500,1,83,83,84,ihvs,MD,0,74.1860046386719,74.186
751,1610155001,16101550,6,6,2386,2386,hov2,87500,43750,1,84,84,3,ihvs,MD,0,36.2397155761719,33.2048
761,1610155002,16101550,6,6,2386,2386,hov2,87500,43750,1,84,84,3,ihvs,MD,0,33.8688926696777,33.2048
800,1610158102,16101581,1914,1914,2019,2019,sov,37500,18750,1,84,84,3,ilvs,MD,0,48.0350875854492,48.03509
814,1610160402,16101604,2034,2034,2020,2020,sov,200000,100000,0,3,3,3,ihvs,MD,0,168.275100708008,123.27846
868,1610163901,16101639,1864,1864,1698,1698,hov2,37500,18750,1,3,3,2,ilvs,MD,0,48.0350875854492,48.03509
872,1610163901,16101639,1864,2225,1864,2225,hov2,37500,18750,1,3,3,3,ilvs,PM,0,48.0350875854492,48.03509
870,1610163901,16101639,1864,1864,2254,2254,hov2,37500,18750,1,3,3,3,ilvs,MD,0,48.0350875854492,48.03509
873,1610163902,16101639,1864,1864,1698,1698,hov2,37500,18750,1,3,3,2,ilvs,MD,0,48.0350875854492,48.03509
877,1610163902,16101639,1864,2225,1864,2225,hov2,37500,18750,1,3,3,3,ilvs,PM,0,48.0350875854492,48.03509
875,1610163902,16101639,1864,1864,2254,2254,hov2,37500,18750,1,3,3,3,ilvs,MD,0,48.0350875854492,48.03509
884,1610166601,16101666,2209,2209,3062,3062,sov,37500,18750,1,3,3,2,ilvs,MD,0,256.007171630859,256.00718
892,1610167002,16101670,1279,1279,1231,1231,sov,37500,18750,1,6,6,6,ilvs,AM,0,90.833137512207,100.92571
894,1610167002,16101670,1279,1279,1327,1327,sov,37500,18750,1,6,6,6,ilvs,MD,0,90.833137512207,100.92571
907,1610173301,16101733,932,932,943,943,other_auto,12500,12500,1,83,83,83,v0,MD,1,1009.05438232422,1121.17151
943,1610181602,16101816,1019,1019,996,996,sov,37500,18750,1,83,83,83,ilvs,AM,0,51.5853271484375,51.58533
1056,1610209001,16102090,1513,2543,1513,2543,sov,200000,66666.66666666667,1,2,2,2,ihvi,MD,0,40.0943222045898,33.20441
1247,1610245501,16102455,2860,2860,3061,3061,hov2,12500,6250,1,83,83,2,ilvi,AM,0,447.273651123047,496.97071
1252,1610245502,16102455,2860,2860,3061,3061,hov2,12500,6250,1,83,83,2,ilvi,AM,0,514.364685058594,496.97071
1457,1610299001,16102990,95,95,501,501,sov,125000,62500,1,5,5,7,ihvs,AM,0,117.012153625488,96.90447
1482,1610302902,16103029,2055,2055,2124,2124,hov3,200000,100000,0,3,3,3,ihvs,PM,0,154.051620483398,88.17057
1488,1610302903,16103029,2055,2055,2124,2124,hov3,200000,100000,0,3,3,3,ihvs,PM,0,88.1705703735352,88.17057
1493,1610302904,16103029,2055,2055,2124,2124,hov3,200000,100000,0,3,3,3,ihvs,PM,0,88.1705703735352,88.17057
1498,1610304301,16103043,1664,1667,1664,1667,sov,37500,37500,1,2,2,2,ilvs,MD,0,278.249755859375,278.24975
1579,1610321101,16103211,1504,1504,1678,1678,sov,87500,87500,0,2,2,2,ihvs,MD,0,79.3179016113281,67.61969
