EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerWorker,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
5,1610000202,16100002,1995,1998,1995,1998,hov2,200000,66666.66666666667,1,84,84,84,ihvi,PM,0,567.989929199219,470.38503
57,1610002201,16100022,2573,561,2573,561,hov2,125000,62500,1,2,1,2,ihvs,PM,0,111.906463623047,99.60522
67,1610002801,16100028,2529,2432,2529,2432,sov,37500,18750,1,82,2,82,ilvs,PM,0,108.483108520508,161.25322
115,1610016302,16100163,24,24,9,9,hov2,87500,43750,1,84,84,84,ihvs,AM,0,185.416778564453,139.83166
186,1610028202,16100282,2484,1698,2484,1698,sov,200000,66666.66666666667,1,2,2,2,ihvs,PM,0,323.331146240234,287.78917
198,1610029401,16100294,1923,1912,1923,1912,hov3,125000,62500,1,84,84,84,ihvs,PM,0,101.263893127441,74.186
330,1610056001,16100560,1188,1188,1194,1194,sov,62500,62500,1,81,81,81,ilvs,AM,0,70.9902420043945,65.04512
333,1610056001,16100560,1188,1188,3090,3090,sov,62500,62500,1,81,81,81,ilvs,MD,0,70.9902420043945,65.04512
341,1610056101,16100561,1032,1043,1032,1043,hov2,62500,62500,1,83,83,83,ilvs,PM,0,213.594940185547,195.70729
345,1610058101,16100581,2750,2731,2750,2731,sov,125000,62500,1,82,82,82,ihvs,PM,0,101.263893127441,74.186
342,1610058101,16100581,2750,2750,2771,2771,sov,125000,62500,1,82,82,82,ihvs,MD,0,70.8847274780273,74.186
387,1610066801,16100668,2444,2444,2427,2427,sov,37500,37500,1,2,2,2,ilvs,MD,0,48.1389045715332,41.14436
414,1610072802,16100728,2377,1621,2377,1621,sov,62500,31250,1,3,3,3,ilvs,NT,0,169.959899902344,128.17489
431,1610074002,16100740,1460,1460,1429,1429,hov2,62500,31250,1,2,2,2,ilvs,AM,0,23.361198425293,28.4511
443,1610076401,16100764,1843,1810,1843,1810,sov,125000,62500,1,83,4,83,ihvs,PM,0,101.263893127441,74.186
453,1610078601,16100786,161,350,161,350,hov3,37500,18750,1,5,81,5,ilvi,PM,0,172.937164306641,133.02858
470,1610080301,16100803,2618,2618,2609,2609,hov3,62500,31250,1,82,82,2,ilvs,AM,0,108.071029663086,79.17292
478,1610080302,16100803,2618,576,2618,576,hov2,62500,31250,1,82,1,82,ilvs,PM,0,108.071029663086,79.17292
499,1610086101,16100861,2412,2470,2412,2470,sov,200000,66666.66666666667,1,2,2,2,ihvs,PM,0,495.198211669922,410.10204
515,1610089701,16100897,1204,19,1204,19,sov,62500,31250,1,81,84,81,ilvs,MD,0,130.137908935547,127.58618
510,1610089701,16100897,1204,1204,1334,1334,sov,62500,31250,1,81,81,6,ilvs,AM,0,130.137908935547,127.58618
523,1610090302,16100903,2360,2185,2360,2185,other_auto,37500,18750,1,3,3,3,ilvi,MD,0,535.843872070313,279.08536
526,1610095201,16100952,1018,1018,994,994,lb,37500,37500,1,83,83,83,ilvs,AM,0,190.042541503906,177.60985
591,1610108701,16101087,2627,2709,2627,2709,hov2,62500,62500,1,82,82,82,ilvs,PM,0,285.235870361328,243.16783
633,1610121302,16101213,643,1299,643,1299,sov,200000,100000,0,7,6,7,ihvs,PM,0,59.6367835998535,81.66346
654,1610134701,16101347,2065,2369,2065,2369,hov2,200000,100000,0,84,2,84,ihvs,NT,0,291.943817138672,241.77542
657,1610134702,16101347,2065,561,2065,561,hov3,200000,100000,0,84,1,84,ihvs,PM,0,291.943817138672,241.77542
714,1610150101,16101501,2455,2298,2455,2298,sov,125000,62500,1,2,3,2,ihvs,NT,0,53.7714500427246,60.60462
710,1610150101,16101501,2455,2455,3095,3095,hov3,125000,62500,1,2,2,NA,ihvs,AM,0,82.7253112792969,60.60462
718,1610150102,16101501,2455,3095,2455,3095,hov3,125000,62500,1,2,NA,2,ihvs,NT,0,82.7253112792969,60.60462
734,1610152902,16101529,1117,528,1117,528,sov,37500,18750,1,6,7,6,ilvs,NT,0,74.7565460205078,57.50504
779,1610157201,16101572,1118,1118,1373,1373,hov2,62500,62500,1,6,6,6,ilvs,AM,0,35.3257217407227,26.64082
836,1610162602,16101626,2581,2581,1498,1498,hov2,200000,100000,0,82,82,2,ihvs,AM,0,120.352828979492,88.17057
841,1610162602,16101626,2581,1613,2581,1613,sov,200000,100000,0,82,3,82,ihvs,NT,0,120.352828979492,88.17057
903,1610169702,16101697,2422,2412,2422,2412,sov,87500,87500,0,7,2,7,ihvs,PM,0,341.371124267578,244.36155
932,1610178001,16101780,669,203,669,203,sov,125000,62500,1,81,5,81,ihvs,NT,0,108.872169494629,96.90447
989,1610186702,16101867,2491,3031,2491,3031,sov,125000,41666.666666666664,1,82,2,82,ihvs,PM,0,222.243774414063,197.81378
1033,1610204301,16102043,1495,1477,1495,1477,sov,37500,37500,1,2,2,2,ilvs,NT,0,60.6948432922363,46.68834
1046,1610208601,16102086,2733,2738,2733,2738,hov2,37500,37500,1,82,82,82,ilvs,NT,0,96.5710144042969,114.28522
1070,1610211001,16102110,2572,2641,2572,2641,sov,62500,62500,1,2,2,2,ilvi,PM,0,122.382736206055,104.33311
1082,1610212301,16102123,1865,1865,2247,2247,sov,125000,62500,1,3,3,3,ihvs,MD,0,106.820686340332,110.92492
1086,1610212301,16102123,1865,2308,1865,2308,sov,125000,62500,1,3,3,3,ihvs,PM,0,106.820686340332,110.92492
1109,1610215701,16102157,453,453,500,500,hov3,37500,37500,1,7,7,7,ilvs,AM,0,67.9755554199219,58.09876
1116,1610215701,16102157,453,559,453,559,hov3,37500,37500,1,7,1,7,ilvs,PM,0,67.9755554199219,58.09876
1131,1610219301,16102193,445,451,445,451,sov,37500,37500,1,7,7,7,ilvs,PM,0,99.0551605224609,76.19628
1171,1610228401,16102284,2051,2051,2322,2322,sov,200000,100000,0,3,3,3,ihvs,AM,0,133.001602172852,118.38148
1177,1610228401,16102284,2051,2212,2051,2212,sov,200000,100000,0,3,3,3,ihvs,PM,0,133.001602172852,118.38148
1182,1610228402,16102284,2051,2051,2244,2244,sov,200000,100000,0,3,3,3,ihvs,MD,0,182.970428466797,118.38148
1229,1610243001,16102430,2444,2444,2404,2404,sov,200000,200000,0,2,2,7,ihvs,NT,0,98.2033309936523,87.40839
1261,1610250701,16102507,2663,1084,2663,1084,sov,37500,37500,1,2,83,2,ilvs,NT,0,620.721069335938,689.69004
1262,1610253301,16102533,2767,2767,1735,1735,sov,87500,43750,1,82,82,2,ihvs,AM,0,414.301208496094,353.19796
1265,1610253301,16102533,2767,2746,2767,2746,sov,87500,43750,1,82,82,82,ihvs,PM,0,414.301208496094,353.19796
1311,1610260401,16102604,1344,1344,1297,1297,sov,62500,62500,1,6,6,6,ilvi,NT,0,16.0261211395264,17.26581
1323,1610260701,16102607,1992,2007,1992,2007,sov,125000,62500,1,84,84,84,ihvs,NT,0,112.697570800781,93.33132
1355,1610266101,16102661,1241,1127,1241,1127,hov2,200000,100000,0,6,6,6,ihvs,NT,0,157.385070800781,105.09152
1384,1610275901,16102759,261,261,143,143,XXX,200000,100000,0,5,5,5,ihvs,AM,0,44.3225860595703,32.47076
1410,1610281401,16102814,506,519,506,519,sov,87500,87500,0,7,7,7,ihvs,NT,0,136.702774047852,125.25452
1435,1610293101,16102931,2463,2452,2463,2452,sov,62500,62500,1,2,2,2,ilvs,PM,0,131.995941162109,129.40778
1430,1610293101,16102931,2463,2463,2610,2610,sov,62500,62500,1,2,2,2,ilvs,AM,0,131.995941162109,129.40778
1463,1610299001,16102990,95,121,95,121,sov,125000,62500,1,5,5,5,ihvs,NT,0,117.012153625488,96.90447
1459,1610299001,16102990,95,95,215,215,sov,125000,62500,1,5,5,5,ihvs,MD,0,117.012153625488,96.90447
1481,1610302902,16103029,2055,2190,2055,2190,hov2,200000,100000,0,3,3,3,ihvs,PM,0,154.051620483398,88.17057
1534,1610305601,16103056,1883,2214,1883,2214,sov,125000,62500,1,3,3,3,ihvs,MD,0,122.452041625977,116.621
1560,1610318401,16103184,2468,2468,1731,1731,sov,200000,66666.66666666667,1,2,2,2,ihvs,AM,0,264.138244628906,235.10303
1569,1610318402,16103184,2468,2471,2468,2471,sov,200000,66666.66666666667,1,2,2,2,ihvs,NT,0,264.138244628906,235.10303
1578,1610318403,16103184,2468,2412,2468,2412,sov,200000,66666.66666666667,1,2,2,2,ihvs,NT,0,240.686721801758,235.10303
1574,1610318403,16103184,2468,2468,2460,2460,sov,200000,66666.66666666667,1,2,2,2,ihvs,MD,0,370.287261962891,235.10303
1589,1610324501,16103245,1344,1344,1344,1344,sov,62500,62500,1,6,6,6,ilvs,PM,0,22.894458770752,17.26581
1678,1610355903,16103559,2122,2320,2122,2320,sov,62500,31250,1,3,3,3,ilvi,NT,0,288.864715576172,188.80046
1675,1610355903,16103559,2122,2122,2322,2322,sov,62500,31250,1,3,3,3,ilvi,MD,0,288.864715576172,188.80046
1764,1610372801,16103728,339,632,339,632,hov2,87500,43750,1,5,7,5,ihvs,PM,0,136.457626342773,102.90922
1757,1610372801,16103728,339,339,1138,1138,sov,87500,43750,1,5,5,6,ihvs,NT,0,136.457626342773,102.90922
1765,1610372802,16103728,339,339,632,632,hov2,87500,43750,1,5,5,7,ihvs,AM,0,136.457626342773,102.90922
1811,1610396801,16103968,1605,1596,1605,1596,sov,87500,43750,1,4,2,4,ihvs,NT,0,53.0255279541016,34.65721
1906,1610415301,16104153,2367,2381,2367,2381,sov,200000,100000,0,7,3,7,ihvs,PM,0,51.3767204284668,37.63862
1916,1610417801,16104178,1963,1958,1963,1958,sov,87500,43750,1,84,84,84,ihvs,PM,0,170.794235229492,128.8041
1939,1610419801,16104198,1214,1214,444,444,sov,37500,37500,1,81,81,7,ilvs,AM,0,95.0566482543945,88.83799
