EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerWorker,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
3,1610000202,16100002,1995,1995,1950,1950,sov,200000,66666.66666666667,1,84,84,84,ihvi,AM,0,397.592956542969,470.38503
54,1610002201,16100022,2573,2573,561,561,hov2,125000,62500,1,2,2,1,ihvs,AM,0,78.3345260620117,99.60522
60,1610002202,16100022,2573,2573,561,561,hov2,125000,62500,1,2,2,1,ihvs,AM,0,84.1913146972656,99.60522
62,1610002801,16100028,2529,2529,1671,1671,sov,37500,18750,1,82,82,2,ilvs,AM,0,116.82795715332,161.25322
98,1610011802,16100118,2617,2617,1624,1624,sov,62500,62500,1,82,82,3,ilvi,AM,0,72.9524765014648,95.49003
117,1610016302,16100163,24,6,24,6,hov2,87500,43750,1,84,84,84,ihvs,PM,0,120.52091217041,139.83166
133,1610019101,16100191,962,962,NA,NA,sov,37500,37500,1,83,83,NA,ilvs,NT,0,115.376846313477,183.13785
149,1610022801,16100228,2214,2214,3056,3056,sov,62500,62500,1,3,3,2,ilvs,AM,0,106.256729125977,129.40778
179,1610028201,16100282,2484,2484,1298,1298,sov,200000,66666.66666666667,1,2,2,6,ihvs,MD,0,226.331787109375,287.78917
183,1610028202,16100282,2484,2484,1698,1698,sov,200000,66666.66666666667,1,2,2,2,ihvs,AM,0,226.331787109375,287.78917
189,1610028203,16100282,2484,2484,1294,1294,sov,200000,66666.66666666667,1,2,2,6,ihvs,NT,0,274.982543945313,287.78917
195,1610029401,16100294,1923,1923,2891,2891,hov2,125000,62500,1,84,84,84,ihvs,AM,0,70.8847274780273,74.186
203,1610029402,16100294,1923,1919,1923,1919,sov,125000,62500,1,84,84,84,ihvs,PM,0,65.821533203125,74.186
252,1610035401,16100354,1592,1592,3031,3031,sov,62500,31250,1,2,2,2,ilvs,MD,0,24.7449150085449,26.65903
256,1610035402,16100354,1592,1592,1620,1620,sov,62500,31250,1,2,2,3,ilvs,PM,0,24.7449150085449,26.65903
258,1610036001,16100360,1702,1702,1808,1808,sov,200000,100000,0,2,2,4,ihvs,AM,0,82.2895965576172,86.12202
285,1610038101,16100381,710,710,704,704,other_auto,37500,Inf,0,82,82,82,ilvs,MD,0,46.8681869506836,44.63637
318,1610049802,16100498,64,64,2110,2110,sov,87500,43750,1,84,84,3,ihvs,NT,0,181.098999023438,237.04677
332,1610056001,16100560,1188,1194,1188,1194,sov,62500,62500,1,81,81,81,ilvs,MD,0,46.1436538696289,65.04512
335,1610056001,16100560,1188,1194,1188,1194,sov,62500,62500,1,81,81,81,ilvs,PM,0,46.1436538696289,65.04512
336,1610056101,16100561,1032,1032,1578,1578,sov,62500,62500,1,83,83,4,ilvs,NT,0,149.516448974609,195.70729
346,1610058102,16100581,2750,2750,2582,2582,sov,125000,62500,1,82,82,82,ihvs,AM,0,70.8847274780273,74.186
375,1610066701,16100667,2049,2049,1603,1603,sov,62500,62500,1,3,3,2,ilvs,AM,0,90.9619445800781,119.06326
392,1610066801,16100668,2444,1729,2444,1729,sov,37500,37500,1,2,2,2,ilvs,NT,0,31.2902889251709,41.14436
393,1610068701,16100687,1686,1686,585,585,sov,62500,62500,1,2,2,7,ilvs,MD,0,617.21630859375,979.70846
412,1610072802,16100728,2377,2377,574,574,sov,62500,31250,1,3,3,1,ilvs,AM,0,118.97193145752,128.17489
