TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE
1,Internal,352,834,76534,48,18.3,11.3,0,0,0,834,37,33,66,0,13,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Internal,391,954,76534,48,18.3,11.3,0,0,0,954,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0
3,Internal,502,1235,108533,48,27.9,13.8,0,0,0,1235,9,52,75,2,18,34,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Internal,616,1474,61929,50,19.9,18,0,0,0,1474,17,37,60,0,22,39,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Internal,177,354,105691,50,26.3,13.9,0,0,0,354,0,8,89,19,11,39,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Internal,1253,2850,105691,50,26.3,13.9,0,0,0,2850,0,192,35,0,0,43,0,0,0,0,0,243,0,0,0,0,0,0,1126,0,0,0,0,0,0,0
7,Internal,178,362,105691,50,26.3,13.9,0,0,0,362,4,19,24,0,13,39,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Internal,121,319,73598,48,21.7,13.3,0,0,0,319,7,4,9,0,0,41,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Internal,235,592,73598,48,21.7,13.3,0,0,0,592,44,25,21,0,14,58,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Internal,128,319,73598,48,21.7,13.3,0,0,0,319,0,13,27,12,0,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Internal,99,257,104082,31,17,39.6,0,0,0,257,2,4,34,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Internal,357,927,100221,43,16.6,16.4,0,0,0,927,14,32,6,11,3,37,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Internal,465,1312,104082,31,17,39.6,0,0,0,1312,4,18,100,0,0,50,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Internal,1485,2546,104082,31,17,39.6,0,0,36,2582,6,31,159,109,204,22,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Internal,37,84,56905,31,10,62.9,0,0,0,84,0,3,4,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Internal,169,394,79000,40,11,39.7,0,0,0,394,0,88,3,0,0,35,0,0,0,0,0,25,0,0,0,0,0,0,540,0,0,0,0,0,0,0
17,Internal,104,246,79000,40,11,39.7,0,0,0,246,1,13,76,4,89,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Internal,1271,3227,100714,40,21.7,26.9,0,0,0,3227,89,119,180,0,5,27,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Internal,410,996,100714,40,21.7,26.9,0,0,0,996,288,67,163,45,367,20,0,0,0,0,0,106,0,0,0,0,0,0,4,0,0,0,0,0,0,0
20,Internal,144,355,100183,49,22.7,14.3,0,0,0,355,3,21,12,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Internal,500,1272,100183,49,22.7,14.3,0,0,0,1272,9,56,40,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
22,Internal,189,443,100183,49,22.7,14.3,0,6,0,449,64,6,15,4,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Internal,62,135,100183,49,22.7,14.3,0,0,0,135,2,3,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Internal,265,648,100183,49,22.7,14.3,0,0,0,648,50,33,25,4,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Internal,89,237,69427,49,20.9,17.8,0,0,0,237,11,66,11,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0
26,Internal,345,780,69427,49,20.9,17.8,0,6,0,786,8,36,39,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Internal,79,188,69427,49,20.9,17.8,0,0,0,188,3,16,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Internal,346,821,69427,49,20.9,17.8,0,0,0,821,9,13,23,6,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Internal,86,205,69427,49,20.9,17.8,0,0,0,205,10,4,8,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Internal,153,402,51616,49,24.7,18.3,0,0,0,402,31,16,67,0,41,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Internal,247,594,51616,49,24.7,18.3,0,0,0,594,12,22,0,0,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Internal,84,199,100221,43,16.6,16.4,0,0,0,199,156,3,59,2,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Internal,1694,3549,82833,33,13.9,42.3,0,0,0,3549,7,24,70,10,7,36,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Internal,161,445,82833,33,13.9,42.3,0,0,0,445,28,21,9,0,6,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Internal,111,266,82833,33,13.9,42.3,0,0,0,266,0,32,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Internal,278,681,82833,33,13.9,42.3,0,4,0,685,5,37,11,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Internal,90,208,100221,43,16.6,16.4,0,0,0,208,31,17,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Internal,157,374,100221,43,16.6,16.4,0,0,0,374,74,24,32,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
39,Internal,123,273,100221,43,16.6,16.4,0,0,0,273,17,17,38,4,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Internal,175,437,82833,33,13.9,42.3,0,0,0,437,13,32,29,0,8,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Internal,971,1827,82833,33,13.9,42.3,0,0,66,1893,29,84,533,23,63,27,0,0,0,0,0,119,0,0,0,0,0,0,148,0,0,0,0,0,0,0
42,Internal,57,143,82833,33,13.9,42.3,0,0,0,143,14,6,42,0,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Internal,0,0,82833,33,13.9,42.3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Internal,38,85,100221,43,16.6,16.4,0,0,0,85,3,8,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Internal,81,196,66667,43,28,25.3,0,0,0,196,2,9,7,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Internal,78,160,66667,43,28,25.3,0,0,0,160,304,4,5,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Internal,1,2,66667,43,28,25.3,0,0,0,2,138,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Internal,73,191,66667,43,28,25.3,0,0,0,191,0,11,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Internal,73,178,66667,43,28,25.3,0,0,0,178,505,13,8,2,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Internal,174,465,66667,43,28,25.3,0,0,0,465,47,29,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Internal,42,99,66667,43,28,25.3,0,0,0,99,5,5,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Internal,41,117,66667,43,28,25.3,0,0,0,117,2,8,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Internal,147,323,50238,43,17.7,16.5,0,0,0,323,22,36,21,12,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Internal,63,164,50238,43,17.7,16.5,0,0,0,164,4,14,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Internal,120,316,50238,43,17.7,16.5,0,0,0,316,25,56,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0
56,Internal,149,320,47692,45,16.2,24.2,0,0,0,320,11,121,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0
57,Internal,744,1516,47692,45,16.2,24.2,0,3,86,1605,17,67,325,84,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Internal,103,220,47692,45,16.2,24.2,0,0,0,220,25,3,5,15,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Internal,103,218,47692,45,16.2,24.2,0,0,0,218,1,4,36,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Internal,53,124,47692,45,16.2,24.2,0,0,0,124,7,6,2,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Internal,36,88,47692,45,16.2,24.2,0,0,0,88,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Internal,75,188,52083,45,19.3,16.9,0,14,78,280,5,55,80,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Internal,38,84,52083,45,19.3,16.9,0,0,0,84,2,0,13,0,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Internal,80,190,52083,45,19.3,16.9,0,0,0,190,0,6,5,0,12,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Internal,445,1037,52083,45,19.3,16.9,0,0,0,1037,53,41,193,31,416,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Internal,63,153,52083,45,19.3,16.9,0,18,0,171,2,0,73,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Internal,398,891,52083,45,19.3,16.9,0,0,0,891,6,26,12,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
