duration,tour_type,homebased,purpose,wTrips,r_size,r_senior,r_kid,r_income,r_veh,pct_AM,pct_MD,pct_NT,pct_PM,pct_bike,pct_hov,pct_bus,pct_other,pct_sov,pct_walk,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
All,NT,HB,EAT,126978,0.062,0,0.051,0.008,0.012,8,71.9,13.1,7,0.6,66.2,0.3,0.2,26.7,5.9,4.93,0,0,0.002,0.001,0.001,0
Long,NT,HB,OD,2395370,0.095,0.002,0.067,0.003,0.046,8.7,54.3,25.4,11.7,1.1,49.6,6.9,0.2,32.1,10.2,5.67,0.001,0,0,0,0,0.001
Short,NT,HB,OD,424353,0.134,0.003,0.097,0.003,0.027,8.1,55,31.2,5.7,2.2,36.6,1.4,0.2,26.4,33.3,3.69,0.001,0,0.001,0,0.001,0
All,NT,HB,OM,91023,0.083,0,0.077,0.013,0.008,23,59.1,17,0.9,0.1,34.4,0.4,0,58.5,6.5,4.88,0.001,0,0.001,0.001,0,0
All,NT,HB,OMED,65969,0.03,0.002,0.04,0.052,0.01,16.4,38.8,44.1,0.8,0,52.3,3.2,0,44.2,0.3,9.58,0,0,0,0.002,0.004,0.001
All,NT,HB,SCH,67232,0.002,0.014,0,0.003,0.095,0.8,2.1,96.3,0.8,0.1,96.3,1.9,0,0,1.7,5.26,0,0.005,0,0.001,0,0.005
Long,NT,HB,SHP,151601,0.117,0.01,0.075,0.016,0.018,20.1,60,15.4,4.4,0.2,56.1,1.7,0.2,37.1,4.8,5.42,0.001,0.001,0.001,0.001,0.006,0
Short,NT,HB,SHP,134436,0.073,0.003,0.079,0.001,0.027,18.9,54.8,19.2,7.1,0.6,34.7,0.9,0.1,56.3,7.4,4.17,0,0,0.001,0,0,0
All,NT,NHB,EAT-O,245393,0.091,0.002,0.081,0,0.026,11.9,64.3,15,8.8,0.6,65.1,0.7,0.3,25.7,7.6,4.95,0.004,0,0.001,0.003,0.002,0.002
All,NT,NHB,EAT-SHP,108919,0.022,0,0.019,0.021,0.011,13.3,67.2,8.2,11.4,0,62,0.4,0,32.7,4.8,3.99,0,0.001,0,0.006,0,0
Long,NT,NHB,O,359718,0.059,0,0.047,0.002,0.044,11,54.8,32.2,2,1.1,50.6,12.1,3.7,22.8,9.6,5.61,0.001,0,0,0.001,0.001,0
Short,NT,NHB,O,309032,0.054,0.007,0.063,0.004,0.013,12.7,62.2,20.2,4.9,1,48.4,7.5,3,26.2,13.9,4.32,0,0,0,0,0,0
Long,NT,NHB,SHP,250179,0.08,0.001,0.046,0.01,0.01,23.8,58.8,14.2,3.2,0.4,48.5,1.4,0.3,44.3,5.1,5.57,0,0.001,0,0,0.001,0
Short,NT,NHB,SHP,360182,0.102,0.003,0.079,0.005,0.015,19.1,61.6,10.6,8.7,0.4,48.8,0.5,0,45.5,4.8,3.81,0.001,0.005,0.006,0,0.001,0
Long,WT,HB,O,565982,0.145,0.013,0.088,0.009,0.037,2.9,74.7,10.9,11.4,0.9,20,1.3,0.1,75.6,2.2,8.59,0.001,0,0.001,0.001,0.001,0
Short,WT,HB,O,121700,0.183,0.003,0.143,0.006,0.034,8,23.5,67.6,0.9,0.4,33.3,1,0,55.7,9.5,5.29,0.021,0.002,0.003,0.011,0.004,0.01
All,WT,HB,SCH,57318,0.07,0.002,0.002,0.043,0.003,1.2,0.8,98,,0.4,99.6,0,0,0,0,5.05,0.002,0.003,0,0,0.016,0.002
All,WT,HB,W,482370,0.159,0.021,0.1,0.007,0.051,7.6,22.4,68.8,1.2,1,10.9,1.9,0.1,82.5,3.6,9.76,0.014,0.001,0,0.012,0.002,0.005
All,WT,NHB,EAT,239587,0.168,0.002,0.12,0.017,0.078,12.6,72.8,9.9,4.7,0.1,29.2,0.1,0,54.9,15.6,4.03,0.001,0.008,0,0.005,0,0.001
Long,WT,NHB,O,70741,0.231,0.001,0.155,0.011,0.028,12.5,71.3,13.9,2.3,0.1,28.6,0.7,0.2,56.4,13.9,5.78,0.007,0.014,0.006,0,0.004,0.001
Short,WT,NHB,O,159496,0.078,0.02,0.037,0.024,0.023,8.1,69.2,17,5.7,0.2,32.2,3.1,0.2,53.7,10.6,4.35,0.003,0,0,0.002,0,0.002
All,WT,NHB,SCH,73623,0.064,0.008,0.005,0.019,0.008,2,2.1,95.9,,0.3,31.6,0.6,0,66.4,1,7.68,0,0.011,0,0.006,0,0.002
All,WT,NHB,WR,566602,0.126,0.007,0.077,0.011,0.028,12.9,64.8,20.7,1.5,0.4,12.4,2.4,0.5,71.4,12.9,6.65,0.001,0,0.004,0.007,0,0
