tour_type,homebased,purpose,duration,samples,wTrips,r_othpers,r_is_worker,r_othworkers,r_is_senior,r_othseniors,r_is_kid,r_othkids,r_hhincome,r_hhveh,pct_sov,pct_hov,pct_auto_pay,pct_bus,pct_school_bus,pct_walk,pct_bike,pct_other,pct_AM,pct_MD,pct_PM,pct_NT,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
WT,HB,K12,All,274,49624,0.109,0.147,0.097,-0.072,-0.057,-0.072,0.183,0.079,0.018,2.7,95.8,,1,,,0.4,0,77.6,2.8,,19.6,5.43,-0.042,-0.058,0.003,-0.004,-0.119,-0.036
WT,HB,O,All,1979,358098,-0.067,0.394,0.197,-0.149,-0.108,-0.197,0.029,0.054,-0.013,64.5,31,0.8,0.7,,2.5,0.4,0,14.2,12.3,31.6,41.9,5.55,0.254,0.479,0.092,0.036,0.168,0.115
WT,HB,W,All,3566,641617,-0.119,0.556,0.297,-0.211,-0.141,-0.276,-0.046,0.046,0.035,86.4,6.7,1.7,2.1,,1.8,1.2,0.1,28.9,17,27,27.1,10.75,0.588,0.156,0.181,0.453,0.159,0.397
WT,NHB,OP,All,1702,559686,-0.096,0.317,0.14,-0.112,-0.084,-0.158,-0.024,0.042,-0.017,61.7,16.2,4.4,1,,16.2,0.2,0.2,,75.2,,24.8,4.79,0.541,0.406,0.113,0.31,0.244,0.349
WT,NHB,PK,All,1690,457355,-0.014,0.315,0.162,-0.123,-0.094,-0.158,0.079,0.057,-0.007,68.6,18.8,1.5,2.3,0.1,8,0.4,0.3,33.1,,66.9,,7.09,0.456,0.409,0.08,0.236,0.22,0.296
NT,HB,K12,All,1154,411434,0.293,-0.276,0.14,-0.143,-0.093,0.567,0.158,0.103,0.07,10.7,46.7,6.2,0.6,32.4,2.9,0.5,0,37.9,17.5,28.3,16.3,4.93,-0.057,-0.11,-0.079,0.067,-0.05,-0.099
NT,HB,O,Long,5619,1620502,-0.058,-0.172,-0.178,0.11,0.074,-0.05,-0.039,-0.013,-0.026,37.3,49.7,4.6,1.4,0.3,5.5,0.8,0.4,8.3,34.6,23.4,33.7,6.51,0.353,0.534,0.021,0.081,0.292,0.231
NT,HB,O,Short,4621,1603056,-0.004,-0.071,-0.106,0.063,0.041,-0.103,0.064,0.023,-0.01,36.2,39.3,1.2,0.7,0.2,21,1.4,0.1,14.9,31.6,27.6,25.9,3.66,0.243,0.416,0.034,0.071,0.174,0.103
NT,NHB,All,LL,1777,429510,-0.032,-0.103,-0.085,0.049,0.02,-0.004,-0.025,-0.027,-0.029,29.1,42.3,11.8,2.2,2.8,7.5,1.1,3.3,3.8,51.2,30,14.9,5.87,0.229,0.407,0.04,0.043,0.07,0.118
NT,NHB,All,LS,2924,834533,-0.021,-0.126,-0.13,0.077,0.044,-0.023,0.021,-0.03,-0.024,32.6,47.3,5.7,1.3,3.8,7.4,0.4,1.5,10.3,47.4,23.6,18.7,4.71,0.333,0.572,0.071,0.067,0.237,0.15
NT,NHB,All,SS,1514,462387,-0.041,-0.066,-0.114,0.076,0.046,-0.071,0.004,-0.035,-0.033,39.3,45.9,1.5,1.3,0.1,10.5,0.6,0.6,11.1,49.5,22.5,16.8,3.9,0.256,0.44,0.065,0.041,0.117,0.114
