tour_type,homebased,purpose,duration,samples,wTrips,r_othpers,r_is_worker,r_othworkers,r_is_senior,r_othseniors,r_is_kid,r_othkids,r_hhincome,r_hhveh,pct_sov,pct_hov2,pct_hov3,pct_auto_pay,pct_other_auto,pct_lb,pct_eb,pct_other,pct_school_bus,pct_walkbike,pct_AM,pct_MD,pct_PM,pct_NT,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
W,HB,EK12,All,324,72087,0.107,0.15,0.011,-0.073,-0.055,-0.075,0.182,0.081,0.02,1.5,49.2,48.4,0,0.2,0,0,0,0,0.8,53.1,6.2,26.4,14.3,5.39,-0.007,-0.037,0.022,0.031,-0.07,-0.037
W,HB,O,All,1873,338620,-0.085,0.381,-0.056,-0.14,-0.101,-0.191,0.001,0.042,-0.017,67.2,15.8,10.1,0.1,1.7,0.6,0.2,0.1,0,4.3,15.4,15.2,30.1,39.3,5.47,0.243,0.487,0.095,0.016,0.165,0.112
W,HB,W,All,3566,638650,-0.12,0.556,-0.043,-0.21,-0.142,-0.276,-0.048,0.046,0.035,85.4,4.8,1.8,0.6,2.4,1.7,0.3,0,0,3.1,28.8,19.3,28.2,23.6,10.73,0.586,0.148,0.18,0.454,0.16,0.396
W,NH,EK12,All,357,111814,0.103,0.143,0.014,-0.07,-0.054,-0.072,0.177,0.085,0.017,63.8,23.4,11.1,0,0.1,0.2,0.1,0,0,1.3,50.7,14.2,30.5,4.6,7.67,0.232,0.19,-0.012,0.117,0.163,0.182
W,NH,O,All,2226,803547,-0.103,0.356,-0.07,-0.127,-0.094,-0.178,-0.021,0.04,-0.024,63.6,10.1,4.7,0.4,4.7,1.3,0.6,0.1,0,14.4,10.9,45.6,30.4,13.1,5.64,0.551,0.499,0.115,0.286,0.269,0.352
W,NH,WR,All,352,107205,-0.041,0.141,-0.029,-0.047,-0.042,-0.071,-0.01,0.011,0.001,56.7,7.6,5.3,2.8,12.5,0.1,0.5,0,0,14.4,8.3,65.4,20.7,5.6,5.47,0.267,0.151,0.073,0.039,0.209,0.304
N,HB,K12,All,1689,623200,0.341,-0.203,0.264,-0.165,-0.113,0.404,0.295,0.119,0.073,17.2,23.1,30,0.1,4.7,0.6,0.1,0,21.1,3.1,39.6,25.1,21.5,13.8,4.9,-0.051,-0.106,-0.041,0.066,-0.079,-0.091
N,HB,OD,Long,3897,975963,-0.007,-0.126,-0.019,0.011,-0.001,0.019,-0.002,-0.01,-0.027,38.8,22.2,22.7,0.4,4.8,1.4,0.1,0.2,0.5,9,10.6,30.3,24.9,34.3,6.66,0.215,0.105,0.037,0.11,0.37,0.138
N,HB,OD,Short,2589,816454,-0.016,-0.037,-0.05,0.042,0.025,-0.062,0.028,0.024,-0.021,23.3,16.6,14.7,0.1,0.7,0.7,0,0,0.2,43.6,15.2,30.2,28,26.6,3.08,0.057,0.05,0.02,0.03,0.167,0.006
N,HB,OME,All,4036,1130091,-0.127,-0.121,-0.158,0.175,0.13,-0.152,-0.087,-0.026,-0.017,43.3,27.5,19,0.5,3.3,0.6,0,0,0,5.7,3.8,47.3,22.9,26,4.52,0.311,0.708,-0.005,0.016,0.086,0.108
N,HB,OMED,All,538,120695,-0.055,-0.066,-0.068,0.104,0.075,-0.05,-0.046,-0.022,-0.007,42,30.3,13.5,2.8,5.9,2.5,0.1,2.6,0,0.4,15.5,60.7,17.3,6.6,9.25,0.347,0.065,-0.041,0.076,0.123,0.362
N,NH,K12,All,466,120626,0.179,-0.175,0.192,-0.087,-0.059,0.351,0.113,0.072,0.032,5,15.6,22.2,0.3,11,0.7,0,1.8,36.2,7.2,27.3,34.3,29.2,9.2,5.28,-0,0.004,0.024,0.114,-0.028,-0.056
N,NH,O,All,1656,507159,-0.007,-0.034,-0.041,0.008,-0.002,-0.031,0.027,-0.016,-0.028,24.1,24.1,21.6,1.3,6.7,3.4,0.2,0.6,1,17,13.2,46.1,24.8,15.9,4.91,0.269,0.081,0.081,0.133,0.339,0.209
N,NH,OME,All,3194,1128123,-0.087,-0.134,-0.13,0.145,0.084,-0.108,-0.035,-0.062,-0.042,40.8,27.3,18.8,0.5,5.6,0.7,0,0.1,0,6.2,4.9,60.1,18.8,16.2,4.58,0.294,0.683,0.036,0.014,0.1,0.109
