trip_type,tod,hov3
N_HB_K12_All,AM,3.568
N_HB_K12_All,MD,3.763
N_HB_K12_All,NT,3.402
N_HB_K12_All,PM,3.649
N_HB_OD_Long,AM,3.474
N_HB_OD_Long,MD,3.837
N_HB_OD_Long,NT,3.671
N_HB_OD_Long,PM,3.4
N_HB_OD_Short,AM,3.74
N_HB_OD_Short,MD,3.62
N_HB_OD_Short,NT,3.783
N_HB_OD_Short,PM,3.355
N_HB_OME_All,AM,3.654
N_HB_OME_All,MD,3.63
N_HB_OME_All,NT,3.616
N_HB_OME_All,PM,3.653
N_HB_OMED_All,AM,3.545
N_HB_OMED_All,MD,3.714
N_HB_OMED_All,NT,3.545
N_HB_OMED_All,PM,3.545
N_NH_K12_All,AM,3.625
N_NH_K12_All,MD,3.571
N_NH_K12_All,NT,3.571
N_NH_K12_All,PM,3.65
N_NH_O_All,AM,3.482
N_NH_O_All,MD,3.491
N_NH_O_All,NT,3.438
N_NH_O_All,PM,3.677
N_NH_OME_All,AM,3.683
N_NH_OME_All,MD,3.865
N_NH_OME_All,NT,3.672
N_NH_OME_All,PM,3.4
W_HB_EK12_All,AM,3.381
W_HB_EK12_All,MD,3.415
W_HB_EK12_All,NT,3.415
W_HB_EK12_All,PM,3.557
W_HB_O_All,AM,3.414
W_HB_O_All,MD,3.334
W_HB_O_All,NT,3.48
W_HB_O_All,PM,3.166
W_HB_W_All,AM,3.475
W_HB_W_All,MD,3.475
W_HB_W_All,NT,3.475
W_HB_W_All,PM,3.475
W_NH_EK12_All,AM,3.21
W_NH_EK12_All,MD,3.21
W_NH_EK12_All,NT,3.21
W_NH_EK12_All,PM,3.21
W_NH_O_All,AM,3.295
W_NH_O_All,MD,3.237
W_NH_O_All,NT,3.295
W_NH_O_All,PM,3.175
W_NH_WR_All,AM,3.85
W_NH_WR_All,MD,3.85
W_NH_WR_All,NT,3.85
W_NH_WR_All,PM,3.85
