trip_type,tod,hov3,auto_pay,other_auto
N_HB_K12_All,AM,3.563,3.082,3.395
N_HB_K12_All,MD,3.763,3.395,3.019
N_HB_K12_All,NT,3.402,3.395,3.05
N_HB_K12_All,PM,3.645,3.082,3.05
N_HB_OD_Long,AM,3.477,1.819,2.611
N_HB_OD_Long,MD,3.837,1.819,2.429
N_HB_OD_Long,NT,3.669,1.819,2.546
N_HB_OD_Long,PM,3.393,1.819,2.953
N_HB_OD_Short,AM,3.74,2.596,2.596
N_HB_OD_Short,MD,3.621,2.491,2.596
N_HB_OD_Short,NT,3.786,2.491,2.596
N_HB_OD_Short,PM,3.355,2.491,2.596
N_HB_OME_All,AM,3.651,2.048,2.389
N_HB_OME_All,MD,3.62,2.048,2.5
N_HB_OME_All,NT,3.615,2.048,2.278
N_HB_OME_All,PM,3.655,2.048,2.156
N_HB_OMED_All,AM,3.378,2.462,2.462
N_HB_OMED_All,MD,3.443,2.462,2.462
N_HB_OMED_All,NT,3.378,2.462,2.462
N_HB_OMED_All,PM,3.378,2.462,2.462
N_NH_K12_All,AM,3.625,3.269,3.222
N_NH_K12_All,MD,3.552,3.269,3.222
N_NH_K12_All,NT,3.552,3.269,3.222
N_NH_K12_All,PM,3.608,3.269,3.222
N_NH_O_All,AM,3.46,1.805,3.23
N_NH_O_All,MD,3.486,1.805,3.388
N_NH_O_All,NT,3.441,1.805,3.226
N_NH_O_All,PM,3.67,1.805,2.796
N_NH_OME_All,AM,3.676,3.853,3.418
N_NH_OME_All,MD,3.864,2.233,3.173
N_NH_OME_All,NT,3.649,2.233,3.853
N_NH_OME_All,PM,3.393,2.233,3.691
W_HB_EK12_All,AM,3.381,2,2
W_HB_EK12_All,MD,3.415,2,2
W_HB_EK12_All,NT,3.415,2,2
W_HB_EK12_All,PM,3.557,2,2
W_HB_O_All,AM,3.414,1.665,1.665
W_HB_O_All,MD,3.334,1.665,1.665
W_HB_O_All,NT,3.48,1.665,1.665
W_HB_O_All,PM,3.166,1.665,1.665
W_HB_W_All,AM,3.475,1.785,1.912
W_HB_W_All,MD,3.475,1.785,1.912
W_HB_W_All,NT,3.475,1.785,1.912
W_HB_W_All,PM,3.475,1.785,1.912
W_NH_EK12_All,AM,3.21,2,2
W_NH_EK12_All,MD,3.21,2,2
W_NH_EK12_All,NT,3.21,2,2
W_NH_EK12_All,PM,3.21,2,2
W_NH_O_All,AM,3.237,2.343,2.343
W_NH_O_All,MD,3.237,2.343,2.343
W_NH_O_All,NT,3.237,2.28,2.343
W_NH_O_All,PM,3.195,2.343,2.343
W_NH_WR_All,AM,3.269,2.908,1.935
W_NH_WR_All,MD,3.423,2.908,2.049
W_NH_WR_All,NT,3.269,2.908,1.935
W_NH_WR_All,PM,3.269,2.908,1.694
