TAZ,NCSU_MODELAREA,UNC_MODELAREA,DUKE_MODELAREA,NCCU_MODELAREA
1,0,1,0,0
2,0,1,0,0
3,0,1,0,0
4,0,1,0,0
5,0,1,0,0
6,0,1,0,0
7,0,1,0,0
8,0,1,0,0
9,0,1,0,0
10,0,1,0,0
11,0,1,0,0
12,0,1,0,0
13,0,1,0,0
14,0,1,0,0
15,0,1,0,0
16,0,1,0,0
17,0,1,0,0
18,0,1,0,0
19,0,1,0,0
20,0,1,0,0
21,0,0,0,0
22,0,0,0,0
23,0,1,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,1,1,1
34,0,1,1,1
35,0,1,1,1
36,0,1,0,0
37,0,1,0,0
38,0,1,0,0
39,0,0,0,0
40,0,1,0,0
41,0,1,1,1
42,0,1,0,0
43,0,1,1,1
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,1,0,0
65,0,0,0,0
66,0,0,0,0
67,0,1,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,1,1,1
79,0,1,1,1
80,0,1,1,1
81,1,0,1,1
82,1,0,1,1
83,1,0,1,1
84,1,0,1,1
85,0,1,1,1
86,0,1,1,1
87,0,0,1,1
88,0,0,1,1
89,0,0,1,1
90,0,0,1,1
91,0,0,1,1
92,0,0,1,1
93,0,0,1,1
94,0,0,1,1
95,0,0,1,1
96,0,0,1,1
97,0,0,1,1
98,0,0,1,1
99,0,0,1,1
100,0,0,1,1
101,0,0,1,1
102,0,0,1,1
103,0,0,1,1
104,0,0,1,1
105,0,0,1,1
106,0,0,1,1
107,0,0,1,1
108,0,0,1,1
109,0,0,1,1
110,0,0,1,1
111,0,0,1,1
112,0,0,1,1
113,0,0,1,1
114,0,0,1,1
115,0,0,1,1
116,0,0,1,1
117,0,0,1,1
118,0,0,1,1
119,0,1,1,1
120,0,1,1,1
121,0,0,1,1
122,0,0,1,1
123,0,0,1,1
124,0,0,1,1
125,0,1,1,1
126,0,0,1,1
127,0,1,1,1
128,0,1,1,1
129,0,0,1,1
130,0,1,1,1
131,0,0,1,1
132,0,0,1,1
133,0,1,1,1
134,0,1,1,1
