Person_ID,On_campus,Graduate,Have_car,Have_parking_permit,Start_PlaceID,Start_PlaceType,End_PlaceID,End_PlaceType,TAZ_o,TAZ_d,Origin_PA,Destination_PA,TAZ_P,TAZ_A,Trip_Purpose,UHC,UHO,UCO,UC1,UOO,UCC,Campus_TAZ_A,Campus_TAZ_P,Purpose,Primary_Mode,Bicycle,Bus,Car,Carpool,Walk,Other,distance_miles,distance_zonetozone,Weight,Bicycle_W,Bus_W,Car_W,Carpool_W,Walk_W,Other_W
1001,1,0,Yes,No,1001000,Home,1001001,North Carolina State University,1489,3056,P,A,1489,3056,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Bicycle,1,0,0,0,0,0,1.4323032567259193,2.31975,63.6818,63.6818,0,0,0,0,0
1001,1,0,Yes,No,1001001,North Carolina State University,1001002,Other,3056,3054,P,A,3056,3054,UCO,0,0,1,0,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.1723217153026842,0.437193,63.6818,0,0,0,0,63.6818,0
1001,1,0,Yes,No,1001002,Other,1001003,North Carolina State University,3054,3056,A,P,3056,3054,UCO,0,0,1,0,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.15903769597596,0.437193,63.6818,0,0,0,0,63.6818,0
1001,1,0,Yes,No,1001003,North Carolina State University,1001004,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Bicycle,1,0,0,0,0,0,0.06966003257038034,0.464153,63.6818,63.6818,0,0,0,0,0
1001,1,0,Yes,No,1001004,North Carolina State University,1001005,Home,3055,1489,A,P,1489,3055,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Go home,Bicycle,1,0,0,0,0,0,1.3557468843009317,1.540137,63.6818,63.6818,0,0,0,0,0
1002,0,1,Yes,No,1002000,Home,1002001,North Carolina State University,1455,3052,P,A,1455,3052,UHC,1,0,0,0,0,0,NCSU_Main,NA,Work,Car,0,0,1,0,0,0,3.1129160179046838,3.720473,66.4210526,0,0,66.4210526,0,0,0
1002,0,1,Yes,No,1002001,North Carolina State University,1002002,North Carolina State University,3052,3055,P,A,3052,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.09661327381606277,0.478774,66.4210526,0,0,0,0,66.4210526,0
1002,0,1,Yes,No,1002002,North Carolina State University,1002003,Home,3055,1455,A,P,1455,3055,UHC,1,0,0,0,0,0,NCSU_Main,NA,Go home,Car,0,0,1,0,0,0,2.871154450169157,3.004437,66.4210526,0,0,66.4210526,0,0,0
1002,0,1,Yes,No,1002003,Home,1002004,North Carolina State University,1455,3054,P,A,1455,3054,UHC,1,0,0,0,0,0,NCSU_Main,NA,Recreational / Social / Community Service / Personal,Car,0,0,1,0,0,0,2.836063757019746,2.72394,66.4210526,0,0,66.4210526,0,0,0
1002,0,1,Yes,No,1002004,North Carolina State University,1002005,Home,3054,1479,A,P,1479,3054,UHC,1,0,0,0,0,0,NCSU_Main,NA,Go home,Car,0,0,1,0,0,0,1.4621777930309194,1.899026,66.4210526,0,0,66.4210526,0,0,0
