"","source","distance_bin_label","trips","share"
"1","Observed","0 to 1",11242.1021636,0.258125924532642
"2","Observed","1 to 2",9317.224748,0.213929496206051
"3","Observed","10 to 11",458.655034,0.0105310157273014
"4","Observed","11 to 12",1539.058478,0.0353377764018055
"5","Observed","12 to 13",179.668478,0.00412530426411563
"6","Observed","13 to 14",66.4210526,0.00152507025477128
"7","Observed","14 to 15",467.4795306,0.0107336318670822
"8","Observed","17 to 18",290.363478,0.00666693293821326
"9","Observed","18 to 19",226.681678,0.00520475769183221
"10","Observed","19 to 20",278.986556,0.00640571146318573
"11","Observed","2 to 3",6475.6146302,0.148684293116423
"12","Observed","20 to 21",174.3768,0.00400380392047868
"13","Observed","21 to 22",589.5514526,0.0135364820162073
"14","Observed","22 to 23",278.986556,0.00640571146318573
"15","Observed","23 to 24",453.363356,0.0104095153836644
"16","Observed","24 to 25",226.681678,0.00520475769183221
"17","Observed","25 to 26",171.0308086,0.00392697779747833
"18","Observed","26 to 27",118.7259306,0.0027260240261248
"19","Observed","27 to 28",104.609756,0.00240190754270705
"20","Observed","3 to 4",5221.1844058,0.119881765197459
"21","Observed","4 to 5",2246.0902426,0.0515716822368044
"22","Observed","5 to 6",1429.857112,0.0328304425287649
"23","Observed","6 to 7",467.4795306,0.0107336318670822
"24","Observed","7 to 8",118.7259306,0.0027260240261248
"25","Observed","8 to 9",289.7567392,0.00665300182360313
"26","Observed","9 to 10",1120.1060444,0.0257183580150604
"27","Simulated","0 to 1",13132.23,0.281030786263588
"28","Simulated","1 to 2",10597.266,0.226782351224764
"29","Simulated","10 to 11",198.824,0.00425484971311586
"30","Simulated","11 to 12",123.408,0.00264094120124433
"31","Simulated","12 to 13",102.84,0.00220078433437027
"32","Simulated","14 to 15",6.856,0.000146718955624685
"33","Simulated","2 to 3",8690.831,0.185984487723255
"34","Simulated","3 to 4",2689.266,0.0575505103437827
"35","Simulated","4 to 5",7212.508,0.154348255716844
"36","Simulated","5 to 6",1616.302,0.0345889937885195
"37","Simulated","6 to 7",541.624,0.0115907974943501
"38","Simulated","7 to 8",870.712,0.018633307364335
"39","Simulated","8 to 9",685.6,0.0146718955624685
"40","Simulated","9 to 10",260.528,0.00557532031373803
