"","campus","purpose","mode","trips","share","source"
"1","DUKE","ALL","AUTO",49464.9734590339,0.4106,"Simulated"
"2","DUKE","ALL","TRANSIT",12725.6523510948,0.1056,"Simulated"
"3","DUKE","ALL","WALK",55103.7696965276,0.4574,"Simulated"
"4","DUKE","ALL","BIKE",3173.74533378163,0.0263,"Simulated"
"5","DUKE","UHC_OFF","AUTO",8466.49907683457,0.4877,"Simulated"
"6","DUKE","UHC_OFF","TRANSIT",2664.9096004379,0.1535,"Simulated"
"7","DUKE","UHC_OFF","WALK",5693.11368533484,0.3279,"Simulated"
"8","DUKE","UHC_OFF","BIKE",536.58295412411,0.0309,"Simulated"
"9","NCCU","ALL","AUTO",14095.3441061881,0.5063,"Simulated"
"10","NCCU","ALL","TRANSIT",2306.1736395928,0.0828,"Simulated"
"11","NCCU","ALL","WALK",10595.0272547519,0.3805,"Simulated"
"12","NCCU","ALL","BIKE",845.8341477375,0.0304,"Simulated"
"13","NCCU","UHC_OFF","AUTO",6423.09709398928,0.7182,"Simulated"
"14","NCCU","UHC_OFF","TRANSIT",1097.91245015889,0.1228,"Simulated"
"15","NCCU","UHC_OFF","WALK",1070.18929594321,0.1197,"Simulated"
"16","NCCU","UHC_OFF","BIKE",352.45277184213,0.0394,"Simulated"
"17","NCSU","ALL","AUTO",64500.4768596396,0.4361,"Simulated"
"18","NCSU","ALL","TRANSIT",18924.5410165554,0.128,"Simulated"
"19","NCSU","ALL","WALK",60413.4847223298,0.4085,"Simulated"
"20","NCSU","ALL","BIKE",4059.7975223573,0.0274,"Simulated"
"21","NCSU","UHC_OFF","AUTO",16695.3579311709,0.5237,"Simulated"
"22","NCSU","UHC_OFF","TRANSIT",4782.63581617557,0.15,"Simulated"
"23","NCSU","UHC_OFF","WALK",9377.67590849691,0.2941,"Simulated"
"24","NCSU","UHC_OFF","BIKE",1026.44333920356,0.0322,"Simulated"
"25","UNC","ALL","AUTO",52585.6560743164,0.372,"Simulated"
"26","UNC","ALL","TRANSIT",25212.7409010523,0.1784,"Simulated"
"27","UNC","ALL","WALK",59065.9365531999,0.4178,"Simulated"
"28","UNC","ALL","BIKE",4492.99697620378,0.0318,"Simulated"
"29","UNC","UHC_OFF","AUTO",10319.2068944146,0.3336,"Simulated"
"30","UNC","UHC_OFF","TRANSIT",14691.6378567625,0.475,"Simulated"
"31","UNC","UHC_OFF","WALK",4172.16376315245,0.1349,"Simulated"
"32","UNC","UHC_OFF","BIKE",1749.54871937403,0.0566,"Simulated"
"33","NCSU","ALL","AUTO",68356.5192712,0.41,"Observed"
"34","NCSU","ALL","BIKE",4199.251321,0.0252,"Observed"
"35","NCSU","ALL","TRANSIT",23037.8639986,0.1382,"Observed"
"36","NCSU","ALL","WALK",71135.400353,0.4267,"Observed"
