id,name,total,poverty,non_poverty
1500000US370370202003,"Block Group 3, Census Tract 202, Chatham County, North Carolina",1010,65,945
1500000US370370202004,"Block Group 4, Census Tract 202, Chatham County, North Carolina",963,151,812
1500000US370370208004,"Block Group 4, Census Tract 208, Chatham County, North Carolina",907,100,807
1500000US370370208002,"Block Group 2, Census Tract 208, Chatham County, North Carolina",1204,111,1093
1500000US370370208003,"Block Group 3, Census Tract 208, Chatham County, North Carolina",819,27,792
1500000US370370201032,"Block Group 2, Census Tract 201.03, Chatham County, North Carolina",298,28,270
1500000US370370201041,"Block Group 1, Census Tract 201.04, Chatham County, North Carolina",1118,80,1038
1500000US370370201051,"Block Group 1, Census Tract 201.05, Chatham County, North Carolina",659,72,587
1500000US370370201052,"Block Group 2, Census Tract 201.05, Chatham County, North Carolina",1383,69,1314
1500000US370370201061,"Block Group 1, Census Tract 201.06, Chatham County, North Carolina",517,67,450
1500000US370370201063,"Block Group 3, Census Tract 201.06, Chatham County, North Carolina",563,93,470
1500000US370370207011,"Block Group 1, Census Tract 207.01, Chatham County, North Carolina",3172,77,3095
1500000US370370207021,"Block Group 1, Census Tract 207.02, Chatham County, North Carolina",621,34,587
1500000US370370208001,"Block Group 1, Census Tract 208, Chatham County, North Carolina",1170,117,1053
1500000US370370206002,"Block Group 2, Census Tract 206, Chatham County, North Carolina",803,147,656
1500000US370370201031,"Block Group 1, Census Tract 201.03, Chatham County, North Carolina",1582,168,1414
1500000US370370201042,"Block Group 2, Census Tract 201.04, Chatham County, North Carolina",1354,18,1336
1500000US370370201062,"Block Group 2, Census Tract 201.06, Chatham County, North Carolina",639,41,598
1500000US370370207022,"Block Group 2, Census Tract 207.02, Chatham County, North Carolina",556,50,506
1500000US370630020182,"Block Group 2, Census Tract 20.18, Durham County, North Carolina",1777,218,1559
1500000US370630016013,"Block Group 3, Census Tract 16.01, Durham County, North Carolina",568,13,555
1500000US370630016012,"Block Group 2, Census Tract 16.01, Durham County, North Carolina",1256,100,1156
1500000US370630009001,"Block Group 1, Census Tract 9, Durham County, North Carolina",403,131,272
1500000US370630004021,"Block Group 1, Census Tract 4.02, Durham County, North Carolina",1257,206,1051
1500000US370630006002,"Block Group 2, Census Tract 6, Durham County, North Carolina",899,117,782
