id,name,total,poverty,non_poverty
15000US370010201001,"Block Group 1, Census Tract 201, Alamance County, North Carolina",609,94,515
15000US370010201002,"Block Group 2, Census Tract 201, Alamance County, North Carolina",535,18,517
15000US370010201003,"Block Group 3, Census Tract 201, Alamance County, North Carolina",429,219,210
15000US370010201004,"Block Group 4, Census Tract 201, Alamance County, North Carolina",238,71,167
15000US370010202001,"Block Group 1, Census Tract 202, Alamance County, North Carolina",334,46,288
15000US370010202002,"Block Group 2, Census Tract 202, Alamance County, North Carolina",187,72,115
15000US370010202003,"Block Group 3, Census Tract 202, Alamance County, North Carolina",416,114,302
15000US370010202004,"Block Group 4, Census Tract 202, Alamance County, North Carolina",523,252,271
15000US370010203001,"Block Group 1, Census Tract 203, Alamance County, North Carolina",402,147,255
15000US370010203002,"Block Group 2, Census Tract 203, Alamance County, North Carolina",289,54,235
15000US370010203003,"Block Group 3, Census Tract 203, Alamance County, North Carolina",522,74,448
15000US370010203004,"Block Group 4, Census Tract 203, Alamance County, North Carolina",544,36,508
15000US370010203005,"Block Group 5, Census Tract 203, Alamance County, North Carolina",856,284,572
15000US370010204001,"Block Group 1, Census Tract 204, Alamance County, North Carolina",955,284,671
15000US370010204002,"Block Group 2, Census Tract 204, Alamance County, North Carolina",560,231,329
15000US370010204003,"Block Group 3, Census Tract 204, Alamance County, North Carolina",360,105,255
15000US370010204004,"Block Group 4, Census Tract 204, Alamance County, North Carolina",190,69,121
15000US370010204005,"Block Group 5, Census Tract 204, Alamance County, North Carolina",324,72,252
15000US370010205011,"Block Group 1, Census Tract 205.01, Alamance County, North Carolina",940,133,807
15000US370010205012,"Block Group 2, Census Tract 205.01, Alamance County, North Carolina",518,34,484
15000US370010205021,"Block Group 1, Census Tract 205.02, Alamance County, North Carolina",957,220,737
15000US370010205022,"Block Group 2, Census Tract 205.02, Alamance County, North Carolina",237,50,187
15000US370010205023,"Block Group 3, Census Tract 205.02, Alamance County, North Carolina",240,9,231
15000US370010206011,"Block Group 1, Census Tract 206.01, Alamance County, North Carolina",368,25,343
15000US370010206012,"Block Group 2, Census Tract 206.01, Alamance County, North Carolina",439,0,439
15000US370010206013,"Block Group 3, Census Tract 206.01, Alamance County, North Carolina",540,18,522
15000US370010206021,"Block Group 1, Census Tract 206.02, Alamance County, North Carolina",255,0,255
15000US370010206022,"Block Group 2, Census Tract 206.02, Alamance County, North Carolina",973,116,857
15000US370010207011,"Block Group 1, Census Tract 207.01, Alamance County, North Carolina",612,117,495
15000US370010207012,"Block Group 2, Census Tract 207.01, Alamance County, North Carolina",645,40,605
15000US370010207013,"Block Group 3, Census Tract 207.01, Alamance County, North Carolina",313,42,271
15000US370010207014,"Block Group 4, Census Tract 207.01, Alamance County, North Carolina",573,0,573
15000US370010207021,"Block Group 1, Census Tract 207.02, Alamance County, North Carolina",627,45,582
15000US370010207022,"Block Group 2, Census Tract 207.02, Alamance County, North Carolina",594,110,484
15000US370010207023,"Block Group 3, Census Tract 207.02, Alamance County, North Carolina",723,84,639
15000US370010207024,"Block Group 4, Census Tract 207.02, Alamance County, North Carolina",405,178,227
15000US370010208011,"Block Group 1, Census Tract 208.01, Alamance County, North Carolina",316,65,251
15000US370010208012,"Block Group 2, Census Tract 208.01, Alamance County, North Carolina",405,25,380
15000US370010208021,"Block Group 1, Census Tract 208.02, Alamance County, North Carolina",276,79,197
15000US370010208022,"Block Group 2, Census Tract 208.02, Alamance County, North Carolina",463,110,353
15000US370010208023,"Block Group 3, Census Tract 208.02, Alamance County, North Carolina",516,212,304
15000US370010208024,"Block Group 4, Census Tract 208.02, Alamance County, North Carolina",286,208,78
15000US370010208025,"Block Group 5, Census Tract 208.02, Alamance County, North Carolina",287,46,241
15000US370010208026,"Block Group 6, Census Tract 208.02, Alamance County, North Carolina",596,67,529
15000US370010209011,"Block Group 1, Census Tract 209.01, Alamance County, North Carolina",559,19,540
15000US370010209012,"Block Group 2, Census Tract 209.01, Alamance County, North Carolina",421,84,337
15000US370010209013,"Block Group 3, Census Tract 209.01, Alamance County, North Carolina",446,55,391
15000US370010209021,"Block Group 1, Census Tract 209.02, Alamance County, North Carolina",831,97,734
15000US370010209022,"Block Group 2, Census Tract 209.02, Alamance County, North Carolina",585,23,562
15000US370010210001,"Block Group 1, Census Tract 210, Alamance County, North Carolina",585,253,332
15000US370010210002,"Block Group 2, Census Tract 210, Alamance County, North Carolina",719,251,468
