purpose,p_field,a_field,constraint,imp_core,a,b,c
CV_AM,CV_AM,CVa_AM,Production,CongTime,5,1,0.1
CV_MD,CV_MD,CVa_MD,Production,CongTime,5,1,0.1
CV_PM,CV_PM,CVa_PM,Production,CongTime,5,1,0.1
CV_NT,CV_NT,CVa_NT,Production,CongTime,5,1,0.1
SUT_AM,SUT_AM,SUTa_AM,Production,CongTime,5,0.75,0.1
SUT_MD,SUT_MD,SUTa_MD,Production,CongTime,5,0.75,0.1
SUT_PM,SUT_PM,SUTa_PM,Production,CongTime,5,0.75,0.1
SUT_NT,SUT_NT,SUTa_NT,Production,CongTime,5,0.75,0.1
MUT_AM,MUT_AM,MUTa_AM,Production,CongTime,5,0.6,0.1
MUT_MD,MUT_MD,MUTa_MD,Production,CongTime,5,0.6,0.1
MUT_PM,MUT_PM,MUTa_PM,Production,CongTime,5,0.6,0.1
MUT_NT,MUT_NT,MUTa_NT,Production,CongTime,5,0.6,0.1
