to_field,from_field,factor,Description
EE_AUTO_MARG_AM,EE_AUTO_MARG,0.141,
EE_AUTO_MARG_MD,EE_AUTO_MARG,0.452,
EE_AUTO_MARG_PM,EE_AUTO_MARG,0.076,
EE_AUTO_MARG_NT,EE_AUTO_MARG,0.331,
EE_CV_SUT_MARG_AM,EE_CV_SUT_MARG,0.141,
EE_CV_SUT_MARG_MD,EE_CV_SUT_MARG,0.452,
EE_CV_SUT_MARG_PM,EE_CV_SUT_MARG,0.076,
EE_CV_SUT_MARG_NT,EE_CV_SUT_MARG,0.331,
EE_CV_MUT_MARG_AM,EE_CV_MUT_MARG,0.141,
EE_CV_MUT_MARG_MD,EE_CV_MUT_MARG,0.452,
EE_CV_MUT_MARG_PM,EE_CV_MUT_MARG,0.076,
EE_CV_MUT_MARG_NT,EE_CV_MUT_MARG,0.331,
