purpose,p_field,a_field,constraint,imp_core,filter,a,b,c
IEEI_AUTO,IEEI_AUTO_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Long',5,0.25,0.1
IEEI_CVSUT,IEEI_CVSUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Long',5,0.25,0.1
IEEI_CVMUT,IEEI_CVMUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Long',5,0.25,0.1
IEEI_AUTO,IEEI_AUTO_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Medium',5,0.6,0.1
IEEI_CVSUT,IEEI_CVSUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Medium',5,0.6,0.1
IEEI_CVMUT,IEEI_CVMUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Medium',5,0.6,0.1
IEEI_AUTO,IEEI_AUTO_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Short',5,1.3,0.1
IEEI_CVSUT,IEEI_CVSUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Short',5,1.3,0.1
IEEI_CVMUT,IEEI_CVMUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Short',5,1.3,0.1
IEEI_AUTO,IEEI_AUTO_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Very Short',5,1.6,0.2
IEEI_CVSUT,IEEI_CVSUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Very Short',5,1.6,0.2
IEEI_CVMUT,IEEI_CVMUT_PROD,IEEI_ATTR,Production,FFTime,IEEI_Distance = 'Very Short',5,1.6,0.2
