to_field,from_field,factor,Description
IEEI_AUTO_PROD_FREEWAY_AM,IEEI_AUTO_PROD_FREEWAY,0.141,
IEEI_AUTO_PROD_FREEWAY_MD,IEEI_AUTO_PROD_FREEWAY,0.452,
IEEI_AUTO_PROD_FREEWAY_PM,IEEI_AUTO_PROD_FREEWAY,0.0748,
IEEI_AUTO_PROD_FREEWAY_NT,IEEI_AUTO_PROD_FREEWAY,0.331,
IEEI_AUTO_ATTR_FREEWAY_AM,IEEI_AUTO_ATTR_FREEWAY,0.141,
IEEI_AUTO_ATTR_FREEWAY_MD,IEEI_AUTO_ATTR_FREEWAY,0.452,
IEEI_AUTO_ATTR_FREEWAY_PM,IEEI_AUTO_ATTR_FREEWAY,0.0748,
IEEI_AUTO_ATTR_FREEWAY_NT,IEEI_AUTO_ATTR_FREEWAY,0.331,
IEEI_AUTO_PROD_NONFREEWAY_AM,IEEI_AUTO_PROD_NONFREEWAY,0.141,
IEEI_AUTO_PROD_NONFREEWAY_MD,IEEI_AUTO_PROD_NONFREEWAY,0.452,
IEEI_AUTO_PROD_NONFREEWAY_PM,IEEI_AUTO_PROD_NONFREEWAY,0.0748,
IEEI_AUTO_PROD_NONFREEWAY_NT,IEEI_AUTO_PROD_NONFREEWAY,0.331,
IEEI_AUTO_ATTR_NONFREEWAY_AM,IEEI_AUTO_ATTR_NONFREEWAY,0.141,
IEEI_AUTO_ATTR_NONFREEWAY_MD,IEEI_AUTO_ATTR_NONFREEWAY,0.452,
IEEI_AUTO_ATTR_NONFREEWAY_PM,IEEI_AUTO_ATTR_NONFREEWAY,0.0748,
IEEI_AUTO_ATTR_NONFREEWAY_NT,IEEI_AUTO_ATTR_NONFREEWAY,0.331,
IEEI_CVSUT_PROD_FREEWAY_AM,IEEI_CVSUT_PROD_FREEWAY,0.141,
IEEI_CVSUT_PROD_FREEWAY_MD,IEEI_CVSUT_PROD_FREEWAY,0.452,
IEEI_CVSUT_PROD_FREEWAY_PM,IEEI_CVSUT_PROD_FREEWAY,0.0748,
IEEI_CVSUT_PROD_FREEWAY_NT,IEEI_CVSUT_PROD_FREEWAY,0.331,
IEEI_CVSUT_ATTR_FREEWAY_AM,IEEI_CVSUT_ATTR_FREEWAY,0.141,
IEEI_CVSUT_ATTR_FREEWAY_MD,IEEI_CVSUT_ATTR_FREEWAY,0.452,
IEEI_CVSUT_ATTR_FREEWAY_PM,IEEI_CVSUT_ATTR_FREEWAY,0.0748,
IEEI_CVSUT_ATTR_FREEWAY_NT,IEEI_CVSUT_ATTR_FREEWAY,0.331,
IEEI_CVSUT_PROD_NONFREEWAY_AM,IEEI_CVSUT_PROD_NONFREEWAY,0.141,
IEEI_CVSUT_PROD_NONFREEWAY_MD,IEEI_CVSUT_PROD_NONFREEWAY,0.452,
IEEI_CVSUT_PROD_NONFREEWAY_PM,IEEI_CVSUT_PROD_NONFREEWAY,0.0748,
IEEI_CVSUT_PROD_NONFREEWAY_NT,IEEI_CVSUT_PROD_NONFREEWAY,0.331,
IEEI_CVSUT_ATTR_NONFREEWAY_AM,IEEI_CVSUT_ATTR_NONFREEWAY,0.141,
IEEI_CVSUT_ATTR_NONFREEWAY_MD,IEEI_CVSUT_ATTR_NONFREEWAY,0.452,
IEEI_CVSUT_ATTR_NONFREEWAY_PM,IEEI_CVSUT_ATTR_NONFREEWAY,0.0748,
IEEI_CVSUT_ATTR_NONFREEWAY_NT,IEEI_CVSUT_ATTR_NONFREEWAY,0.331,
IEEI_CVMUT_PROD_FREEWAY_AM,IEEI_CVMUT_PROD_FREEWAY,0.141,
IEEI_CVMUT_PROD_FREEWAY_MD,IEEI_CVMUT_PROD_FREEWAY,0.452,
IEEI_CVMUT_PROD_FREEWAY_PM,IEEI_CVMUT_PROD_FREEWAY,0.0748,
IEEI_CVMUT_PROD_FREEWAY_NT,IEEI_CVMUT_PROD_FREEWAY,0.331,
IEEI_CVMUT_ATTR_FREEWAY_AM,IEEI_CVMUT_ATTR_FREEWAY,0.141,
IEEI_CVMUT_ATTR_FREEWAY_MD,IEEI_CVMUT_ATTR_FREEWAY,0.452,
IEEI_CVMUT_ATTR_FREEWAY_PM,IEEI_CVMUT_ATTR_FREEWAY,0.0748,
IEEI_CVMUT_ATTR_FREEWAY_NT,IEEI_CVMUT_ATTR_FREEWAY,0.331,
IEEI_CVMUT_PROD_NONFREEWAY_AM,IEEI_CVMUT_PROD_NONFREEWAY,0.141,
IEEI_CVMUT_PROD_NONFREEWAY_MD,IEEI_CVMUT_PROD_NONFREEWAY,0.452,
IEEI_CVMUT_PROD_NONFREEWAY_PM,IEEI_CVMUT_PROD_NONFREEWAY,0.0748,
IEEI_CVMUT_PROD_NONFREEWAY_NT,IEEI_CVMUT_PROD_NONFREEWAY,0.331,
IEEI_CVMUT_ATTR_NONFREEWAY_AM,IEEI_CVMUT_ATTR_NONFREEWAY,0.141,
IEEI_CVMUT_ATTR_NONFREEWAY_MD,IEEI_CVMUT_ATTR_NONFREEWAY,0.452,
IEEI_CVMUT_ATTR_NONFREEWAY_PM,IEEI_CVMUT_ATTR_NONFREEWAY,0.0748,
IEEI_CVMUT_ATTR_NONFREEWAY_NT,IEEI_CVMUT_ATTR_NONFREEWAY,0.331,
