From,To,pnr_lb_AM,knr_lb_AM,pnr_eb_AM,knr_eb_AM,pnr_lb_MD,knr_lb_MD,pnr_eb_MD,knr_eb_MD,pnr_lb_PM,knr_lb_PM,pnr_eb_PM,knr_eb_PM,pnr_lb_NT,knr_lb_NT,pnr_eb_NT,knr_eb_NT
3252,3017,0.41,,,,0.28,,,,0.4,,,,0.34,,,
3252,3018,0.09,,,,0.06,,,,0.09,,,,0.08,,,
3252,3020,0.15,,,,0.1,,,,0.15,,,,0.13,,,
3273,3056,1.65,,,,1.1,,,,1.61,,,,1.36,,,
3273,3055,1.69,,,,1.13,,,,1.66,,,,1.39,,,
3289,3056,1.87,,,,1.26,,,,1.83,,,,1.54,,,
3289,3055,1.92,,,,1.29,,,,1.88,,,,1.58,,,
3308,3030,0.25,,,,0.17,,,,0.24,,,,0.2,,,
3308,3029,0.1,,,,0.07,,,,0.1,,,,0.08,,,
3323,3055,2.57,,,,1.72,,,,2.51,,,,2.11,,,
3323,3056,2.57,,,,1.72,,,,2.52,,,,2.12,,,
3323,1296,6.26,,2.52,,4.2,,1.69,,6.13,,2.47,,5.15,,2.08,
3323,1310,3.34,,,,2.24,,,,3.28,,,,2.75,,,
3323,1301,2.29,,,,1.53,,,,2.24,,,,1.88,,,
3323,1293,1.8,,0.88,,1.21,,0.59,,1.77,,0.86,,1.49,,0.72,
3326,3012,0.93,,,,0.62,,,,0.91,,,,0.77,,,
3326,3013,2.61,,,,1.75,,,,2.56,,,,2.15,,,
3326,3014,0.21,,,,0.14,,,,0.2,,,,0.17,,,
3326,3029,0.75,,,,0.51,,,,0.74,,,,0.62,,,
3326,3030,1.87,,,,1.26,,,,1.83,,,,1.54,,,
3326,1303,0.59,,,,0.4,,,,0.58,,,,0.49,,,
3295,2369,,0.61,,0.26,,0.41,,0.17,,0.6,,0.25,,0.5,,0.21
3306,3059,,0.49,,,,0.33,,,,0.48,,,,0.4,,
3306,3060,,3.2,,,,2.14,,,,3.13,,,,2.63,,
3323,3059,,0.38,,,,0.25,,,,0.37,,,,0.31,,
3323,3060,,2.48,,,,1.66,,,,2.43,,,,2.04,,
3323,1483,,2.12,,,,1.42,,,,2.07,,,,1.74,,
3323,1596,,1.9,,,,1.27,,,,1.86,,,,1.56,,
3310,3012,,,4.69,,,,3.14,,,,4.59,,,,3.86,
3310,3013,,,13.16,,,,8.82,,,,12.88,,,,10.83,
3310,3014,,,1.05,,,,0.7,,,,1.03,,,,0.86,
3308,1293,,,0.96,,,,0.64,,,,0.94,,,,0.79,
3323,3012,,,4.77,,,,3.19,,,,4.67,,,,3.92,
3323,3013,,,13.38,,,,8.97,,,,13.1,,,,11.01,
3323,3014,,,1.07,,,,0.72,,,,1.05,,,,0.88,
3323,1292,,,6.32,,,,4.24,,,,6.19,,,,5.2,
3323,1291,,,3.77,,,,2.53,,,,3.69,,,,3.1,
3326,3017,,,,,,,,,,,,,,,,
3326,3018,,,,,,,,,,,,,,,,
3326,3020,,,,,,,,,,,,,,,,
3326,316,,,,,,,,,,,,,,,,
3237,316,,,,,,,,,,,,,,,,
3323,316,,,,,,,,,,,,,,,,
3326,3017,24.17,,,,16.2,,,,23.67,,,,19.89,,,
3326,3018,5.45,,,,3.65,,,,5.33,,,,4.48,,,
3326,3020,9.03,,,,6.05,,,,8.84,,,,7.43,,,
3326,316,0.66,,,,0.44,,,,0.65,,,,0.54,,,
3237,316,10.82,,,,7.25,,,,10.59,,,,8.9,,,
3323,316,1.6,,,,1.07,,,,1.56,,,,1.32,,,
3306,3055,0.82,,,,0.55,,,,0.81,,,,0.68,,,
3306,3056,0.85,,,,0.57,,,,0.83,,,,0.7,,,
3317,316,0.74,,,,0.49,,,,0.72,,,,0.61,,,
3273,1433,,1.76,,,,1.18,,,,1.72,,,,1.45,,
3295,1433,,1.24,,,,0.83,,,,1.22,,,,1.02,,
3323,1294,,,1.09,,,,0.73,,,,1.07,,,,0.9,
3323,1311,,,2.7,,,,1.81,,,,2.65,,,,2.22,
3323,1501,,,3.78,,,,2.53,,,,3.7,,,,3.11,
3308,3012,,,0.66,,,,0.44,,,,0.65,,,,0.54,
3308,3013,,,1.85,,,,1.24,,,,1.81,,,,1.52,
3308,3014,,,0.15,,,,0.1,,,,0.14,,,,0.12,
3308,1294,,,3.15,,,,2.11,,,,3.08,,,,2.59,
3308,1301,,,0.6,,,,0.4,,,,0.58,,,,0.49,
3326,1292,,,1.62,,,,1.08,,,,1.58,,,,1.33,
3326,1311,,,3.17,,,,2.12,,,,3.1,,,,2.61,
3326,1298,,,2.97,,,,1.99,,,,2.91,,,,2.44,
3326,1523,,,0.24,0.34,,,0.16,0.23,,,0.24,0.33,,,0.2,0.28
3319,1292,,,4.05,,,,2.71,,,,3.96,,,,3.33,
3319,1298,,,1.03,,,,0.69,,,,1.01,,,,0.85,
3319,1305,,,1.28,,,,0.86,,,,1.25,,,,1.05,
3306,1301,,,4.31,,,,2.89,,,,4.22,,,,3.55,
3273,1301,,,1.4,,,,0.94,,,,1.37,,,,1.15,
3252,3029,,,0.11,,,,0.07,,,,0.1,,,,0.09,
3252,3030,,,0.7,,,,0.47,,,,0.68,,,,0.57,
3295,2404,,,,1.31,,,,0.88,,,,1.28,,,,1.08
3289,1137,,,,0.45,,,,0.3,,,,0.44,,,,0.37
3257,1112,,,,0.13,,,,0.09,,,,0.13,,,,0.11
