HCMType,AreaType,lb_fac,eb_fac,Description
Freeway,Downtown,0.85,0.85,Factor applied to auto speeds to get bus speeds
Freeway,Urban,0.85,0.85,Borrowed from SCAG model
Freeway,Suburban,0.9,0.9,
Freeway,Rural,0.9,0.9,
MLHighway,Downtown,0.85,0.85,
MLHighway,Urban,0.85,0.85,
MLHighway,Suburban,0.9,0.9,
MLHighway,Rural,0.9,0.9,
TLHighway,Downtown,0.85,0.85,
TLHighway,Urban,0.85,0.85,
TLHighway,Suburban,0.9,0.9,
TLHighway,Rural,0.9,0.9,
Superstreet,Downtown,0.5,0.78,
Superstreet,Urban,0.5,0.78,
Superstreet,Suburban,0.5,0.9,
Superstreet,Rural,0.5,0.9,
MajorArterial,Downtown,0.5,0.78,
MajorArterial,Urban,0.5,0.78,
MajorArterial,Suburban,0.5,0.9,
MajorArterial,Rural,0.5,0.9,
Arterial,Downtown,0.5,0.78,
Arterial,Urban,0.5,0.78,
Arterial,Suburban,0.5,0.9,
Arterial,Rural,0.5,0.9,
MajorCollector,Downtown,0.5,0.78,
MajorCollector,Urban,0.5,0.78,
MajorCollector,Suburban,0.5,0.9,
MajorCollector,Rural,0.5,0.9,
Collector,Downtown,0.5,0.78,
Collector,Urban,0.5,0.78,
Collector,Suburban,0.5,0.9,
Collector,Rural,0.5,0.9,
Local,Downtown,0.5,0.78,
Local,Urban,0.5,0.78,
Local,Suburban,0.5,0.9,
Local,Rural,0.5,0.9,
