HCMType,AreaType,HCMMedian,cape_phpl,capd_phpl
Freeway,Downtown,Restrictive,2205,1985
Freeway,Rural,Restrictive,2352,2117
Freeway,Suburban,Restrictive,2303,2073
Freeway,Urban,Restrictive,2254,2029
MLHighway,Downtown,Restrictive,1680,1512
MLHighway,Rural,Restrictive,1680,1512
MLHighway,Suburban,Restrictive,1680,1512
MLHighway,Urban,Restrictive,1680,1512
TLHighway,Downtown,None,1470,1323
TLHighway,Rural,None,1470,1323
TLHighway,Suburban,None,1470,1323
TLHighway,Urban,None,1470,1323
Superstreet,Downtown,Restrictive,1800,1620
Superstreet,Rural,Restrictive,1800,1620
Superstreet,Suburban,Restrictive,1800,1620
Superstreet,Urban,Restrictive,1800,1620
MajorArterial,Downtown,None,1128,1015
MajorArterial,Downtown,NonRestrictive,1309,1178
MajorArterial,Downtown,Restrictive,1537,1383
MajorArterial,Rural,None,1086,977
MajorArterial,Rural,NonRestrictive,1492,1343
MajorArterial,Rural,Restrictive,1774,1597
MajorArterial,Suburban,None,1086,977
MajorArterial,Suburban,NonRestrictive,1440,1296
MajorArterial,Suburban,Restrictive,1300,1170
MajorArterial,Urban,None,1128,1015
MajorArterial,Urban,NonRestrictive,1440,1296
MajorArterial,Urban,Restrictive,1467,1320
Arterial,Downtown,None,917,825
Arterial,Downtown,NonRestrictive,903,813
Arterial,Downtown,Restrictive,1367,1230
Arterial,Rural,None,948,853
Arterial,Rural,NonRestrictive,1210,1089
Arterial,Rural,Restrictive,1584,1426
Arterial,Suburban,None,1140,1026
Arterial,Suburban,NonRestrictive,1188,1069
Arterial,Suburban,Restrictive,1455,1310
Arterial,Urban,None,1009,908
Arterial,Urban,NonRestrictive,1009,908
Arterial,Urban,Restrictive,1367,1230
MajorCollector,Downtown,None,908,817
MajorCollector,Downtown,NonRestrictive,900,810
MajorCollector,Downtown,Restrictive,1000,900
MajorCollector,Rural,None,811,730
MajorCollector,Rural,NonRestrictive,1013,912
MajorCollector,Rural,Restrictive,1308,1177
MajorCollector,Suburban,None,880,792
MajorCollector,Suburban,NonRestrictive,990,891
MajorCollector,Suburban,Restrictive,1012,911
MajorCollector,Urban,None,750,675
MajorCollector,Urban,NonRestrictive,900,810
MajorCollector,Urban,Restrictive,1000,900
Collector,Downtown,None,715,644
Collector,Downtown,NonRestrictive,880,792
Collector,Downtown,Restrictive,990,891
Collector,Rural,None,741,667
Collector,Rural,NonRestrictive,944,850
Collector,Rural,Restrictive,1208,1087
Collector,Suburban,None,780,702
Collector,Suburban,NonRestrictive,890,801
Collector,Suburban,Restrictive,912,821
Collector,Urban,None,650,585
Collector,Urban,NonRestrictive,800,720
Collector,Urban,Restrictive,900,810
Local,Downtown,None,715,644
Local,Downtown,NonRestrictive,800,720
Local,Downtown,Restrictive,900,810
Local,Rural,None,741,667
Local,Rural,NonRestrictive,944,850
Local,Rural,Restrictive,1208,1087
Local,Suburban,None,780,702
Local,Suburban,NonRestrictive,890,801
Local,Suburban,Restrictive,912,821
Local,Urban,None,715,644
Local,Urban,NonRestrictive,800,720
Local,Urban,Restrictive,900,810
CC,Downtown,None,10000,9000
CC,Rural,None,10000,9000
CC,Suburban,None,10000,9000
CC,Urban,None,10000,9000
