HCMType,AreaType,ModifyPosted,Alpha,Beta,Notes
Freeway,Downtown,2,10,4,
Freeway,Urban,2,10,4,
Freeway,Suburban,3,10,4,
Freeway,Rural,7,10,4,
Arterial,Downtown,-5,6,4,
Arterial,Urban,-4,6,4,
Arterial,Suburban,-3,6,4,
Arterial,RuralML,5,8,4,
Arterial,RuralTL,5,6,4,
Collector,Downtown,-5,4,4,
Collector,Urban,-5,4,4,
Collector,Suburban,-4,4,4,
Collector,RuralML,4,6,4,
Collector,RuralTL,4,4,4,
CC,Downtown,0,10,4,"CCs set separately. See the ""CCSpeeds"" parameter in the flow chart."
CC,Urban,0,10,4,
CC,Suburban,0,10,4,
CC,Rural,0,10,4,
TransitOnly,Downtown,0,10,4,
TransitOnly,Urban,0,10,4,
TransitOnly,Suburban,0,10,4,
TransitOnly,Rural,0,10,4,
