Field,w_hbw_size_H,w_hbw_size_L,w_hbo_size,w_hbek12_size,n_hbome_size,n_hbomed_size,n_hbods_size,n_hbodl_size,n_hbk12_size,Description
Service_RateLow_EH,0.298197,0,0,0,0,0,0,0,0,Attractions/Size terms for destination choice
Service_RateHigh_EH,0.298197,0,0,0,0,0,0,0,0,Separate attraction rates are used for high- and low-income households for work trips
Office_EH,1,0,0,0,0,0,0,0,0,"The 'EL' and 'EH' suffice on employment is 'Earning Low' and ""Earning High'"
Industry_EH,0.301194,0,0,0,0,0,0,0,0,See PctHighEarn field (source: LEHD)
Retail_EH,0.301194,0,0,0,0,0,0,0,0,
Service_RateLow_EL,0,0.353455,0,0,0,0,0,0,0,
Service_RateHigh_EL,0,0.353455,0,0,0,0,0,0,0,
Office_EL,0,1,0,0,0,0,0,0,0,
Industry_EL,0,0.301194,0,0,0,0,0,0,0,
Retail_EL,0,0.103312,0,0,0,0,0,0,0,
Service_RateLow,0,0,1,0,0.029013,1,4.758821,8.671138,0,
Service_RateHigh,0,0,4.0552,0,0.110803,1,31.186958,117.919242,0,
Office,0,0,1.108491,0,0,0,2.013753,9.77668,0,
Industry,0,0,0,0,0,0,0,2.677812,0,
Retail,0,0,11.822447,0,1,0.225373,10.697392,6.423737,0,
HH,0,0,0.089815,0,0,0,0,0,0,
HH_POP,0,0,0,0,0,0,1,1,0,
K12,0,0,0,1,0,0,4.392946,5.473947,1,
