Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,1,0,0.256,0.505,0
2,Raleigh,0.836,0.545,0.256,0.023,0.039
3,Cary,0.725,0.527,0.256,0.498,0.077
4,Garner,0.922,0,0.256,-0.355,-0.189
5,Durham,1,-1.14,0.256,-0.898,-0.187
6,ChapelHill,0.851,0,0.256,0.728,0.332
7,SouthernDurham,0.814,0,0.256,0.12,0.237
81,Northwest,0.784,0,0.256,-1.575,-0.189
82,Northeast,1,-0.752,0.256,-0.239,-0.079
83,Southeast,0.881,0,0.256,-0.528,-0.029
84,South,0.929,0,0.256,0.642,0.191
85,Southwest,1,0,0.256,0.796,0.197
