Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,1,-1.2,0,0.842,-1.39
2,Raleigh,0.802,0.481,0.202,0.249,-0.051
3,Cary,0.811,0,0.959,0.463,0.002
4,Garner,0.802,0,0.826,-0.659,-0.414
5,Durham,0.811,0.423,0.468,0.398,-0.056
6,ChapelHill,0.893,0,0.867,0.931,0.081
7,SouthernDurham,0.742,0.436,0.57,-0.144,-0.171
81,Northwest,0.97,0,0,-1.197,-0.279
82,Northeast,0.879,0,0.26,-0.418,-0.062
83,Southeast,0.947,-1.16,0.708,-1.492,-0.143
84,South,0.89,0,0,-0.002,-0.016
85,Southwest,0.856,0.693,0,-0.121,-0.067
