Expression,Filter,Coefficient,Description
se.n_hbodl_size.D,,0.592,Size term
nz(mc_logsums_v0.NonHHAutoComposite),trips.MarketSegmentCode = 1,0.285,NonAuto MC Logsum: v0 Segment
nz(mc_logsums_vi.NonHHAutoComposite),trips.MarketSegmentCode = 2,0.285,NonAuto MC Logsum: vi Segment
nz(mc_logsums_vs.NonHHAutoComposite),trips.MarketSegmentCode = 3,0.285,NonAuto MC Logsum: vs Segment
nz(mc_logsums_v0.TransitComposite),trips.MarketSegmentCode = 1,1.1,Transit MC Logsum: v0 Segment
nz(mc_logsums_vi.TransitComposite),trips.MarketSegmentCode = 2,1.1,Transit MC Logsum: vi Segment
nz(mc_logsums_vs.TransitComposite),trips.MarketSegmentCode = 3,1.1,Transit MC Logsum: vs Segment
intra_cluster.IZ,,0.751,
sov_skim.CongTime,,-0.171,
"max(0, sov_skim.CongTime - 30)",,0.108,
se.access_walk.D,trips.MarketSegmentCode = 1,0.246,v0 Segment Only
intra_cluster.IZ,,0.19,Adjustment
sov_skim.CongTime > 55,,-99,Cutoff
