Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,0.863,-1.29,0.957,0.799,-1.085
2,Raleigh,0.74,0.46,0.378,-0.157,-0.299
3,Cary,0.761,0,0.585,1.012,0.277
4,Garner,0.726,0,0.597,-1,-0.52
5,Durham,0.817,-0.813,0.698,0.264,-0.115
6,ChapelHill,0.813,0,0.29,1.258,0.37
7,SouthernDurham,0.75,-0.353,0.745,0.006,-0.278
81,Northwest,0.767,0,0.529,-2.277,-0.806
82,Northeast,0.846,-0.697,1.16,-0.133,-0.141
83,Southeast,0.853,-0.804,0.597,-0.978,-0.394
84,South,0.81,-0.735,0.682,-0.196,-0.179
85,Southwest,0.953,0,0,0.161,-0.116
