Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,0.896,-0.446,0.646,0.27,-0.697
2,Raleigh,0.907,0,0.108,0.519,-0.135
3,Cary,0.889,0,0.395,0.794,0.059
4,Garner,0.847,0,0.687,0.207,-0.155
5,Durham,0.876,0,0,0.061,-0.188
6,ChapelHill,0.79,0.367,0.273,0.182,-0.026
7,SouthernDurham,0.954,0,0,0.26,-0.164
81,Northwest,1,-0.369,0,-3.342,-0.592
82,Northeast,0.942,0,0,-0.371,-0.107
83,Southeast,1,-1.18,0.406,-0.694,-0.136
84,South,0.952,-0.904,0.439,-0.538,-0.118
85,Southwest,0.965,0.32,0,-1.784,-0.37
