inc_ratio,incL,incML,incMH,incH
0.22,0.817,0.1346,0.0377,0.0107
0.23,0.8042,0.1442,0.0403,0.0113
0.24,0.7915,0.1536,0.0429,0.012
0.25,0.7789,0.1627,0.0457,0.0127
0.26,0.7666,0.1716,0.0484,0.0134
0.27,0.7544,0.1802,0.0513,0.0141
0.28,0.7424,0.1886,0.0542,0.0148
0.29,0.7306,0.1968,0.0571,0.0155
0.3,0.7189,0.2047,0.0602,0.0162
0.31,0.7075,0.2124,0.0632,0.0169
0.32,0.6961,0.2199,0.0663,0.0177
0.33,0.685,0.2271,0.0695,0.0184
0.34,0.674,0.2341,0.0727,0.0192
0.35,0.6631,0.2409,0.076,0.02
0.36,0.6524,0.2475,0.0793,0.0208
0.37,0.6418,0.2539,0.0827,0.0216
0.38,0.6315,0.2601,0.086,0.0224
0.39,0.6213,0.266,0.0895,0.0232
0.4,0.6112,0.2718,0.0929,0.0241
0.41,0.6013,0.2774,0.0964,0.0249
0.42,0.5915,0.2827,0.1,0.0258
0.43,0.5819,0.2879,0.1035,0.0267
0.44,0.5724,0.2929,0.1071,0.0276
0.45,0.563,0.2977,0.1108,0.0285
0.46,0.5538,0.3023,0.1144,0.0295
0.47,0.5448,0.3067,0.1181,0.0304
0.48,0.5358,0.311,0.1218,0.0314
0.49,0.5271,0.315,0.1255,0.0324
0.5,0.5184,0.3189,0.1293,0.0334
0.51,0.5099,0.3227,0.133,0.0344
0.52,0.5016,0.3262,0.1368,0.0354
0.53,0.4934,0.3296,0.1406,0.0364
0.54,0.4853,0.3328,0.1444,0.0375
0.55,0.4773,0.3359,0.1482,0.0386
0.56,0.4695,0.3388,0.152,0.0397
0.57,0.4617,0.3416,0.1559,0.0408
0.58,0.4542,0.3442,0.1597,0.0419
0.59,0.4466,0.3467,0.1636,0.0431
0.6,0.4393,0.349,0.1674,0.0443
0.61,0.4321,0.3512,0.1713,0.0454
0.62,0.425,0.3532,0.1752,0.0466
0.63,0.418,0.3551,0.179,0.0479
0.64,0.4111,0.3569,0.1829,0.0491
0.65,0.4043,0.3585,0.1868,0.0504
0.66,0.3977,0.36,0.1906,0.0517
0.67,0.3911,0.3614,0.1945,0.053
0.68,0.3848,0.3626,0.1983,0.0543
0.69,0.3784,0.3638,0.2022,0.0556
0.7,0.3722,0.3648,0.206,0.057
0.71,0.3661,0.3657,0.2098,0.0584
0.72,0.3601,0.3665,0.2136,0.0598
0.73,0.3543,0.3671,0.2174,0.0612
0.74,0.3485,0.3676,0.2212,0.0627
0.75,0.3428,0.3681,0.225,0.0641
0.76,0.3372,0.3684,0.2288,0.0656
0.77,0.3317,0.36870000000000003,0.2325,0.0671
0.78,0.3264,0.3688,0.2362,0.0686
0.79,0.3211,0.3688,0.2399,0.0702
0.8,0.3159,0.3688,0.2436,0.0717
0.81,0.3108,0.3686,0.2473,0.0733
0.82,0.3058,0.3684,0.2509,0.0749
0.83,0.3009,0.368,0.2545,0.0766
0.84,0.2961,0.3676,0.2581,0.0782
0.85,0.2914,0.367,0.2617,0.0799
0.86,0.2867,0.3665,0.2652,0.0816
0.87,0.2822,0.3658,0.2687,0.0833
0.88,0.2777,0.365,0.2722,0.0851
0.89,0.2733,0.3643,0.2756,0.0868
0.9,0.269,0.3633,0.2791,0.0886
0.91,0.2648,0.3623,0.2825,0.0904
0.92,0.2607,0.3613,0.2858,0.0922
0.93,0.2566,0.3602,0.2891,0.0941
0.94,0.2527,0.3589,0.2924,0.096
0.95,0.2488,0.3576,0.2957,0.0979
0.96,0.245,0.3563,0.2989,0.0998
0.97,0.2412,0.355,0.3021,0.1017
0.98,0.2376,0.3535,0.3052,0.1037
0.99,0.234,0.352,0.3083,0.1057
1,0.2304,0.3505,0.3114,0.1077
1.01,0.227,0.3489,0.3144,0.1097
1.02,0.2236,0.3473,0.3174,0.1117
1.03,0.2203,0.3455,0.3204,0.1138
1.04,0.2171,0.3437,0.3233,0.1159
1.05,0.2139,0.342,0.3261,0.118
1.06,0.2108,0.3402,0.3289,0.1201
1.07,0.2077,0.3383,0.3317,0.1223
1.08,0.2048,0.3363,0.3344,0.1245
1.09,0.2019,0.3344,0.337,0.1267
1.1,0.199,0.3323,0.3398,0.1289
1.11,0.1962,0.3303,0.3423,0.1312
1.12,0.1935,0.3282,0.3449,0.1334
1.13,0.1908,0.3261,0.3474,0.1357
1.14,0.1882,0.324,0.3498,0.138
1.15,0.1856,0.3218,0.3522,0.1404
1.16,0.1831,0.3196,0.3546,0.1427
1.17,0.1807,0.3174,0.3568,0.1451
1.18,0.1783,0.3151,0.3591,0.1475
1.19,0.1759,0.3129,0.3613,0.1499
1.2,0.1737,0.3106,0.3634,0.1523
1.21,0.1714,0.3082,0.3656,0.1548
1.22,0.1692,0.3059,0.3676,0.1573
1.23,0.1671,0.3036,0.3695,0.1598
1.24,0.165,0.3012,0.3715,0.1623
1.25,0.163,0.2988,0.3733,0.1649
1.26,0.161,0.2964,0.3752,0.1674
1.27,0.159,0.294,0.377,0.17
1.28,0.1571,0.2916,0.3787,0.1726
1.29,0.1553,0.2891,0.3804,0.1752
1.3,0.1535,0.2867,0.3819,0.1779
1.31,0.1517,0.2843,0.3835,0.1805
1.32,0.15,0.2818,0.385,0.1832
1.33,0.1483,0.2794,0.3864,0.1859
1.34,0.1466,0.2769,0.3878,0.1887
1.35,0.145,0.2744,0.3892,0.1914
1.36,0.1434,0.272,0.3904,0.1942
1.37,0.1419,0.2695,0.3916,0.197
1.38,0.1404,0.2671,0.3927,0.1998
1.39,0.1389,0.2646,0.3939,0.2026
1.4,0.1375,0.2621,0.395,0.2054
1.41,0.1361,0.2597,0.3959,0.2083
1.42,0.1347,0.2572,0.397,0.2111
1.43,0.1334,0.2548,0.3978,0.214
1.44,0.1321,0.2524,0.3986,0.2169
1.45,0.1309,0.25,0.3992,0.2199
1.46,0.1296,0.2475,0.4001,0.2228
1.47,0.1284,0.2451,0.4007,0.2258
1.48,0.1272,0.2428,0.4012,0.2288
1.49,0.1261,0.2404,0.4017,0.2318
1.5,0.125,0.238,0.4022,0.2348
1.51,0.1239,0.2357,0.4026,0.2378
1.52,0.1228,0.2333,0.4031,0.2408
1.53,0.1218,0.231,0.4033,0.2439
1.54,0.1208,0.2287,0.4035,0.247
1.55,0.1198,0.2264,0.4037,0.2501
1.56,0.1188,0.2242,0.4038,0.2532
1.57,0.1178,0.2219,0.404,0.2563
1.58,0.1169,0.2197,0.404,0.2594
1.59,0.116,0.2175,0.4039,0.2626
1.6,0.1151,0.2153,0.4038,0.2658
1.61,0.1143,0.2132,0.4036,0.2689
1.62,0.1134,0.211,0.4035,0.2721
1.63,0.1126,0.2089,0.4032,0.2753
1.64,0.1118,0.2068,0.4029,0.2785
1.65,0.111,0.2048,0.4024,0.2818
1.66,0.1103,0.2027,0.402,0.285
1.67,0.1095,0.2007,0.4015,0.2883
1.68,0.1088,0.1987,0.401,0.2915
1.69,0.1081,0.1968,0.4003,0.2948
1.7,0.1074,0.1948,0.3997,0.2981
1.71,0.1067,0.1929,0.399,0.3014
1.72,0.106,0.191,0.3983,0.3047
1.73,0.1053,0.1892,0.3975,0.308
1.74,0.1047,0.1874,0.3966,0.3113
1.75,0.104,0.1856,0.3957,0.3147
1.76,0.1034,0.1838,0.3948,0.318
1.77,0.1028,0.1821,0.3937,0.3214
1.78,0.1022,0.1804,0.3927,0.3247
1.79,0.1016,0.1787,0.3916,0.3281
1.8,0.101,0.1771,0.3904,0.3315
1.81,0.1004,0.1755,0.3892,0.3349
1.82,0.0999,0.1739,0.3879,0.3383
1.83,0.0993,0.1724,0.3866,0.3417
1.84,0.0988,0.1709,0.3852,0.3451
1.85,0.0982,0.1694,0.3839,0.3485
1.86,0.0977,0.1679,0.3825,0.3519
1.87,0.0972,0.1665,0.381,0.3553
1.88,0.0967,0.1652,0.3794,0.3587
1.89,0.0962,0.1638,0.3778,0.3622
1.9,0.0957,0.1625,0.3762,0.3656
1.91,0.0951,0.1612,0.3747,0.369
1.92,0.0947,0.16,0.3728,0.3725
1.93,0.0942,0.1588,0.3711,0.3759
1.94,0.0937,0.1576,0.3694,0.3793
1.95,0.0932,0.1565,0.3675,0.3828
1.96,0.0927,0.1554,0.3657,0.3862
1.97,0.0922,0.1543,0.3638,0.3897
1.98,0.0918,0.1533,0.3618,0.3931
1.99,0.0913,0.1522,0.3599,0.3966
2,0.0908,0.1513,0.3579,0.4
2.01,0.0903,0.1503,0.3558,0.4036
2.02,0.0899,0.1494,0.3538,0.4069
2.03,0.0894,0.1486,0.3517,0.4103
2.04,0.0889,0.1477,0.3495,0.4139
2.05,0.0885,0.1469,0.3474,0.4172
2.06,0.088,0.1461,0.3452,0.4207
2.07,0.0875,0.1454,0.343,0.4241
2.08,0.0871,0.1447,0.3407,0.4275
2.09,0.0866,0.144,0.3384,0.431
2.1,0.0862,0.1434,0.3361,0.4343
2.11,0.0857,0.1428,0.3338,0.4377
2.12,0.0852,0.1422,0.3315,0.4411
2.13,0.0847,0.1416,0.3291,0.4446
2.14,0.0843,0.1411,0.3267,0.4479
2.15,0.0838,0.1406,0.3243,0.4513
2.16,0.0833,0.1402,0.3218,0.4547
2.17,0.0829,0.1397,0.3194,0.458
2.18,0.0824,0.1393,0.3169,0.4614
2.19,0.0819,0.139,0.3144,0.4647
2.2,0.0814,0.1386,0.3119,0.4681
2.21,0.0809,0.1383,0.3094,0.4714
2.22,0.0804,0.138,0.3069,0.4747
2.23,0.0799,0.1377,0.3044,0.478
2.24,0.0794,0.1375,0.3018,0.4813
2.25,0.0789,0.1373,0.2993,0.4845
2.26,0.0784,0.1371,0.2967,0.4878
2.27,0.0779,0.1369,0.2942,0.491
2.28,0.0774,0.1368,0.2916,0.4942
2.29,0.0769,0.1367,0.289,0.4974
2.3,0.0764,0.1366,0.2865,0.5005
2.31,0.0759,0.1365,0.2839,0.5037
2.32,0.0753,0.1365,0.2813,0.5069
2.33,0.0748,0.1364,0.2787,0.5101
2.34,0.0743,0.1364,0.2762,0.5131
2.35,0.0737,0.1364,0.2736,0.5163
2.36,0.0732,0.1364,0.2711,0.5193
2.37,0.0726,0.1365,0.2685,0.5224
2.38,0.0721,0.1365,0.266,0.5254
2.39,0.0715,0.1366,0.2634,0.5285
2.4,0.071,0.1367,0.2609,0.5314
2.41,0.0704,0.1368,0.2584,0.5344
2.42,0.0698,0.1369,0.256,0.5373
2.43,0.0693,0.137,0.2535,0.5402
2.44,0.0687,0.1372,0.251,0.5431
2.45,0.0681,0.1373,0.2486,0.546
2.46,0.0675,0.1375,0.2462,0.5488
2.47,0.0669,0.1377,0.2438,0.5516
2.48,0.0663,0.1378,0.2415,0.5544
2.49,0.0657,0.138,0.2391,0.5572
2.5,0.0651,0.1382,0.2368,0.5599
