avg_size,siz1,siz2,siz3,siz4
1,0.9469,0.0413,0.0118,0
1.01,0.9408,0.0472,0.012,0
1.02,0.9346,0.0531,0.0123,0
1.03,0.9284,0.059,0.0126,0
1.04,0.9224,0.0647,0.0129,0
1.05,0.9164,0.0704,0.0132,0
1.06,0.9103,0.0761,0.0136,0
1.07,0.9043,0.0817,0.014,0
1.08,0.8984,0.0872,0.0144,0
1.09,0.8925,0.0927,0.0148,0
1.1,0.8866,0.0981,0.0153,0
1.11,0.8809,0.1034,0.0157,0
1.12,0.8751,0.1087,0.0162,0
1.13,0.8692,0.114,0.0168,0
1.14,0.8636,0.1191,0.0173,0
1.15,0.8579,0.1242,0.0179,0
1.16,0.8522,0.1293,0.0185,0
1.17,0.846,0.1343,0.0191,6e-4
1.18,0.8386,0.1392,0.0197,0.0025
1.19,0.8313,0.1441,0.0203,0.0043
1.2,0.8239,0.1489,0.021,0.0062
1.21,0.8166,0.1537,0.0217,0.008
1.22,0.8094,0.1584,0.0224,0.0098
1.23,0.8024,0.163,0.0231,0.0115
1.24,0.7952,0.1676,0.0239,0.0133
1.25,0.7882,0.1722,0.0246,0.015
1.26,0.7812,0.1766,0.0254,0.0168
1.27,0.7742,0.1811,0.0262,0.0185
1.28,0.7675,0.1854,0.027,0.0201
1.29,0.7606,0.1897,0.0279,0.0218
1.3,0.7538,0.194,0.0287,0.0235
1.31,0.7471,0.1982,0.0296,0.0251
1.32,0.7405,0.2023,0.0305,0.0267
1.33,0.7339,0.2064,0.0314,0.0283
1.34,0.7273,0.2105,0.0323,0.0299
1.35,0.7207,0.2145,0.0333,0.0315
1.36,0.7143,0.2184,0.0342,0.0331
1.37,0.7079,0.2223,0.0352,0.0346
1.38,0.7015,0.2261,0.0362,0.0362
1.39,0.6953,0.2298,0.0372,0.0377
1.4,0.6891,0.2335,0.0382,0.0392
1.41,0.6829,0.2372,0.0392,0.0407
1.42,0.6767,0.2408,0.0403,0.0422
1.43,0.6706,0.2444,0.0413,0.0437
1.44,0.6646,0.2479,0.0424,0.0451
1.45,0.6586,0.2513,0.0435,0.0466
1.46,0.6527,0.2547,0.0446,0.048
1.47,0.6468,0.258,0.0457,0.0495
1.48,0.641,0.2613,0.0468,0.0509
1.49,0.6351,0.2646,0.048,0.0523
1.5,0.6294,0.2678,0.0491,0.0537
1.51,0.6237,0.2709,0.0503,0.0551
1.52,0.618,0.274,0.0515,0.0565
1.53,0.6126,0.277,0.0526,0.0578
1.54,0.607,0.28,0.0538,0.0592
1.55,0.6015,0.2829,0.055,0.0606
1.56,0.596,0.2858,0.0563,0.0619
1.57,0.5905,0.2887,0.0575,0.0633
1.58,0.5853,0.2914,0.0587,0.0646
1.59,0.5799,0.2942,0.06,0.0659
1.6,0.5746,0.2969,0.0612,0.0673
1.61,0.5694,0.2995,0.0625,0.0686
1.62,0.5642,0.3021,0.0638,0.0699
1.63,0.5591,0.3046,0.0651,0.0712
1.64,0.554,0.3071,0.0664,0.0725
1.65,0.5489,0.3096,0.0677,0.0738
1.66,0.5439,0.312,0.069,0.0751
1.67,0.539,0.3143,0.0703,0.0764
1.68,0.5341,0.3166,0.0716,0.0777
1.69,0.5292,0.3189,0.073,0.0789
1.7,0.5244,0.3211,0.0743,0.0802
1.71,0.5196,0.3233,0.0756,0.0815
1.72,0.5148,0.3254,0.077,0.0828
1.73,0.5102,0.3274,0.0784,0.084
1.74,0.5055,0.3295,0.0797,0.0853
1.75,0.5009,0.3314,0.0811,0.0866
1.76,0.4963,0.3334,0.0825,0.0878
1.77,0.4918,0.3353,0.0838,0.0891
1.78,0.4873,0.3371,0.0852,0.0904
1.79,0.4829,0.3389,0.0866,0.0916
1.8,0.4785,0.3406,0.088,0.0929
1.81,0.474,0.3424,0.0894,0.0942
1.82,0.4698,0.344,0.0908,0.0954
1.83,0.4655,0.3456,0.0922,0.0967
1.84,0.4612,0.3472,0.0936,0.098
1.85,0.4571,0.3487,0.095,0.0992
1.86,0.4528,0.3502,0.0965,0.1005
1.87,0.4486,0.3517,0.0979,0.1018
1.88,0.4445,0.3531,0.0993,0.1031
1.89,0.4406,0.3544,0.1007,0.1043
1.9,0.4366,0.3557,0.1021,0.1056
1.91,0.4325,0.357,0.1036,0.1069
1.92,0.4285,0.3583,0.105,0.1082
1.93,0.4247,0.3594,0.1064,0.1095
1.94,0.4208,0.3606,0.10780000000000001,0.1108
1.95,0.4169,0.3617,0.1093,0.1121
1.96,0.4131,0.3628,0.1107,0.1134
1.97,0.4094,0.3638,0.1121,0.1147
1.98,0.4056,0.3648,0.1136,0.116
1.99,0.4019,0.3657,0.115,0.1174
2,0.3983,0.3666,0.1164,0.1187
2.01,0.3947,0.3675,0.1178,0.12
2.02,0.391,0.3683,0.1193,0.1214
2.03,0.3874,0.3691,0.1207,0.1228
2.04,0.384,0.3698,0.1221,0.1241
2.05,0.3805,0.3705,0.1235,0.1255
2.06,0.377,0.3712,0.1249,0.1269
2.07,0.3736,0.3718,0.1263,0.1283
2.08,0.3702,0.3724,0.1277,0.1297
2.09,0.3668,0.373,0.1291,0.1311
2.1,0.3635,0.3735,0.1305,0.1325
2.11,0.3602,0.374,0.1319,0.1339
2.12,0.357,0.3744,0.1333,0.1353
2.13,0.3537,0.3748,0.1347,0.1368
